Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,794262,0.9967,0.0082,2990,✅
2,781613,0.7090,0.0093,2127,
3,8089434,0.6900,0.0099,2070,
4,789366,0.6877,0.0113,2063,
5,781915,0.6657,0.0100,1997,
6,781917,0.6510,0.0106,1953,
7,777240,0.6253,0.0093,1876,
8,8181152,0.6067,0.0106,1820,
9,8103578,0.6053,0.0097,1816,
10,781916,0.5830,0.0118,1749,
11,793796,0.5633,0.0112,1690,
12,8174397,0.5493,0.0103,1648,
13,788771,0.5417,0.0111,1625,
14,8179627,0.5383,0.0099,1615,
15,765201,0.5343,0.0100,1603,
16,793426,0.5283,0.0115,1585,
17,776840,0.5143,0.0105,1543,
18,777043,0.4887,0.0113,1466,
19,777991,0.4843,0.0096,1453,
20,785887,0.4827,0.0113,1448,
21,784111,0.4810,0.0111,1443,
22,8122655,0.4660,0.0090,1398,
23,8166043,0.4560,0.0117,1368,
24,8093514,0.4557,0.0119,1367,
25,8139855,0.4500,0.0105,1350,
26,779699,0.4467,0.0093,1340,
27,8117985,0.4407,0.0112,1322,
28,781923,0.4383,0.0127,1315,
29,774135,0.4330,0.0115,1299,
30,8103576,0.4310,0.0108,1293,
31,8178944,0.4277,0.0112,1283,
32,8063088,0.4253,0.0102,1276,
33,8188922,0.4233,0.0112,1270,
34,781282,0.4220,0.0111,1266,
35,781912,0.4143,0.0119,1243,
36,8088206,0.4127,0.0108,1238,
37,8148795,0.3970,0.0109,1191,
38,793791,0.3890,0.0098,1167,
39,777551,0.3747,0.0114,1124,
40,794515,0.3710,0.0115,1113,
41,791705,0.3697,0.0121,1109,
42,781914,0.3250,0.0108,975,
43,775316,0.3070,0.0115,921,
44,772841,0.2643,0.0098,793,
45,772840,0.2640,0.0110,792,
46,777217,0.2533,0.0116,760,
47,8139718,0.2443,0.0126,733,
48,778897,0.2297,0.0124,689,
