Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,781921,0.8987,0.0078,2696,✅
2,778448,0.8333,0.0084,2500,
3,793832,0.6380,0.0097,1914,
4,782438,0.6167,0.0091,1850,
5,777141,0.5897,0.0086,1769,
6,793796,0.5253,0.0105,1576,
7,781917,0.5103,0.0109,1531,
8,8126325,0.4973,0.0101,1492,
9,788771,0.4930,0.0095,1479,
10,8103578,0.4927,0.0111,1478,
11,8166043,0.4650,0.0093,1395,
12,8126327,0.4630,0.0117,1389,
13,793426,0.4493,0.0117,1348,
14,781912,0.4420,0.0101,1326,
15,794262,0.4397,0.0095,1319,
16,781915,0.4347,0.0096,1304,
17,781923,0.4347,0.0103,1304,
18,8126238,0.3983,0.0113,1195,
19,781916,0.3937,0.0115,1181,
20,777240,0.3647,0.0114,1094,
21,784111,0.3277,0.0110,983,
22,782185,0.3267,0.0112,980,
23,777551,0.3230,0.0108,969,
24,8181152,0.3150,0.0115,945,
25,793646,0.3030,0.0119,909,
26,8166038,0.3017,0.0103,905,
27,785887,0.2977,0.0120,893,
28,8089434,0.2977,0.0115,893,
29,8093514,0.2970,0.0121,891,
30,8139855,0.2760,0.0117,828,
31,8148795,0.2657,0.0101,797,
32,776840,0.2150,0.0109,645,
