Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,772733,0.9937,0.0095,2981,
2,772734,0.9590,0.0092,2877,
3,770066,0.9583,0.0100,2875,
4,772732,0.9570,0.0093,2871,
5,788916,0.9533,0.0091,2860,⬅️
6,780288,0.9427,0.0103,2828,
7,780254,0.9300,0.0100,2790,
8,8179611,0.9297,0.0104,2789,
9,792429,0.9270,0.0102,2781,
10,772769,0.8950,0.0121,2685,
11,793975,0.8720,0.0099,2616,
12,793978,0.8627,0.0100,2588,
13,777942,0.8167,0.0120,2450,
14,772745,0.8120,0.0106,2436,
15,8091607,0.7997,0.0098,2399,
16,772741,0.7957,0.0099,2387,
17,772749,0.7913,0.0098,2374,
18,772801,0.7823,0.0090,2347,
19,772809,0.7627,0.0090,2288,
20,8176978,0.7620,0.0126,2286,
21,772810,0.7460,0.0087,2238,
22,788920,0.7367,0.0101,2210,
23,8176966,0.6720,0.0130,2016,
24,8186079,0.6467,0.0104,1940,
25,788923,0.6350,0.0093,1905,
26,772742,0.5510,0.0098,1653,
27,776560,0.5340,0.0086,1602,
28,793981,0.4543,0.0111,1363,
29,777945,0.4383,0.0076,1315,
30,777948,0.4363,0.0088,1309,
31,788794,0.4060,0.0077,1218,
32,8158965,0.3523,0.0093,1057,
33,780283,0.2833,0.0084,850,
34,771731,0.2093,0.0088,628,
35,792937,0.1873,0.0123,562,
36,772805,0.1770,0.0094,531,
37,778082,0.1583,0.0103,475,
38,785997,0.1493,0.0123,448,
39,780300,0.1407,0.0128,422,
40,774596,0.1070,0.0126,321,
41,780299,0.1043,0.0129,313,
42,8181146,0.1040,0.0120,312,
43,775999,0.0880,0.0119,264,
44,772726,0.0823,0.0101,247,
45,793982,0.0787,0.0118,236,
46,772725,0.0780,0.0107,234,
47,772804,0.0750,0.0118,225,
48,8095212,0.0717,0.0132,215,
49,776548,0.0633,0.0116,190,
50,788909,0.0357,0.0098,107,
