Rank,CAD,Score (lower is better),Eigenvalues,Status
1,785682,0.0850,"0.0558, 0.0415, 0.0139",
2,794864,0.1388,"0.0491, 0.0397, 0.0147",
3,794863,0.1409,"0.0491, 0.0397, 0.0146",⬅️
4,781071,0.2141,"0.0626, 0.0433, 0.0164",
5,8179609,0.2738,"0.0509, 0.0433, 0.0052",
6,781070,0.3380,"0.0622, 0.0271, 0.0160",
7,785184,0.3696,"0.0524, 0.0478, 0.0305",
8,772809,0.3738,"0.0537, 0.0326, 0.0000",
9,772801,0.3759,"0.0522, 0.0347, 0.0000",
10,772810,0.3985,"0.0545, 0.0306, 0.0000",
11,793997,0.4166,"0.0611, 0.0377, 0.0011",
12,793975,0.4169,"0.0539, 0.0529, 0.0001",
13,793978,0.4216,"0.0543, 0.0535, 0.0001",
14,785149,0.4312,"0.0453, 0.0385, 0.0017",
15,8179629,0.4387,"0.0645, 0.0423, 0.0023",
16,785185,0.4390,"0.0460, 0.0449, 0.0297",
17,8179611,0.4455,"0.0582, 0.0498, 0.0003",
18,8176966,0.4488,"0.0564, 0.0528, 0.0004",
19,8179631,0.4601,"0.0667, 0.0424, 0.0037",
20,780299,0.4733,"0.0566, 0.0268, 0.0006",
21,780300,0.4758,"0.0569, 0.0270, 0.0006",
22,8176978,0.4892,"0.0570, 0.0553, 0.0004",
23,788916,0.5088,"0.0647, 0.0448, 0.0000",
24,780254,0.5147,"0.0606, 0.0515, 0.0001",
25,785150,0.5400,"0.0403, 0.0357, 0.0027",
26,771615,0.5520,"0.0419, 0.0227, 0.0101",
27,771612,0.5528,"0.0418, 0.0229, 0.0101",
28,777942,0.5620,"0.0642, 0.0500, 0.0002",
29,8186079,0.5641,"0.0453, 0.0298, 0.0000",
30,793998,0.5686,"0.0590, 0.0226, 0.0007",
31,783475,0.5944,"0.0785, 0.0510, 0.0159",
32,788920,0.6041,"0.0655, 0.0302, 0.0001",
33,793999,0.6062,"0.0650, 0.0254, 0.0030",
34,775999,0.6265,"0.0625, 0.0578, 0.0001",
35,780283,0.6296,"0.0502, 0.0169, 0.0001",
36,772732,0.6490,"0.0720, 0.0452, 0.0000",
37,772734,0.6491,"0.0717, 0.0457, 0.0000",
38,772741,0.6866,"0.0707, 0.0313, 0.0001",
39,772749,0.6915,"0.0711, 0.0316, 0.0001",
40,788909,0.6933,"0.0433, 0.0222, 0.0000",
41,771731,0.7152,"0.0355, 0.0321, 0.0001",
42,788923,0.7207,"0.0393, 0.0259, 0.0001",
43,792937,0.7238,"0.0736, 0.0494, 0.0004",
44,783854,0.7247,"0.0858, 0.0412, 0.0082",
45,772742,0.7415,"0.0347, 0.0312, 0.0001",
46,785159,0.7458,"0.0351, 0.0181, 0.0094",
47,788794,0.7515,"0.0598, 0.0097, 0.0001",
48,783619,0.7600,"0.0584, 0.0055, 0.0011",
49,778082,0.7614,"0.0572, 0.0049, 0.0001",
50,8172410,0.7618,"0.0306, 0.0274, 0.0065",
51,772805,0.7725,"0.0473, 0.0097, 0.0000",
52,772725,0.7730,"0.0547, 0.0002, 0.0000",
53,776560,0.7737,"0.0326, 0.0317, 0.0001",
54,772804,0.7745,"0.0477, 0.0090, 0.0000",
55,780827,0.7763,"0.0371, 0.0232, 0.0012",
56,772726,0.7770,"0.0549, 0.0002, 0.0000",
57,772745,0.7857,"0.0762, 0.0315, 0.0001",
58,785173,0.7880,"0.0373, 0.0145, 0.0070",
59,772769,0.7888,"0.0816, 0.0423, 0.0001",
60,772144,0.7908,"0.0367, 0.0154, 0.0069",
61,774596,0.8017,"0.0429, 0.0140, 0.0000",
62,787761,0.8025,"0.0919, 0.0468, 0.0147",
63,793982,0.8041,"0.0679, 0.0644, 0.0002",
64,793981,0.8044,"0.0679, 0.0644, 0.0002",
65,8181146,0.8103,"0.0423, 0.0143, 0.0000",
66,777945,0.8119,"0.0632, 0.0099, 0.0001",
67,777948,0.8288,"0.0640, 0.0096, 0.0001",
68,772733,0.8328,"0.0719, 0.0604, 0.0000",
69,771742,0.8354,"0.0232, 0.0218, 0.0166",
70,794871,0.8365,"0.0404, 0.0123, 0.0021",
71,8095212,0.8531,"0.0751, 0.0579, 0.0006",
72,8092901,0.8567,"0.0385, 0.0075, 0.0066",
73,8087967,0.8788,"0.0384, 0.0134, 0.0008",
74,777155,0.8807,"0.0261, 0.0211, 0.0092",
75,794870,0.8817,"0.0363, 0.0143, 0.0024",
76,784856,0.8845,"0.0235, 0.0222, 0.0110",
77,8172406,0.8879,"0.0359, 0.0144, 0.0024",
78,781831,0.8882,"0.0265, 0.0221, 0.0074",
79,794008,0.8891,"0.0334, 0.0161, 0.0039",
80,784907,0.8919,"0.0400, 0.0096, 0.0012",
81,788786,0.8960,"0.0235, 0.0233, 0.0094",
82,785169,0.8977,"0.0352, 0.0121, 0.0044",
83,787913,0.9145,"0.0256, 0.0238, 0.0054",
84,787914,0.9160,"0.0383, 0.0085, 0.0024",
85,8158965,0.9398,"0.0668, 0.0047, 0.0002",
86,8093316,0.9445,"0.0399, 0.0068, 0.0000",
87,8172414,0.9727,"0.0352, 0.0116, 0.0000",
88,8172412,0.9748,"0.0351, 0.0117, 0.0000",
89,785997,0.9823,"0.0273, 0.0225, 0.0002",
90,8091304,0.9879,"0.0407, 0.0022, 0.0000",
91,792429,1.0021,"0.0912, 0.0452, 0.0001",
92,779434,1.0028,"0.0318, 0.0131, 0.0009",
93,8096342,1.0041,"0.0371, 0.0056, 0.0004",
94,772763,1.0137,"0.0350, 0.0085, 0.0001",
95,772764,1.0160,"0.0349, 0.0085, 0.0001",
96,8141860,1.0204,"0.0324, 0.0088, 0.0025",
97,787629,1.0235,"0.0854, 0.0236, 0.0020",
98,788905,1.0262,"0.0392, 0.0013, 0.0001",
99,778091,1.0313,"0.0393, 0.0006, 0.0001",
100,8112097,1.0356,"0.0305, 0.0125, 0.0008",
101,779815,1.0484,"0.0289, 0.0118, 0.0024",
102,8111409,1.0722,"0.0897, 0.0692, 0.0190",
103,781899,1.0736,"0.0229, 0.0219, 0.0000",
104,788695,1.0990,"0.0284, 0.0116, 0.0000",
105,8092992,1.1358,"0.0210, 0.0150, 0.0036",
106,776548,1.1370,"0.0744, 0.0001, 0.0001",
107,8091602,1.1494,"0.0838, 0.0690, 0.0006",
108,772132,1.1668,"0.0203, 0.0141, 0.0032",
109,798480,1.1711,"0.0265, 0.0061, 0.0020",
110,798475,1.1775,"0.0261, 0.0061, 0.0020",
111,778429,1.1795,"0.0315, 0.0002, 0.0001",
112,763638,1.1958,"0.0305, 0.0005, 0.0001",
113,8088959,1.2056,"0.0148, 0.0139, 0.0073",
114,793548,1.2084,"0.0251, 0.0065, 0.0009",
115,779530,1.2268,"0.0181, 0.0152, 0.0011",
116,783596,1.2305,"0.0201, 0.0090, 0.0034",
117,779533,1.2314,"0.0180, 0.0150, 0.0011",
118,8149518,1.2335,"0.0200, 0.0089, 0.0034",
119,8143504,1.2338,"0.0200, 0.0089, 0.0034",
120,8125655,1.2356,"0.0199, 0.0089, 0.0034",
121,8126425,1.2357,"0.0198, 0.0089, 0.0034",
122,781926,1.2460,"0.0210, 0.0084, 0.0018",
123,780288,1.2525,"0.1053, 0.0443, 0.0001",
124,768552,1.2581,"0.0149, 0.0087, 0.0079",
125,8181354,1.2602,"0.0146, 0.0085, 0.0083",
126,8091607,1.2804,"0.0985, 0.0569, 0.0001",
127,8101572,1.3006,"0.0249, 0.0003, 0.0000",
128,8094080,1.3048,"0.0170, 0.0109, 0.0009",
129,770066,1.3119,"0.1047, 0.0500, 0.0001",
130,778448,1.3135,"0.0219, 0.0029, 0.0008",
131,771736,1.3145,"0.0149, 0.0143, 0.0001",
132,782438,1.3204,"0.0231, 0.0008, 0.0006",
133,792430,1.3310,"0.1023, 0.0232, 0.0025",
134,8100975,1.3324,"0.0197, 0.0055, 0.0001",
135,8155627,1.3341,"0.0155, 0.0100, 0.0014",
136,792440,1.3345,"0.0172, 0.0077, 0.0012",
137,792441,1.3360,"0.0169, 0.0080, 0.0012",
138,775310,1.3404,"0.0141, 0.0124, 0.0009",
139,781921,1.3407,"0.0190, 0.0038, 0.0018",
140,8100969,1.3438,"0.0191, 0.0055, 0.0001",
141,8139623,1.3459,"0.0175, 0.0058, 0.0017",
142,776572,1.3696,"0.1024, 0.0150, 0.0065",
143,774935,1.3776,"0.0138, 0.0073, 0.0028",
144,788698,1.3783,"0.0115, 0.0106, 0.0029",
145,8179614,1.3787,"0.1126, 0.0380, 0.0001",
146,786001,1.3894,"0.0132, 0.0107, 0.0001",
147,775262,1.3912,"0.0112, 0.0100, 0.0028",
148,792161,1.3933,"0.0110, 0.0105, 0.0026",
149,778504,1.4097,"0.0123, 0.0091, 0.0011",
150,783595,1.4138,"0.0137, 0.0064, 0.0014",
151,8091936,1.4193,"0.0141, 0.0060, 0.0008",
152,774937,1.4258,"0.0119, 0.0071, 0.0021",
153,8100966,1.4309,"0.0178, 0.0004, 0.0001",
154,8104983,1.4323,"0.1076, 0.0191, 0.0054",
155,793787,1.4397,"0.0174, 0.0003, 0.0000",
156,8174395,1.4410,"0.0148, 0.0042, 0.0000",
157,782016,1.4426,"0.0963, 0.0081, 0.0001",
158,793793,1.4426,"0.0109, 0.0091, 0.0006",
159,8105335,1.4442,"0.0139, 0.0050, 0.0002",
160,793832,1.4542,"0.0133, 0.0039, 0.0012",
161,782185,1.4575,"0.0139, 0.0038, 0.0003",
162,780706,1.4621,"0.0104, 0.0083, 0.0006",
163,792803,1.4623,"0.0104, 0.0083, 0.0006",
164,794516,1.4679,"0.0076, 0.0061, 0.0052",
165,765199,1.4685,"0.0129, 0.0048, 0.0001",
166,793646,1.4707,"0.0138, 0.0031, 0.0001",
167,783617,1.4747,"0.0109, 0.0048, 0.0019",
168,777135,1.4820,"0.0092, 0.0084, 0.0007",
169,8111167,1.4882,"0.0090, 0.0059, 0.0025",
170,8111165,1.4882,"0.0090, 0.0059, 0.0025",
171,8092284,1.4903,"0.0096, 0.0074, 0.0005",
172,772797,1.5046,"0.0141, 0.0001, 0.0000",
173,772796,1.5047,"0.0141, 0.0001, 0.0000",
174,780273,1.5057,"0.0086, 0.0058, 0.0019",
175,780295,1.5061,"0.1114, 0.0557, 0.0000",
176,780296,1.5070,"0.1113, 0.0560, 0.0000",
177,8181356,1.5076,"0.0140, 0.0000, 0.0000",
178,8179592,1.5077,"0.1199, 0.0432, 0.0001",
179,775510,1.5089,"0.0139, 0.0000, 0.0000",
180,763640,1.5139,"0.0957, 0.0014, 0.0001",
181,781744,1.5178,"0.1001, 0.0060, 0.0015",
182,8166038,1.5242,"0.0099, 0.0041, 0.0005",
183,777141,1.5268,"0.0102, 0.0036, 0.0005",
184,8114863,1.5326,"0.0056, 0.0046, 0.0046",
