Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,788786,0.8567,0.0107,2570,✅
2,785159,0.7630,0.0109,2289,
3,781831,0.7390,0.0106,2217,
4,794870,0.7310,0.0107,2193,
5,8172406,0.7307,0.0107,2192,
6,794008,0.7287,0.0113,2186,
7,785169,0.7243,0.0097,2173,
8,8172410,0.7193,0.0121,2158,
9,785173,0.7120,0.0118,2136,
10,785997,0.7000,0.0114,2100,
11,779533,0.6790,0.0084,2037,
12,772144,0.6767,0.0112,2030,
13,8087967,0.6737,0.0094,2021,
14,779434,0.6443,0.0094,1933,
15,8092992,0.6323,0.0110,1897,
16,779530,0.6283,0.0092,1885,
17,8149518,0.6253,0.0089,1876,
18,772763,0.6237,0.0112,1871,
19,779815,0.6230,0.0083,1869,
20,783596,0.6207,0.0085,1862,
21,8126425,0.6177,0.0081,1853,
22,772764,0.6160,0.0114,1848,
23,8143504,0.6137,0.0086,1841,
24,8088959,0.6137,0.0093,1841,
25,8125655,0.6047,0.0091,1814,
26,8141860,0.5900,0.0116,1770,
27,792440,0.5820,0.0096,1746,
28,781926,0.5723,0.0091,1717,
29,792441,0.5653,0.0094,1696,
30,775262,0.5610,0.0105,1683,
31,793793,0.5503,0.0070,1651,
32,8094080,0.5467,0.0097,1640,
33,792161,0.5433,0.0100,1630,
34,8155627,0.5317,0.0105,1595,
35,786001,0.5317,0.0071,1595,
36,772132,0.5293,0.0118,1588,
37,8100975,0.5267,0.0083,1580,
38,798480,0.5203,0.0099,1561,
39,788698,0.5150,0.0080,1545,
40,8139623,0.5147,0.0090,1544,
41,8174395,0.5133,0.0075,1540,
42,8100969,0.5103,0.0077,1531,
43,787913,0.4933,0.0113,1480,
44,8172414,0.4857,0.0114,1457,
45,8105335,0.4780,0.0094,1434,
46,8091936,0.4687,0.0114,1406,
47,798475,0.4680,0.0107,1404,
48,775310,0.4657,0.0117,1397,
49,771736,0.4317,0.0097,1295,
50,777155,0.4247,0.0122,1274,
51,794871,0.4170,0.0126,1251,
52,774937,0.3963,0.0112,1189,
53,793548,0.3653,0.0124,1096,
54,778448,0.3423,0.0092,1027,
55,784856,0.3337,0.0129,1001,
56,8112097,0.3300,0.0110,990,
57,8172412,0.3117,0.0120,935,
58,781921,0.3057,0.0116,917,
59,783617,0.2983,0.0105,895,
60,768552,0.2807,0.0120,842,
61,780706,0.2490,0.0117,747,
62,8100966,0.2410,0.0078,723,
63,792803,0.2373,0.0119,712,
64,781899,0.2313,0.0123,694,
65,782438,0.2053,0.0121,616,
66,8101572,0.2003,0.0111,601,
67,793832,0.1777,0.0115,533,
68,783595,0.1757,0.0115,527,
69,774935,0.1737,0.0113,521,
70,8181354,0.1663,0.0128,499,
71,778504,0.1523,0.0122,457,
72,782185,0.1300,0.0115,390,
73,793787,0.1247,0.0109,374,
74,788695,0.1150,0.0119,345,
