Rank,CAD,Score (lower is better),Eigenvalues,Status
1,793997,0.4963,"0.0611, 0.0377, 0.0011",
2,8095212,0.5732,"0.0751, 0.0579, 0.0006",⬅️
3,8091602,0.5811,"0.0838, 0.0690, 0.0006",
4,779545,0.6717,"0.1465, 0.0642, 0.0008",
5,785149,0.6818,"0.0453, 0.0385, 0.0017",
6,792937,0.7568,"0.0736, 0.0494, 0.0004",
7,787629,0.7888,"0.0854, 0.0236, 0.0020",
8,8176978,0.8014,"0.0570, 0.0553, 0.0004",
9,8176966,0.8141,"0.0564, 0.0528, 0.0004",
10,780300,0.8174,"0.0569, 0.0270, 0.0006",
11,793998,0.8183,"0.0590, 0.0226, 0.0007",
12,780299,0.8215,"0.0566, 0.0268, 0.0006",
13,780827,0.8390,"0.0371, 0.0232, 0.0012",
14,8179611,0.8682,"0.0582, 0.0498, 0.0003",
15,793981,0.8831,"0.0679, 0.0644, 0.0002",
16,793982,0.8838,"0.0679, 0.0644, 0.0002",
17,8179589,0.8897,"0.1238, 0.0499, 0.0002",
18,781744,0.9036,"0.1001, 0.0060, 0.0015",
19,8179629,0.9119,"0.0645, 0.0423, 0.0023",
20,792429,0.9166,"0.0912, 0.0452, 0.0001",
21,777942,0.9180,"0.0642, 0.0500, 0.0002",
22,8091607,0.9268,"0.0985, 0.0569, 0.0001",
23,772769,0.9338,"0.0816, 0.0423, 0.0001",
24,770066,0.9507,"0.1047, 0.0500, 0.0001",
25,8095189,0.9613,"0.1545, 0.0889, 0.0008",
26,780252,0.9660,"0.1124, 0.0622, 0.0001",
27,8179592,0.9790,"0.1199, 0.0432, 0.0001",
28,780288,0.9792,"0.1053, 0.0443, 0.0001",
29,775999,0.9865,"0.0625, 0.0578, 0.0001",
30,793978,0.9891,"0.0543, 0.0535, 0.0001",
31,783619,0.9904,"0.0584, 0.0055, 0.0011",
32,793975,0.9920,"0.0539, 0.0529, 0.0001",
33,780296,0.9931,"0.1113, 0.0560, 0.0000",
34,780254,0.9932,"0.0606, 0.0515, 0.0001",
35,780295,0.9934,"0.1114, 0.0557, 0.0000",
36,8091592,0.9999,"0.1561, 0.0910, 0.0008",
37,8179614,1.0058,"0.1126, 0.0380, 0.0001",
38,784907,1.0133,"0.0400, 0.0096, 0.0012",
39,772733,1.0216,"0.0719, 0.0604, 0.0000",
40,772734,1.0264,"0.0717, 0.0457, 0.0000",
41,8087967,1.0274,"0.0384, 0.0134, 0.0008",
42,772732,1.0281,"0.0720, 0.0452, 0.0000",
43,776556,1.0284,"0.1165, 0.0669, 0.0000",
44,779434,1.0444,"0.0318, 0.0131, 0.0009",
45,772745,1.0541,"0.0762, 0.0315, 0.0001",
46,788916,1.0610,"0.0647, 0.0448, 0.0000",
47,772749,1.0635,"0.0711, 0.0316, 0.0001",
48,772741,1.0658,"0.0707, 0.0313, 0.0001",
49,788920,1.0730,"0.0655, 0.0302, 0.0001",
50,779530,1.0902,"0.0181, 0.0152, 0.0011",
51,8112097,1.0911,"0.0305, 0.0125, 0.0008",
52,779533,1.0954,"0.0180, 0.0150, 0.0011",
53,792430,1.0998,"0.1023, 0.0232, 0.0025",
54,791817,1.1048,"0.1477, 0.0532, 0.0000",
55,791816,1.1195,"0.1486, 0.0487, 0.0000",
56,772801,1.1337,"0.0522, 0.0347, 0.0000",
57,772809,1.1401,"0.0537, 0.0326, 0.0000",
58,8104626,1.1510,"0.1822, 0.0484, 0.0022",
59,772810,1.1614,"0.0545, 0.0306, 0.0000",
60,794871,1.1618,"0.0404, 0.0123, 0.0021",
61,771731,1.1687,"0.0355, 0.0321, 0.0001",
62,8155627,1.1730,"0.0155, 0.0100, 0.0014",
63,793548,1.1865,"0.0251, 0.0065, 0.0009",
64,792441,1.1875,"0.0169, 0.0080, 0.0012",
65,792440,1.1903,"0.0172, 0.0077, 0.0012",
66,775310,1.1936,"0.0141, 0.0124, 0.0009",
67,8094080,1.1938,"0.0170, 0.0109, 0.0009",
68,778504,1.2106,"0.0123, 0.0091, 0.0011",
69,772742,1.2128,"0.0347, 0.0312, 0.0001",
70,776560,1.2129,"0.0326, 0.0317, 0.0001",
71,8186079,1.2139,"0.0453, 0.0298, 0.0000",
72,791819,1.2220,"0.1667, 0.0256, 0.0002",
73,780287,1.2255,"0.1048, 0.0122, 0.0001",
74,781926,1.2270,"0.0210, 0.0084, 0.0018",
75,782016,1.2297,"0.0963, 0.0081, 0.0001",
76,783595,1.2320,"0.0137, 0.0064, 0.0014",
77,788923,1.2327,"0.0393, 0.0259, 0.0001",
