Rank,CAD,Score (lower is better),Eigenvalues,Status
1,793793,0.2250,"0.0109, 0.0091, 0.0006",
2,780706,0.2554,"0.0104, 0.0083, 0.0006",
3,777135,0.2604,"0.0092, 0.0084, 0.0007",⬅️
4,792803,0.2665,"0.0104, 0.0083, 0.0006",
5,8091936,0.3976,"0.0141, 0.0060, 0.0008",
6,794273,0.4455,"0.0078, 0.0061, 0.0008",
7,8179499,0.4459,"0.0077, 0.0063, 0.0008",
8,778504,0.4591,"0.0123, 0.0091, 0.0011",
9,775310,0.4751,"0.0141, 0.0124, 0.0009",
10,8092284,0.4789,"0.0096, 0.0074, 0.0005",
11,8094080,0.5414,"0.0170, 0.0109, 0.0009",
12,777553,0.6257,"0.0059, 0.0059, 0.0006",
13,8166038,0.6369,"0.0099, 0.0041, 0.0005",
14,792441,0.6990,"0.0169, 0.0080, 0.0012",
15,792440,0.7024,"0.0172, 0.0077, 0.0012",
16,777551,0.7109,"0.0088, 0.0037, 0.0005",
17,777141,0.7161,"0.0102, 0.0036, 0.0005",
18,8126327,0.7716,"0.0054, 0.0041, 0.0009",
19,793832,0.7854,"0.0133, 0.0039, 0.0012",
20,783595,0.7997,"0.0137, 0.0064, 0.0014",
21,781917,0.8023,"0.0062, 0.0031, 0.0007",
22,781916,0.8269,"0.0062, 0.0030, 0.0006",
23,8089434,0.8345,"0.0077, 0.0021, 0.0009",
24,8155627,0.8701,"0.0155, 0.0100, 0.0014",
25,8105335,0.8775,"0.0139, 0.0050, 0.0002",
26,782185,0.8839,"0.0139, 0.0038, 0.0003",
27,8126325,0.8925,"0.0038, 0.0038, 0.0009",
28,8126238,0.8946,"0.0038, 0.0038, 0.0009",
29,8093514,0.8960,"0.0072, 0.0024, 0.0005",
30,793426,0.8989,"0.0055, 0.0028, 0.0006",
31,8103578,0.8995,"0.0055, 0.0028, 0.0006",
32,781915,0.9087,"0.0050, 0.0028, 0.0009",
33,788771,0.9089,"0.0052, 0.0032, 0.0005",
34,8111161,0.9107,"0.0073, 0.0055, 0.0014",
35,793796,0.9115,"0.0062, 0.0036, 0.0012",
36,8181152,0.9158,"0.0079, 0.0024, 0.0004",
37,781912,0.9168,"0.0044, 0.0029, 0.0007",
38,786001,0.9211,"0.0132, 0.0107, 0.0001",
39,8166043,0.9385,"0.0062, 0.0044, 0.0013",
40,776840,0.9530,"0.0044, 0.0024, 0.0008",
41,781923,0.9737,"0.0044, 0.0026, 0.0006",
42,784111,0.9767,"0.0086, 0.0025, 0.0003",
43,8148795,0.9854,"0.0033, 0.0028, 0.0008",
44,779533,0.9925,"0.0180, 0.0150, 0.0011",
45,765199,1.0004,"0.0129, 0.0048, 0.0001",
46,765202,1.0186,"0.0087, 0.0048, 0.0001",
47,779530,1.0254,"0.0181, 0.0152, 0.0011",
48,777240,1.0278,"0.0032, 0.0024, 0.0007",
49,8088206,1.0410,"0.0085, 0.0021, 0.0003",
50,8178944,1.0692,"0.0043, 0.0024, 0.0004",
51,774135,1.0710,"0.0066, 0.0007, 0.0005",
52,8139855,1.0735,"0.0027, 0.0022, 0.0008",
53,781613,1.0986,"0.0043, 0.0023, 0.0004",
54,793646,1.1049,"0.0138, 0.0031, 0.0001",
55,791705,1.1207,"0.0046, 0.0029, 0.0003",
56,8122655,1.1227,"0.0045, 0.0032, 0.0002",
57,778448,1.1247,"0.0219, 0.0029, 0.0008",
58,8174397,1.1258,"0.0028, 0.0017, 0.0006",
59,8103576,1.1409,"0.0046, 0.0029, 0.0002",
60,8100969,1.1413,"0.0191, 0.0055, 0.0001",
61,785887,1.1451,"0.0059, 0.0030, 0.0014",
62,777043,1.1539,"0.0067, 0.0012, 0.0003",
63,777217,1.1564,"0.0045, 0.0008, 0.0005",
64,8174395,1.1585,"0.0148, 0.0042, 0.0000",
65,771736,1.1586,"0.0149, 0.0143, 0.0001",
66,8100975,1.1592,"0.0197, 0.0055, 0.0001",
67,779861,1.1639,"0.0053, 0.0044, 0.0001",
68,8122643,1.1779,"0.0047, 0.0045, 0.0001",
69,781914,1.1902,"0.0022, 0.0013, 0.0006",
70,775316,1.1965,"0.0098, 0.0029, 0.0000",
71,793548,1.2251,"0.0251, 0.0065, 0.0009",
72,765201,1.2254,"0.0049, 0.0033, 0.0001",
73,794515,1.2352,"0.0042, 0.0010, 0.0003",
74,8179627,1.2374,"0.0083, 0.0023, 0.0000",
75,792358,1.2517,"0.0018, 0.0011, 0.0006",
76,8188922,1.2564,"0.0024, 0.0014, 0.0012",
77,777239,1.2653,"0.0024, 0.0009, 0.0005",
78,8139718,1.2943,"0.0033, 0.0023, 0.0002",
79,8171486,1.2958,"0.0017, 0.0016, 0.0004",
80,779699,1.2993,"0.0034, 0.0014, 0.0002",
81,8139623,1.3063,"0.0175, 0.0058, 0.0017",
82,794262,1.3105,"0.0055, 0.0017, 0.0015",
83,778915,1.3112,"0.0014, 0.0009, 0.0005",
84,8144696,1.3283,"0.0037, 0.0005, 0.0003",
85,8188926,1.3310,"0.0011, 0.0008, 0.0005",
86,778897,1.3794,"0.0050, 0.0002, 0.0002",
87,781282,1.3861,"0.0041, 0.0008, 0.0001",
88,782438,1.3886,"0.0231, 0.0008, 0.0006",
89,775318,1.3912,"0.0011, 0.0005, 0.0004",
90,792350,1.3931,"0.0011, 0.0008, 0.0003",
91,8100966,1.4100,"0.0178, 0.0004, 0.0001",
92,772840,1.4118,"0.0089, 0.0001, 0.0000",
93,772797,1.4120,"0.0141, 0.0001, 0.0000",
94,772796,1.4120,"0.0141, 0.0001, 0.0000",
95,772841,1.4130,"0.0088, 0.0001, 0.0000",
96,8063088,1.4150,"0.0073, 0.0004, 0.0000",
97,777991,1.4152,"0.0041, 0.0020, 0.0000",
98,775510,1.4212,"0.0139, 0.0000, 0.0000",
99,8181356,1.4223,"0.0140, 0.0000, 0.0000",
100,793791,1.4227,"0.0078, 0.0003, 0.0000",
101,780273,1.4290,"0.0086, 0.0058, 0.0019",
102,778920,1.4331,"0.0014, 0.0006, 0.0003",
103,778906,1.4411,"0.0016, 0.0006, 0.0003",
104,777133,1.4561,"0.0025, 0.0025, 0.0000",
105,8117985,1.4565,"0.0033, 0.0013, 0.0000",
106,8093118,1.4585,"0.0006, 0.0004, 0.0003",
107,778844,1.4610,"0.0024, 0.0024, 0.0000",
108,793787,1.4797,"0.0174, 0.0003, 0.0000",
109,778899,1.4823,"0.0026, 0.0003, 0.0001",
110,8063089,1.5106,"0.0038, 0.0005, 0.0000",
111,781921,1.5338,"0.0190, 0.0038, 0.0018",
112,783617,1.5385,"0.0109, 0.0048, 0.0019",
113,791713,1.5515,"0.0035, 0.0003, 0.0000",
114,8098446,1.5582,"0.0014, 0.0004, 0.0001",
115,781926,1.5625,"0.0210, 0.0084, 0.0018",
116,792783,1.5655,"0.0006, 0.0006, 0.0001",
117,792510,1.5788,"0.0024, 0.0005, 0.0000",
118,798512,1.5796,"0.0029, 0.0002, 0.0000",
119,8095941,1.5856,"0.0013, 0.0002, 0.0001",
120,767340,1.5967,"0.0024, 0.0003, 0.0000",
121,777087,1.6067,"0.0012, 0.0010, 0.0000",
122,763620,1.6089,"0.0024, 0.0001, 0.0000",
123,763621,1.6093,"0.0024, 0.0001, 0.0000",
124,794679,1.6097,"0.0024, 0.0001, 0.0000",
125,793789,1.6147,"0.0020, 0.0003, 0.0000",
126,777253,1.6151,"0.0013, 0.0008, 0.0000",
127,793405,1.6224,"0.0005, 0.0003, 0.0001",
128,794601,1.6314,"0.0018, 0.0001, 0.0000",
129,8121694,1.6353,"0.0015, 0.0001, 0.0000",
130,798351,1.6354,"0.0019, 0.0000, 0.0000",
131,8121692,1.6355,"0.0015, 0.0001, 0.0000",
132,776935,1.6438,"0.0015, 0.0003, 0.0000",
133,8150394,1.6498,"0.0008, 0.0006, 0.0000",
134,774937,1.6519,"0.0119, 0.0071, 0.0021",
135,784049,1.6559,"0.0010, 0.0004, 0.0000",
136,793768,1.6562,"0.0007, 0.0003, 0.0000",
137,767940,1.6697,"0.0005, 0.0005, 0.0000",
138,8092190,1.6730,"0.0006, 0.0005, 0.0000",
139,779608,1.6796,"0.0005, 0.0005, 0.0000",
140,8141343,1.6826,"0.0004, 0.0001, 0.0000",
141,8092171,1.6864,"0.0006, 0.0002, 0.0000",
142,763660,1.6946,"0.0005, 0.0001, 0.0000",
143,793689,1.6995,"0.0004, 0.0001, 0.0000",
144,794159,1.7046,"0.0004, 0.0000, 0.0000",
