Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,8088959,0.9473,0.0094,2842,
2,792161,0.9357,0.0100,2807,⬅️
3,774937,0.8033,0.0094,2410,
4,781926,0.7677,0.0081,2303,
5,768552,0.7623,0.0117,2287,
6,774935,0.7607,0.0090,2282,
7,792440,0.7577,0.0103,2273,
8,8092992,0.7577,0.0067,2273,
9,772132,0.7520,0.0083,2256,
10,8126425,0.7483,0.0093,2245,
11,783596,0.7480,0.0110,2244,
12,792441,0.7457,0.0090,2237,
13,788698,0.7393,0.0081,2218,
14,775262,0.7350,0.0079,2205,
15,8143504,0.6890,0.0101,2067,
16,798475,0.6653,0.0098,1996,
17,779815,0.6540,0.0107,1962,
18,8149518,0.6333,0.0106,1900,
19,779533,0.6240,0.0101,1872,
20,781921,0.6130,0.0077,1839,
21,798480,0.6033,0.0097,1810,
22,793793,0.6013,0.0114,1804,
23,783617,0.5853,0.0089,1756,
24,778448,0.5797,0.0096,1739,
25,783595,0.5747,0.0057,1724,
26,8125655,0.5703,0.0120,1711,
27,8174395,0.5537,0.0063,1661,
28,788695,0.5300,0.0063,1590,
29,779530,0.5260,0.0123,1578,
30,771736,0.5197,0.0081,1559,
31,8111165,0.5187,0.0105,1556,
32,8111161,0.5173,0.0075,1552,
33,8179499,0.4917,0.0072,1475,
34,8094080,0.4817,0.0115,1445,
35,8111167,0.4703,0.0109,1411,
36,8155627,0.4460,0.0106,1338,
37,775310,0.4253,0.0112,1276,
38,8092284,0.3993,0.0103,1198,
39,8139623,0.3970,0.0122,1191,
40,793548,0.3890,0.0114,1167,
41,8181354,0.3773,0.0122,1132,
42,8100969,0.3663,0.0075,1099,
43,8100975,0.3660,0.0093,1098,
44,778504,0.3600,0.0125,1080,
45,780273,0.3593,0.0111,1078,
46,793787,0.3437,0.0077,1031,
47,8091936,0.3407,0.0117,1022,
48,765199,0.3363,0.0100,1009,
49,777135,0.3307,0.0096,992,
50,794516,0.3230,0.0115,969,
51,780706,0.3157,0.0112,947,
52,8105335,0.3117,0.0109,935,
53,786001,0.2647,0.0090,794,
54,8141860,0.2457,0.0117,737,
55,793646,0.2380,0.0102,714,
56,777141,0.2353,0.0117,706,
57,794273,0.2320,0.0107,696,
58,782438,0.2253,0.0121,676,
59,8166038,0.2250,0.0114,675,
60,793832,0.2140,0.0112,642,
61,792803,0.2087,0.0122,626,
62,8100966,0.2017,0.0108,605,
63,782185,0.1997,0.0116,599,
