Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,8096342,0.9700,0.0113,2910,✅
2,772764,0.8130,0.0105,2439,
3,772763,0.7937,0.0106,2381,
4,8100969,0.6317,0.0112,1895,
5,8100975,0.5527,0.0104,1658,
6,788794,0.4760,0.0120,1428,
7,778082,0.4727,0.0105,1418,
8,8092284,0.4600,0.0076,1380,
9,8105335,0.4527,0.0099,1358,
10,793793,0.4523,0.0112,1357,
11,777135,0.4520,0.0104,1356,
12,777141,0.4027,0.0083,1208,
13,777553,0.3657,0.0102,1097,
14,792803,0.3257,0.0115,977,
15,777551,0.3080,0.0106,924,
16,8158965,0.2950,0.0118,885,
17,780706,0.2497,0.0091,749,
18,777948,0.2333,0.0122,700,
19,782185,0.2240,0.0119,672,
20,8093316,0.1947,0.0118,584,
21,8166038,0.1750,0.0116,525,
