Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,771742,0.9903,0.0105,2971,
2,787913,0.9207,0.0096,2762,⬅️
3,771615,0.8947,0.0115,2684,
4,771612,0.8673,0.0123,2602,
5,781831,0.7470,0.0103,2241,
6,8172410,0.7210,0.0078,2163,
7,794871,0.6847,0.0115,2054,
8,777155,0.6450,0.0106,1935,
9,788786,0.6430,0.0120,1929,
10,788923,0.6350,0.0089,1905,
11,774596,0.6343,0.0064,1903,
12,8181146,0.6337,0.0066,1901,
13,8092992,0.6320,0.0076,1896,
14,8092901,0.6260,0.0075,1878,
15,8172412,0.6140,0.0097,1842,
16,788695,0.6007,0.0069,1802,
17,8088959,0.5993,0.0103,1798,
18,785997,0.5937,0.0107,1781,
19,772132,0.5810,0.0070,1743,
20,783596,0.5680,0.0110,1704,
21,8155627,0.5623,0.0111,1687,
22,8087967,0.5527,0.0116,1658,
23,788909,0.5433,0.0089,1630,
24,784856,0.5430,0.0120,1629,
25,792440,0.5350,0.0104,1605,
26,785169,0.5340,0.0101,1602,
27,788698,0.5237,0.0075,1571,
28,784907,0.5190,0.0106,1557,
29,8172406,0.5030,0.0119,1509,
30,775262,0.4977,0.0080,1493,
31,772764,0.4957,0.0104,1487,
32,786001,0.4943,0.0114,1483,
33,780827,0.4833,0.0106,1450,
34,8141860,0.4773,0.0104,1432,
35,792441,0.4697,0.0080,1409,
36,785173,0.4637,0.0124,1391,
37,794870,0.4510,0.0107,1353,
38,772144,0.4380,0.0125,1314,
39,794008,0.4153,0.0121,1246,
40,785159,0.4140,0.0123,1242,
41,779815,0.3773,0.0115,1132,
42,8112097,0.3750,0.0105,1125,
43,780283,0.3570,0.0116,1071,
44,8149518,0.3547,0.0105,1064,
45,781926,0.3470,0.0084,1041,
46,8093316,0.3410,0.0118,1023,
47,8143504,0.3330,0.0123,999,
48,779530,0.3307,0.0116,992,
49,779533,0.3300,0.0105,990,
50,778448,0.3113,0.0097,934,
51,8096342,0.3100,0.0118,930,
52,8126425,0.3067,0.0119,920,
53,768552,0.3010,0.0104,903,
54,8125655,0.2893,0.0120,868,
55,8094080,0.2623,0.0120,787,
56,792161,0.2513,0.0115,754,
57,798480,0.2387,0.0096,716,
58,771736,0.2240,0.0112,672,
59,8181354,0.2240,0.0121,672,
60,771731,0.2220,0.0115,666,
61,778429,0.2100,0.0107,630,
62,8101572,0.2077,0.0107,623,
63,763638,0.2060,0.0102,618,
64,787914,0.2013,0.0123,604,
65,8100975,0.1920,0.0095,576,
66,798475,0.1900,0.0129,570,
67,793548,0.1847,0.0121,554,
68,781899,0.1780,0.0120,534,
69,774935,0.1767,0.0120,530,
70,779434,0.1750,0.0127,525,
71,776560,0.1697,0.0126,509,
72,781921,0.1623,0.0113,487,
73,8100969,0.1603,0.0118,481,
74,775310,0.1573,0.0122,472,
75,782438,0.1570,0.0116,471,
76,772742,0.1453,0.0125,436,
77,8139623,0.1453,0.0120,436,
78,772763,0.1393,0.0118,418,
79,8172414,0.1107,0.0109,332,
