Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,794870,0.7310,0.0107,2193,
2,794008,0.7287,0.0113,2186,
3,8172406,0.7267,0.0098,2180,
4,785169,0.7203,0.0109,2161,
5,781831,0.7120,0.0097,2136,
6,785173,0.6997,0.0117,2099,
7,779533,0.6790,0.0084,2037,
8,772144,0.6673,0.0102,2002,
9,8092992,0.6500,0.0111,1950,
10,779434,0.6443,0.0094,1933,
11,779530,0.6283,0.0092,1885,
12,779815,0.6250,0.0085,1875,
13,8149518,0.6223,0.0084,1867,
14,783596,0.6207,0.0085,1862,
15,8126425,0.6177,0.0081,1853,
16,8143504,0.6137,0.0086,1841,
17,8088959,0.6133,0.0095,1840,
18,8125655,0.5880,0.0088,1764,
19,792440,0.5820,0.0096,1746,
20,8141860,0.5807,0.0109,1742,
21,781926,0.5723,0.0091,1717,
22,792441,0.5653,0.0094,1696,
23,775262,0.5610,0.0105,1683,
24,8094080,0.5467,0.0097,1640,
25,792161,0.5433,0.0100,1630,
26,8155627,0.5317,0.0105,1595,
27,798480,0.5203,0.0099,1561,
28,788698,0.5150,0.0080,1545,
29,8139623,0.5147,0.0090,1544,
30,787913,0.4933,0.0113,1480,
31,798475,0.4680,0.0107,1404,
32,775310,0.4657,0.0117,1397,
33,794871,0.4593,0.0125,1378,
34,772132,0.4107,0.0120,1232,
35,774937,0.3963,0.0112,1189,
36,793548,0.3653,0.0124,1096,
37,8112097,0.3300,0.0110,990,
38,781921,0.3057,0.0116,917,
39,8111165,0.2413,0.0092,724,
40,787914,0.2247,0.0122,674,
41,8111167,0.1827,0.0118,548,
42,783595,0.1757,0.0115,527,
43,774935,0.1737,0.0113,521,
44,778504,0.1523,0.0122,457,
45,794516,0.1447,0.0121,434,
