Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,779533,0.9297,0.0076,2789,✅
2,779530,0.9193,0.0080,2758,
3,781926,0.7690,0.0075,2307,
4,794871,0.7360,0.0092,2208,
5,8112097,0.6457,0.0108,1937,
6,8094080,0.6210,0.0113,1863,
7,792441,0.6060,0.0066,1818,
8,8087967,0.6050,0.0115,1815,
9,792440,0.6023,0.0056,1807,
10,779434,0.5450,0.0123,1635,
11,798475,0.5067,0.0118,1520,
12,8179499,0.5060,0.0098,1518,
13,775310,0.4883,0.0118,1465,
14,8139623,0.4743,0.0104,1423,
15,778504,0.4603,0.0102,1381,
16,8111161,0.4517,0.0080,1355,
17,8096342,0.4503,0.0098,1351,
18,780827,0.4247,0.0114,1274,
19,798480,0.4237,0.0127,1271,
20,781921,0.4130,0.0107,1239,
21,793793,0.3873,0.0077,1162,
22,8155627,0.3437,0.0105,1031,
23,8091936,0.3407,0.0116,1022,
24,777135,0.3237,0.0099,971,
25,793832,0.3180,0.0117,954,
26,784907,0.2943,0.0121,883,
27,793548,0.2783,0.0123,835,
28,783595,0.2357,0.0119,707,
29,794273,0.2283,0.0109,685,
30,778448,0.2027,0.0124,608,
31,792803,0.1567,0.0119,470,
32,8092284,0.1537,0.0117,461,
33,780706,0.1510,0.0122,453,
