Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,776556,0.9333,0.0109,2800,
2,791817,0.8530,0.0108,2559,
3,780295,0.8490,0.0105,2547,⬅️
4,780296,0.8453,0.0106,2536,
5,780252,0.8420,0.0121,2526,
6,791816,0.8307,0.0114,2492,
7,766859,0.8267,0.0116,2480,
8,8179589,0.8050,0.0108,2415,
9,780288,0.7597,0.0101,2279,
10,770066,0.7280,0.0121,2184,
11,772733,0.7153,0.0103,2146,
12,8179614,0.7113,0.0101,2134,
13,8179592,0.6707,0.0111,2012,
14,792429,0.6270,0.0110,1881,
15,772734,0.6177,0.0100,1853,
16,772732,0.5993,0.0102,1798,
17,780254,0.5930,0.0100,1779,
18,788916,0.5923,0.0097,1777,
19,8179611,0.5717,0.0113,1715,
20,8091607,0.5537,0.0104,1661,
21,793975,0.5537,0.0103,1661,
22,772769,0.5527,0.0123,1658,
23,791819,0.5487,0.0105,1646,
24,793978,0.5357,0.0122,1607,
25,777942,0.5260,0.0110,1578,
26,8176978,0.5133,0.0118,1540,
27,772749,0.5117,0.0107,1535,
28,772741,0.5053,0.0109,1516,
29,772745,0.5040,0.0095,1512,
30,8176904,0.4967,0.0116,1490,
31,788920,0.4650,0.0113,1395,
32,8176966,0.4487,0.0125,1346,
33,780287,0.4150,0.0089,1245,
34,779545,0.3340,0.0124,1002,
35,782016,0.2543,0.0097,763,
36,8095189,0.2117,0.0131,635,
37,8179617,0.1930,0.0096,579,
38,793981,0.1747,0.0118,524,
39,775999,0.1343,0.0115,403,
40,763640,0.1313,0.0105,394,
41,780255,0.0913,0.0098,274,
42,792937,0.0760,0.0125,228,
43,8091602,0.0510,0.0126,153,
44,793982,0.0457,0.0117,137,
45,8095212,0.0363,0.0136,109,
