Rank,CAD,Score (lower is better),Eigenvalues,Status
1,788923,0.2105,"0.0393, 0.0259, 0.0001",✅
2,771731,0.2245,"0.0355, 0.0321, 0.0001",
3,772742,0.3256,"0.0347, 0.0312, 0.0001",
4,776560,0.3617,"0.0326, 0.0317, 0.0001",
5,8186079,0.4159,"0.0453, 0.0298, 0.0000",
6,788909,0.4478,"0.0433, 0.0222, 0.0000",
7,8181146,0.5632,"0.0423, 0.0143, 0.0000",
8,780283,0.5699,"0.0502, 0.0169, 0.0001",
9,785997,0.5787,"0.0273, 0.0225, 0.0002",
10,774596,0.5830,"0.0429, 0.0140, 0.0000",
11,772763,0.6003,"0.0350, 0.0085, 0.0001",
12,772764,0.6046,"0.0349, 0.0085, 0.0001",
13,772809,0.6250,"0.0537, 0.0326, 0.0000",
14,772801,0.6258,"0.0522, 0.0347, 0.0000",
15,8093316,0.6340,"0.0399, 0.0068, 0.0000",
16,772810,0.6380,"0.0545, 0.0306, 0.0000",
17,788905,0.6695,"0.0392, 0.0013, 0.0001",
18,8172414,0.6743,"0.0352, 0.0116, 0.0000",
19,8172412,0.6773,"0.0351, 0.0117, 0.0000",
20,778091,0.6885,"0.0393, 0.0006, 0.0001",
21,8091304,0.7271,"0.0407, 0.0022, 0.0000",
22,788920,0.7656,"0.0655, 0.0302, 0.0001",
23,772805,0.7690,"0.0473, 0.0097, 0.0000",
24,781899,0.7900,"0.0229, 0.0219, 0.0000",
25,772804,0.7925,"0.0477, 0.0090, 0.0000",
26,793975,0.8058,"0.0539, 0.0529, 0.0001",
27,793978,0.8245,"0.0543, 0.0535, 0.0001",
28,788695,0.8420,"0.0284, 0.0116, 0.0000",
29,778429,0.8747,"0.0315, 0.0002, 0.0001",
30,763638,0.8921,"0.0305, 0.0005, 0.0001",
31,8100975,0.9499,"0.0197, 0.0055, 0.0001",
32,772741,0.9558,"0.0707, 0.0313, 0.0001",
33,778082,0.9673,"0.0572, 0.0049, 0.0001",
34,772749,0.9722,"0.0711, 0.0316, 0.0001",
35,8100969,0.9848,"0.0191, 0.0055, 0.0001",
36,788794,0.9913,"0.0598, 0.0097, 0.0001",
37,777948,1.0055,"0.0640, 0.0096, 0.0001",
38,780254,1.0185,"0.0606, 0.0515, 0.0001",
39,8096342,1.0218,"0.0371, 0.0056, 0.0004",
40,771736,1.0499,"0.0149, 0.0143, 0.0001",
41,772725,1.0526,"0.0547, 0.0002, 0.0000",
42,772726,1.0581,"0.0549, 0.0002, 0.0000",
43,8101572,1.0581,"0.0249, 0.0003, 0.0000",
44,777945,1.0674,"0.0632, 0.0099, 0.0001",
45,777942,1.0825,"0.0642, 0.0500, 0.0002",
46,786001,1.0894,"0.0132, 0.0107, 0.0001",
47,772745,1.1026,"0.0762, 0.0315, 0.0001",
48,8158965,1.1084,"0.0668, 0.0047, 0.0002",
49,8179611,1.1127,"0.0582, 0.0498, 0.0003",
50,8100966,1.1564,"0.0178, 0.0004, 0.0001",
51,788916,1.1621,"0.0647, 0.0448, 0.0000",
52,775999,1.1763,"0.0625, 0.0578, 0.0001",
53,793646,1.1906,"0.0138, 0.0031, 0.0001",
54,8105335,1.1951,"0.0139, 0.0050, 0.0002",
55,765199,1.1984,"0.0129, 0.0048, 0.0001",
56,8176966,1.2735,"0.0564, 0.0528, 0.0004",
57,765202,1.2992,"0.0087, 0.0048, 0.0001",
58,780299,1.3069,"0.0566, 0.0268, 0.0006",
59,8174395,1.3087,"0.0148, 0.0042, 0.0000",
60,780300,1.3137,"0.0569, 0.0270, 0.0006",
61,772769,1.3177,"0.0816, 0.0423, 0.0001",
62,793787,1.3240,"0.0174, 0.0003, 0.0000",
63,772734,1.3251,"0.0717, 0.0457, 0.0000",
64,772732,1.3269,"0.0720, 0.0452, 0.0000",
65,782185,1.3348,"0.0139, 0.0038, 0.0003",
66,8176978,1.3554,"0.0570, 0.0553, 0.0004",
67,772797,1.3861,"0.0141, 0.0001, 0.0000",
68,772796,1.3865,"0.0141, 0.0001, 0.0000",
69,8181356,1.4060,"0.0140, 0.0000, 0.0000",
70,775510,1.4075,"0.0139, 0.0000, 0.0000",
71,778897,1.4155,"0.0050, 0.0002, 0.0002",
72,781282,1.4163,"0.0041, 0.0008, 0.0001",
73,765201,1.4202,"0.0049, 0.0033, 0.0001",
74,779861,1.4208,"0.0053, 0.0044, 0.0001",
75,8122643,1.4221,"0.0047, 0.0045, 0.0001",
76,8139718,1.4351,"0.0033, 0.0023, 0.0002",
77,776548,1.4397,"0.0744, 0.0001, 0.0001",
78,775316,1.4408,"0.0098, 0.0029, 0.0000",
79,778899,1.4504,"0.0026, 0.0003, 0.0001",
80,8179627,1.4527,"0.0083, 0.0023, 0.0000",
81,8088206,1.4914,"0.0085, 0.0021, 0.0003",
82,8087967,1.4951,"0.0384, 0.0134, 0.0008",
83,8103576,1.5048,"0.0046, 0.0029, 0.0002",
84,792783,1.5111,"0.0006, 0.0006, 0.0001",
85,8122655,1.5148,"0.0045, 0.0032, 0.0002",
86,772840,1.5154,"0.0089, 0.0001, 0.0000",
87,793982,1.5167,"0.0679, 0.0644, 0.0002",
88,772841,1.5176,"0.0088, 0.0001, 0.0000",
89,793981,1.5185,"0.0679, 0.0644, 0.0002",
90,784111,1.5302,"0.0086, 0.0025, 0.0003",
91,8098446,1.5364,"0.0014, 0.0004, 0.0001",
92,8063088,1.5507,"0.0073, 0.0004, 0.0000",
93,791705,1.5607,"0.0046, 0.0029, 0.0003",
94,793791,1.5641,"0.0078, 0.0003, 0.0000",
95,777043,1.5653,"0.0067, 0.0012, 0.0003",
96,779699,1.5709,"0.0034, 0.0014, 0.0002",
97,8095941,1.5719,"0.0013, 0.0002, 0.0001",
98,8117985,1.5760,"0.0033, 0.0013, 0.0000",
99,772733,1.5968,"0.0719, 0.0604, 0.0000",
100,793405,1.6004,"0.0005, 0.0003, 0.0001",
101,793998,1.6112,"0.0590, 0.0226, 0.0007",
102,792937,1.6113,"0.0736, 0.0494, 0.0004",
103,792429,1.6193,"0.0912, 0.0452, 0.0001",
104,777991,1.6274,"0.0041, 0.0020, 0.0000",
105,8063089,1.6284,"0.0038, 0.0005, 0.0000",
106,778844,1.6459,"0.0024, 0.0024, 0.0000",
107,778906,1.6519,"0.0016, 0.0006, 0.0003",
108,8144696,1.6527,"0.0037, 0.0005, 0.0003",
109,777133,1.6584,"0.0025, 0.0025, 0.0000",
110,791713,1.6607,"0.0035, 0.0003, 0.0000",
111,782438,1.6622,"0.0231, 0.0008, 0.0006",
112,798512,1.6776,"0.0029, 0.0002, 0.0000",
113,792510,1.6823,"0.0024, 0.0005, 0.0000",
114,8121692,1.6825,"0.0015, 0.0001, 0.0000",
115,8121694,1.6827,"0.0015, 0.0001, 0.0000",
116,8092284,1.6859,"0.0096, 0.0074, 0.0005",
117,767340,1.6874,"0.0024, 0.0003, 0.0000",
118,763620,1.6911,"0.0024, 0.0001, 0.0000",
119,763621,1.6914,"0.0024, 0.0001, 0.0000",
120,794679,1.6916,"0.0024, 0.0001, 0.0000",
121,8112097,1.6920,"0.0305, 0.0125, 0.0008",
122,793768,1.6959,"0.0007, 0.0003, 0.0000",
123,8141343,1.7026,"0.0004, 0.0001, 0.0000",
124,794601,1.7059,"0.0018, 0.0001, 0.0000",
125,794515,1.7061,"0.0042, 0.0010, 0.0003",
