Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,8172406,0.9563,0.0094,2869,
2,794870,0.9410,0.0094,2823,
3,794871,0.9333,0.0091,2800,
4,794008,0.8983,0.0084,2695,⬅️
5,779815,0.7947,0.0089,2384,
6,8092992,0.7797,0.0090,2339,
7,772132,0.7770,0.0071,2331,
8,8149518,0.7257,0.0093,2177,
9,8125655,0.7240,0.0089,2172,
10,8126425,0.7203,0.0089,2161,
11,783596,0.7187,0.0089,2156,
12,8143504,0.7130,0.0089,2139,
13,779434,0.6850,0.0097,2055,
14,8087967,0.6827,0.0100,2048,
15,788698,0.6813,0.0102,2044,
16,781926,0.6803,0.0092,2041,
17,775262,0.6787,0.0082,2036,
18,792441,0.6763,0.0081,2029,
19,792440,0.6713,0.0075,2014,
20,779533,0.6580,0.0101,1974,
21,784907,0.6560,0.0079,1968,
22,8141860,0.6273,0.0077,1882,
23,792161,0.6110,0.0103,1833,
24,779530,0.5947,0.0095,1784,
25,798475,0.5677,0.0092,1703,
26,798480,0.5467,0.0086,1640,
27,783595,0.5267,0.0088,1580,
28,793548,0.4983,0.0092,1495,
29,8155627,0.4867,0.0086,1460,
30,8094080,0.4660,0.0112,1398,
31,781921,0.4540,0.0096,1362,
32,8112097,0.4410,0.0094,1323,
33,775310,0.4353,0.0107,1306,
34,8111165,0.4213,0.0107,1264,
35,8139623,0.4147,0.0099,1244,
36,787914,0.4067,0.0102,1220,
37,774937,0.3890,0.0103,1167,
38,8111167,0.3560,0.0117,1068,
39,8091936,0.3463,0.0113,1039,
40,774935,0.3390,0.0113,1017,
41,780827,0.3200,0.0101,960,
42,778504,0.3080,0.0112,924,
43,793832,0.2480,0.0110,744,
44,780273,0.2320,0.0114,696,
45,783617,0.1963,0.0113,589,
