Rank,CAD,Score (lower is better),Eigenvalues,Status
1,8166038,0.2647,"0.0099, 0.0041, 0.0005",
2,777551,0.2943,"0.0088, 0.0037, 0.0005",
3,765202,0.3276,"0.0087, 0.0048, 0.0001",
4,780273,0.3446,"0.0086, 0.0058, 0.0019",
5,783617,0.3479,"0.0109, 0.0048, 0.0019",
6,777141,0.3540,"0.0102, 0.0036, 0.0005",
7,8111161,0.3572,"0.0073, 0.0055, 0.0014",⬅️
8,8166043,0.3693,"0.0062, 0.0044, 0.0013",
9,794273,0.4266,"0.0078, 0.0061, 0.0008",
10,793796,0.4377,"0.0062, 0.0036, 0.0012",
11,8179499,0.4384,"0.0077, 0.0063, 0.0008",
12,8111167,0.4397,"0.0090, 0.0059, 0.0025",
13,8111165,0.4401,"0.0090, 0.0059, 0.0025",
14,775316,0.4879,"0.0098, 0.0029, 0.0000",
15,784111,0.4905,"0.0086, 0.0025, 0.0003",
16,8092284,0.5011,"0.0096, 0.0074, 0.0005",
17,8089434,0.5081,"0.0077, 0.0021, 0.0009",
18,793832,0.5082,"0.0133, 0.0039, 0.0012",
19,8126327,0.5316,"0.0054, 0.0041, 0.0009",
20,777135,0.5483,"0.0092, 0.0084, 0.0007",
21,8181152,0.5582,"0.0079, 0.0024, 0.0004",
22,8088206,0.5602,"0.0085, 0.0021, 0.0003",
23,785887,0.5840,"0.0059, 0.0030, 0.0014",
24,8179627,0.6009,"0.0083, 0.0023, 0.0000",
25,781917,0.6012,"0.0062, 0.0031, 0.0007",
26,8093514,0.6149,"0.0072, 0.0024, 0.0005",
27,777553,0.6281,"0.0059, 0.0059, 0.0006",
28,781916,0.6319,"0.0062, 0.0030, 0.0006",
29,765199,0.6357,"0.0129, 0.0048, 0.0001",
30,780706,0.6558,"0.0104, 0.0083, 0.0006",
31,792803,0.6564,"0.0104, 0.0083, 0.0006",
32,779861,0.6885,"0.0053, 0.0044, 0.0001",
33,783595,0.6960,"0.0137, 0.0064, 0.0014",
34,781915,0.7251,"0.0050, 0.0028, 0.0009",
35,8103578,0.7351,"0.0055, 0.0028, 0.0006",
36,793426,0.7351,"0.0055, 0.0028, 0.0006",
37,774937,0.7367,"0.0119, 0.0071, 0.0021",
38,8126325,0.7417,"0.0038, 0.0038, 0.0009",
39,8126238,0.7418,"0.0038, 0.0038, 0.0009",
40,8122643,0.7421,"0.0047, 0.0045, 0.0001",
41,788771,0.7424,"0.0052, 0.0032, 0.0005",
42,8105335,0.7519,"0.0139, 0.0050, 0.0002",
43,8091936,0.7659,"0.0141, 0.0060, 0.0008",
44,782185,0.7700,"0.0139, 0.0038, 0.0003",
45,794262,0.7755,"0.0055, 0.0017, 0.0015",
46,772840,0.7875,"0.0089, 0.0001, 0.0000",
47,793793,0.7955,"0.0109, 0.0091, 0.0006",
48,772841,0.7964,"0.0088, 0.0001, 0.0000",
49,781912,0.8163,"0.0044, 0.0029, 0.0007",
50,778504,0.8284,"0.0123, 0.0091, 0.0011",
51,777043,0.8409,"0.0067, 0.0012, 0.0003",
52,765201,0.8567,"0.0049, 0.0033, 0.0001",
53,776840,0.8601,"0.0044, 0.0024, 0.0008",
54,774135,0.8651,"0.0066, 0.0007, 0.0005",
55,8122655,0.8720,"0.0045, 0.0032, 0.0002",
56,781923,0.8738,"0.0044, 0.0026, 0.0006",
57,793646,0.8793,"0.0138, 0.0031, 0.0001",
58,793791,0.8795,"0.0078, 0.0003, 0.0000",
59,8174395,0.8882,"0.0148, 0.0042, 0.0000",
60,8103576,0.8915,"0.0046, 0.0029, 0.0002",
61,791705,0.8930,"0.0046, 0.0029, 0.0003",
62,8063088,0.9245,"0.0073, 0.0004, 0.0000",
63,8148795,0.9256,"0.0033, 0.0028, 0.0008",
64,8178944,0.9453,"0.0043, 0.0024, 0.0004",
65,789366,0.9510,"0.0045, 0.0022, 0.0021",
66,781613,0.9617,"0.0043, 0.0023, 0.0004",
67,777240,0.9981,"0.0032, 0.0024, 0.0007",
68,8139855,1.0544,"0.0027, 0.0022, 0.0008",
69,777217,1.0808,"0.0045, 0.0008, 0.0005",
70,777991,1.0896,"0.0041, 0.0020, 0.0000",
71,774935,1.1020,"0.0138, 0.0073, 0.0028",
72,8139623,1.1066,"0.0175, 0.0058, 0.0017",
73,8188922,1.1076,"0.0024, 0.0014, 0.0012",
74,792161,1.1121,"0.0110, 0.0105, 0.0026",
75,8139718,1.1144,"0.0033, 0.0023, 0.0002",
76,8114863,1.1157,"0.0056, 0.0046, 0.0046",
77,794515,1.1204,"0.0042, 0.0010, 0.0003",
78,775262,1.1307,"0.0112, 0.0100, 0.0028",
79,8174397,1.1407,"0.0028, 0.0017, 0.0006",
80,778897,1.1586,"0.0050, 0.0002, 0.0002",
81,794516,1.1865,"0.0076, 0.0061, 0.0052",
82,779699,1.1867,"0.0034, 0.0014, 0.0002",
83,781282,1.1920,"0.0041, 0.0008, 0.0001",
84,792441,1.2052,"0.0169, 0.0080, 0.0012",
85,777133,1.2084,"0.0025, 0.0025, 0.0000",
86,792440,1.2090,"0.0172, 0.0077, 0.0012",
87,788698,1.2343,"0.0115, 0.0106, 0.0029",
88,778844,1.2353,"0.0024, 0.0024, 0.0000",
89,775510,1.2414,"0.0139, 0.0000, 0.0000",
90,781914,1.2424,"0.0022, 0.0013, 0.0006",
91,8144696,1.2441,"0.0037, 0.0005, 0.0003",
92,8181356,1.2489,"0.0140, 0.0000, 0.0000",
93,781921,1.2500,"0.0190, 0.0038, 0.0018",
94,8117985,1.2522,"0.0033, 0.0013, 0.0000",
95,772796,1.2547,"0.0141, 0.0001, 0.0000",
96,772797,1.2552,"0.0141, 0.0001, 0.0000",
97,8063089,1.2860,"0.0038, 0.0005, 0.0000",
98,777239,1.3018,"0.0024, 0.0009, 0.0005",
99,8155627,1.3048,"0.0155, 0.0100, 0.0014",
100,8171486,1.3154,"0.0017, 0.0016, 0.0004",
101,786001,1.3217,"0.0132, 0.0107, 0.0001",
102,792358,1.3302,"0.0018, 0.0011, 0.0006",
103,791713,1.3513,"0.0035, 0.0003, 0.0000",
104,8100969,1.3800,"0.0191, 0.0055, 0.0001",
105,778915,1.4068,"0.0014, 0.0009, 0.0005",
106,778899,1.4083,"0.0026, 0.0003, 0.0001",
107,798512,1.4206,"0.0029, 0.0002, 0.0000",
108,775310,1.4385,"0.0141, 0.0124, 0.0009",
109,8188926,1.4394,"0.0011, 0.0008, 0.0005",
110,792510,1.4396,"0.0024, 0.0005, 0.0000",
111,8100975,1.4451,"0.0197, 0.0055, 0.0001",
112,792350,1.4668,"0.0011, 0.0008, 0.0003",
113,778906,1.4670,"0.0016, 0.0006, 0.0003",
114,767340,1.4686,"0.0024, 0.0003, 0.0000",
115,778920,1.4861,"0.0014, 0.0006, 0.0003",
116,763620,1.4865,"0.0024, 0.0001, 0.0000",
117,794679,1.4866,"0.0024, 0.0001, 0.0000",
118,763621,1.4875,"0.0024, 0.0001, 0.0000",
119,775318,1.4933,"0.0011, 0.0005, 0.0004",
