Rank,CAD,Score (lower is better),Eigenvalues,Status
1,793793,0.1027,"0.0109, 0.0091, 0.0006",
2,778504,0.1882,"0.0123, 0.0091, 0.0011",
3,780706,0.1950,"0.0104, 0.0083, 0.0006",
4,792803,0.1981,"0.0104, 0.0083, 0.0006",
5,777135,0.2790,"0.0092, 0.0084, 0.0007",
6,8092284,0.3601,"0.0096, 0.0074, 0.0005",
7,775310,0.4415,"0.0141, 0.0124, 0.0009",
8,8091936,0.4423,"0.0141, 0.0060, 0.0008",⬅️
9,786001,0.4818,"0.0132, 0.0107, 0.0001",
10,8179499,0.4856,"0.0077, 0.0063, 0.0008",
11,8166038,0.4899,"0.0099, 0.0041, 0.0005",
12,794273,0.4930,"0.0078, 0.0061, 0.0008",
13,777141,0.5133,"0.0102, 0.0036, 0.0005",
14,783595,0.5250,"0.0137, 0.0064, 0.0014",
15,774937,0.5437,"0.0119, 0.0071, 0.0021",
16,793832,0.5776,"0.0133, 0.0039, 0.0012",
17,8155627,0.6003,"0.0155, 0.0100, 0.0014",
18,765199,0.6006,"0.0129, 0.0048, 0.0001",
19,783617,0.6130,"0.0109, 0.0048, 0.0019",
20,8094080,0.6136,"0.0170, 0.0109, 0.0009",
21,777551,0.6165,"0.0088, 0.0037, 0.0005",
22,792161,0.6416,"0.0110, 0.0105, 0.0026",
23,8105335,0.6461,"0.0139, 0.0050, 0.0002",
24,775262,0.6598,"0.0112, 0.0100, 0.0028",
25,792441,0.6701,"0.0169, 0.0080, 0.0012",
26,782185,0.6889,"0.0139, 0.0038, 0.0003",
27,765202,0.6931,"0.0087, 0.0048, 0.0001",
28,792440,0.7033,"0.0172, 0.0077, 0.0012",
29,788698,0.7164,"0.0115, 0.0106, 0.0029",
30,8089434,0.7204,"0.0077, 0.0021, 0.0009",
31,777553,0.7204,"0.0059, 0.0059, 0.0006",
32,8111161,0.7242,"0.0073, 0.0055, 0.0014",
33,775316,0.7250,"0.0098, 0.0029, 0.0000",
34,780273,0.7347,"0.0086, 0.0058, 0.0019",
35,784111,0.7633,"0.0086, 0.0025, 0.0003",
36,793646,0.7765,"0.0138, 0.0031, 0.0001",
37,8181152,0.7993,"0.0079, 0.0024, 0.0004",
38,8088206,0.8084,"0.0085, 0.0021, 0.0003",
39,781917,0.8212,"0.0062, 0.0031, 0.0007",
40,8126327,0.8291,"0.0054, 0.0041, 0.0009",
