Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,794516,0.9730,0.0086,2919,✅
2,8111167,0.7480,0.0095,2244,
3,775262,0.7310,0.0075,2193,
4,788698,0.7203,0.0061,2161,
5,774937,0.6967,0.0110,2090,
6,783595,0.6470,0.0084,1941,
7,8111161,0.6243,0.0087,1873,
8,780273,0.5607,0.0086,1682,
9,783617,0.5523,0.0097,1657,
10,8114863,0.5483,0.0123,1645,
11,8179499,0.5400,0.0077,1620,
12,774935,0.5327,0.0117,1598,
13,777135,0.5303,0.0077,1591,
14,8111165,0.5260,0.0119,1578,
15,792161,0.4863,0.0119,1459,
16,777551,0.4800,0.0066,1440,
17,8166043,0.4607,0.0100,1382,
18,793793,0.4517,0.0109,1355,
19,8166038,0.3693,0.0112,1108,
20,8122643,0.3467,0.0118,1040,
21,777141,0.3413,0.0114,1024,
22,8089434,0.3260,0.0103,978,
23,765202,0.3210,0.0107,963,
24,8091936,0.3200,0.0114,960,
25,8126325,0.3193,0.0090,958,
26,765199,0.3150,0.0116,945,
27,8126327,0.3123,0.0104,937,
28,778504,0.3077,0.0117,923,
29,775316,0.3023,0.0095,907,
30,785887,0.3017,0.0115,905,
31,8181152,0.2927,0.0110,878,
32,777553,0.2913,0.0112,874,
33,781912,0.2907,0.0102,872,
34,8103576,0.2887,0.0103,866,
35,792803,0.2807,0.0109,842,
36,784111,0.2783,0.0111,835,
37,793796,0.2727,0.0114,818,
38,8126238,0.2623,0.0118,787,
39,781917,0.2573,0.0118,772,
40,781923,0.2573,0.0128,772,
41,780706,0.2563,0.0120,769,
42,794262,0.2563,0.0091,769,
43,8179627,0.2540,0.0104,762,
44,794273,0.2510,0.0115,753,
45,789366,0.2463,0.0117,739,
46,774135,0.2400,0.0088,720,
47,781916,0.2370,0.0116,711,
48,8093514,0.2340,0.0105,702,
49,793426,0.2293,0.0119,688,
50,781915,0.2220,0.0123,666,
51,793791,0.2213,0.0091,664,
52,8103578,0.2200,0.0114,660,
53,788771,0.2157,0.0116,647,
54,8092284,0.2123,0.0118,637,
55,791705,0.2030,0.0112,609,
56,776840,0.1990,0.0107,597,
57,8088206,0.1873,0.0111,562,
58,765201,0.1803,0.0111,541,
59,8122655,0.1747,0.0119,524,
60,772840,0.1443,0.0091,433,
61,777043,0.1417,0.0115,425,
62,8063088,0.1340,0.0115,402,
63,772841,0.1273,0.0104,382,
64,779861,0.1260,0.0111,378,
