Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,776560,0.9727,0.0090,2918,✅
2,793975,0.9320,0.0119,2796,
3,772742,0.9303,0.0097,2791,
4,793978,0.9003,0.0105,2701,
5,772801,0.8843,0.0100,2653,
6,772809,0.8817,0.0111,2645,
7,788923,0.8613,0.0087,2584,
8,788920,0.8287,0.0128,2486,
9,772810,0.8120,0.0110,2436,
10,8186079,0.7940,0.0116,2382,
11,774596,0.6243,0.0084,1873,
12,8181146,0.5763,0.0109,1729,
13,8172412,0.5550,0.0110,1665,
14,772805,0.5487,0.0089,1646,
15,772804,0.5150,0.0083,1545,
16,785997,0.4797,0.0117,1439,
17,788909,0.4587,0.0098,1376,
18,780283,0.4437,0.0085,1331,
19,772763,0.4290,0.0108,1287,
20,772764,0.4177,0.0116,1253,
21,8172414,0.4153,0.0120,1246,
22,781899,0.3920,0.0113,1176,
23,771731,0.2773,0.0114,832,
24,788905,0.2373,0.0088,712,
25,8096342,0.1890,0.0114,567,
26,8100975,0.1847,0.0120,554,
27,763638,0.1663,0.0094,499,
28,8093316,0.1160,0.0113,348,
29,8091304,0.1087,0.0118,326,
30,8100969,0.0963,0.0107,289,
31,788695,0.0840,0.0125,252,
32,778091,0.0747,0.0078,224,
33,778429,0.0527,0.0109,158,
