Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,8126327,0.9993,0.0073,2998,
2,793796,0.9970,0.0095,2991,
3,781915,0.9950,0.0068,2985,⬅️
4,8166043,0.9647,0.0088,2894,
5,781912,0.9250,0.0083,2775,
6,781923,0.9113,0.0089,2734,
7,8126325,0.8797,0.0135,2639,
8,8122655,0.8100,0.0106,2430,
9,8126238,0.7987,0.0116,2396,
10,8103578,0.7630,0.0110,2289,
11,8166038,0.7467,0.0118,2240,
12,793832,0.7343,0.0109,2203,
13,793426,0.7337,0.0115,2201,
14,781916,0.7273,0.0099,2182,
15,8089434,0.6840,0.0103,2052,
16,781917,0.6573,0.0111,1972,
17,788771,0.6470,0.0110,1941,
18,765201,0.6243,0.0111,1873,
19,785887,0.5503,0.0094,1651,
20,791705,0.5487,0.0109,1646,
21,794262,0.5393,0.0112,1618,
22,777141,0.5203,0.0120,1561,
23,784111,0.5037,0.0116,1511,
24,8093514,0.5013,0.0115,1504,
25,777551,0.4933,0.0117,1480,
26,8088206,0.4853,0.0118,1456,
27,776840,0.4777,0.0109,1433,
28,777240,0.4390,0.0109,1317,
29,8179627,0.4347,0.0117,1304,
30,777043,0.4273,0.0108,1282,
31,794515,0.4097,0.0105,1229,
32,8103576,0.4017,0.0108,1205,
33,8148795,0.3980,0.0116,1194,
34,777217,0.3793,0.0126,1138,
35,8174397,0.3790,0.0107,1137,
36,8181152,0.3573,0.0115,1072,
37,781613,0.3483,0.0118,1045,
38,774135,0.3400,0.0113,1020,
39,8139855,0.3227,0.0115,968,
40,781914,0.3000,0.0107,900,
41,8178944,0.2977,0.0116,893,
42,8188922,0.2963,0.0109,889,
