Rank,CAD,Score (lower is better),Eigenvalues,Status
1,8179611,0.0778,"0.0582, 0.0498, 0.0003",
2,8176966,0.1005,"0.0564, 0.0528, 0.0004",
3,8176978,0.1238,"0.0570, 0.0553, 0.0004",
4,780254,0.2478,"0.0606, 0.0515, 0.0001",
5,793978,0.2520,"0.0543, 0.0535, 0.0001",
6,793975,0.2537,"0.0539, 0.0529, 0.0001",
7,777942,0.2579,"0.0642, 0.0500, 0.0002",⬅️
8,775999,0.3288,"0.0625, 0.0578, 0.0001",
9,792937,0.3394,"0.0736, 0.0494, 0.0004",
10,793981,0.3812,"0.0679, 0.0644, 0.0002",
11,793982,0.3815,"0.0679, 0.0644, 0.0002",
12,788916,0.4516,"0.0647, 0.0448, 0.0000",
13,772809,0.5142,"0.0537, 0.0326, 0.0000",
14,772801,0.5202,"0.0522, 0.0347, 0.0000",
15,780300,0.5206,"0.0569, 0.0270, 0.0006",
16,780299,0.5249,"0.0566, 0.0268, 0.0006",
17,772810,0.5321,"0.0545, 0.0306, 0.0000",
18,788920,0.5378,"0.0655, 0.0302, 0.0001",
19,772734,0.5516,"0.0717, 0.0457, 0.0000",
20,772732,0.5629,"0.0720, 0.0452, 0.0000",
21,772733,0.5757,"0.0719, 0.0604, 0.0000",
22,8095212,0.5759,"0.0751, 0.0579, 0.0006",
23,793998,0.6247,"0.0590, 0.0226, 0.0007",
24,772741,0.6337,"0.0707, 0.0313, 0.0001",
25,772749,0.6393,"0.0711, 0.0316, 0.0001",
26,772769,0.6697,"0.0816, 0.0423, 0.0001",
27,788794,0.6712,"0.0598, 0.0097, 0.0001",
28,778082,0.6879,"0.0572, 0.0049, 0.0001",
29,780283,0.6883,"0.0502, 0.0169, 0.0001",
30,777948,0.7042,"0.0640, 0.0096, 0.0001",
31,8186079,0.7075,"0.0453, 0.0298, 0.0000",
32,777945,0.7255,"0.0632, 0.0099, 0.0001",
33,772745,0.7289,"0.0762, 0.0315, 0.0001",
34,771731,0.7580,"0.0355, 0.0321, 0.0001",
35,8158965,0.7644,"0.0668, 0.0047, 0.0002",
36,793997,0.7819,"0.0611, 0.0377, 0.0011",
37,772726,0.8001,"0.0549, 0.0002, 0.0000",
38,788923,0.8014,"0.0393, 0.0259, 0.0001",
