Rank,CAD,Score (lower is better),Eigenvalues,Status
1,8092992,0.2118,"0.0210, 0.0150, 0.0036",
2,772132,0.2324,"0.0203, 0.0141, 0.0032",
3,783596,0.4052,"0.0201, 0.0090, 0.0034",
4,8149518,0.4124,"0.0200, 0.0089, 0.0034",
5,8143504,0.4135,"0.0200, 0.0089, 0.0034",
6,8125655,0.4173,"0.0199, 0.0089, 0.0034",
7,8126425,0.4175,"0.0198, 0.0089, 0.0034",
8,779815,0.4211,"0.0289, 0.0118, 0.0024",
9,781926,0.4743,"0.0210, 0.0084, 0.0018",
10,779533,0.4763,"0.0180, 0.0150, 0.0011",
11,779530,0.4768,"0.0181, 0.0152, 0.0011",
12,787913,0.4843,"0.0256, 0.0238, 0.0054",
13,794008,0.5267,"0.0334, 0.0161, 0.0039",
14,798475,0.5298,"0.0261, 0.0061, 0.0020",
15,793548,0.5320,"0.0251, 0.0065, 0.0009",
16,8088959,0.5355,"0.0148, 0.0139, 0.0073",⬅️
17,788695,0.5384,"0.0284, 0.0116, 0.0000",
18,798480,0.5470,"0.0265, 0.0061, 0.0020",
19,8112097,0.5500,"0.0305, 0.0125, 0.0008",
20,785169,0.5647,"0.0352, 0.0121, 0.0044",
21,781831,0.5658,"0.0265, 0.0221, 0.0074",
22,779434,0.5749,"0.0318, 0.0131, 0.0009",
23,781899,0.5788,"0.0229, 0.0219, 0.0000",
24,8094080,0.6058,"0.0170, 0.0109, 0.0009",
25,777155,0.6075,"0.0261, 0.0211, 0.0092",
26,788786,0.6153,"0.0235, 0.0233, 0.0094",
27,771736,0.6409,"0.0149, 0.0143, 0.0001",
28,8172406,0.6577,"0.0359, 0.0144, 0.0024",
29,784856,0.6645,"0.0235, 0.0222, 0.0110",
30,794870,0.6657,"0.0363, 0.0143, 0.0024",
31,8155627,0.6694,"0.0155, 0.0100, 0.0014",
32,8141860,0.6736,"0.0324, 0.0088, 0.0025",
33,775310,0.6746,"0.0141, 0.0124, 0.0009",
34,778448,0.6899,"0.0219, 0.0029, 0.0008",
35,792440,0.6932,"0.0172, 0.0077, 0.0012",
36,792441,0.6938,"0.0169, 0.0080, 0.0012",
37,785997,0.7002,"0.0273, 0.0225, 0.0002",
38,8100975,0.7246,"0.0197, 0.0055, 0.0001",
39,8139623,0.7249,"0.0175, 0.0058, 0.0017",
40,772144,0.7254,"0.0367, 0.0154, 0.0069",
41,785173,0.7262,"0.0373, 0.0145, 0.0070",
42,782438,0.7271,"0.0231, 0.0008, 0.0006",
43,781921,0.7275,"0.0190, 0.0038, 0.0018",
44,788698,0.7390,"0.0115, 0.0106, 0.0029",
45,768552,0.7501,"0.0149, 0.0087, 0.0079",
46,8100969,0.7513,"0.0191, 0.0055, 0.0001",
47,774935,0.7655,"0.0138, 0.0073, 0.0028",
48,775262,0.7740,"0.0112, 0.0100, 0.0028",
49,792161,0.7789,"0.0110, 0.0105, 0.0026",
50,8181354,0.7873,"0.0146, 0.0085, 0.0083",
51,8101572,0.7927,"0.0249, 0.0003, 0.0000",
52,8172412,0.8139,"0.0351, 0.0117, 0.0000",
53,786001,0.8140,"0.0132, 0.0107, 0.0001",
54,8172414,0.8224,"0.0352, 0.0116, 0.0000",
55,8087967,0.8505,"0.0384, 0.0134, 0.0008",
56,778504,0.8540,"0.0123, 0.0091, 0.0011",
57,8172410,0.8806,"0.0306, 0.0274, 0.0065",
58,783595,0.8810,"0.0137, 0.0064, 0.0014",
59,774937,0.8891,"0.0119, 0.0071, 0.0021",
60,785159,0.8951,"0.0351, 0.0181, 0.0094",
61,794871,0.9011,"0.0404, 0.0123, 0.0021",
62,8091936,0.9071,"0.0141, 0.0060, 0.0008",
63,772764,0.9179,"0.0349, 0.0085, 0.0001",
64,772763,0.9232,"0.0350, 0.0085, 0.0001",
65,787914,0.9325,"0.0383, 0.0085, 0.0024",
66,793793,0.9383,"0.0109, 0.0091, 0.0006",
67,771742,0.9690,"0.0232, 0.0218, 0.0166",
68,8092901,0.9713,"0.0385, 0.0075, 0.0066",
69,8105335,0.9818,"0.0139, 0.0050, 0.0002",
70,8174395,0.9848,"0.0148, 0.0042, 0.0000",
71,780706,0.9889,"0.0104, 0.0083, 0.0006",
72,792803,0.9898,"0.0104, 0.0083, 0.0006",
73,8100966,0.9903,"0.0178, 0.0004, 0.0001",
74,793832,0.9957,"0.0133, 0.0039, 0.0012",
75,794516,1.0042,"0.0076, 0.0061, 0.0052",
76,793787,1.0125,"0.0174, 0.0003, 0.0000",
77,782185,1.0201,"0.0139, 0.0038, 0.0003",
78,763638,1.0208,"0.0305, 0.0005, 0.0001",
79,783617,1.0216,"0.0109, 0.0048, 0.0019",
80,784907,1.0322,"0.0400, 0.0096, 0.0012",
81,777135,1.0326,"0.0092, 0.0084, 0.0007",
82,8111167,1.0337,"0.0090, 0.0059, 0.0025",
83,8111165,1.0338,"0.0090, 0.0059, 0.0025",
84,765199,1.0412,"0.0129, 0.0048, 0.0001",
85,8181146,1.0467,"0.0423, 0.0143, 0.0000",
86,793646,1.0592,"0.0138, 0.0031, 0.0001",
87,8092284,1.0632,"0.0096, 0.0074, 0.0005",
88,774596,1.0641,"0.0429, 0.0140, 0.0000",
89,778429,1.0715,"0.0315, 0.0002, 0.0001",
90,780827,1.0831,"0.0371, 0.0232, 0.0012",
91,780273,1.0852,"0.0086, 0.0058, 0.0019",
92,8096342,1.0927,"0.0371, 0.0056, 0.0004",
93,8114863,1.1095,"0.0056, 0.0046, 0.0046",
94,772797,1.1621,"0.0141, 0.0001, 0.0000",
95,772796,1.1623,"0.0141, 0.0001, 0.0000",
96,8179499,1.1642,"0.0077, 0.0063, 0.0008",
97,8166038,1.1654,"0.0099, 0.0041, 0.0005",
98,794273,1.1685,"0.0078, 0.0061, 0.0008",
99,8181356,1.1696,"0.0140, 0.0000, 0.0000",
100,775510,1.1725,"0.0139, 0.0000, 0.0000",
101,777141,1.1762,"0.0102, 0.0036, 0.0005",
102,8111161,1.1801,"0.0073, 0.0055, 0.0014",
103,8093316,1.1913,"0.0399, 0.0068, 0.0000",
104,765202,1.2144,"0.0087, 0.0048, 0.0001",
105,777551,1.2261,"0.0088, 0.0037, 0.0005",
106,775316,1.2417,"0.0098, 0.0029, 0.0000",
107,776560,1.2602,"0.0326, 0.0317, 0.0001",
108,777553,1.2639,"0.0059, 0.0059, 0.0006",
109,8166043,1.2674,"0.0062, 0.0044, 0.0013",
110,784111,1.2887,"0.0086, 0.0025, 0.0003",
111,793796,1.2994,"0.0062, 0.0036, 0.0012",
112,8089434,1.3082,"0.0077, 0.0021, 0.0009",
113,8088206,1.3121,"0.0085, 0.0021, 0.0003",
114,8181152,1.3178,"0.0079, 0.0024, 0.0004",
115,8179627,1.3234,"0.0083, 0.0023, 0.0000",
116,785887,1.3255,"0.0059, 0.0030, 0.0014",
