Rank,CAD,Score (lower is better),Eigenvalues,Status
1,771731,0.4852,"0.0355, 0.0321, 0.0001",
2,788920,0.5344,"0.0655, 0.0302, 0.0001",
3,785997,0.5900,"0.0273, 0.0225, 0.0002",
4,777942,0.6737,"0.0642, 0.0500, 0.0002",
5,776560,0.6773,"0.0326, 0.0317, 0.0001",
6,772741,0.6812,"0.0707, 0.0313, 0.0001",
7,772749,0.6884,"0.0711, 0.0316, 0.0001",
8,772769,0.6912,"0.0816, 0.0423, 0.0001",
9,772742,0.7135,"0.0347, 0.0312, 0.0001",
10,780283,0.7304,"0.0502, 0.0169, 0.0001",
11,788923,0.7361,"0.0393, 0.0259, 0.0001",
12,772745,0.7423,"0.0762, 0.0315, 0.0001",
13,793975,0.8012,"0.0539, 0.0529, 0.0001",
14,793978,0.8181,"0.0543, 0.0535, 0.0001",
15,8179611,0.8213,"0.0582, 0.0498, 0.0003",
16,772809,0.8290,"0.0537, 0.0326, 0.0000",
17,777948,0.8389,"0.0640, 0.0096, 0.0001",
18,772801,0.8422,"0.0522, 0.0347, 0.0000",
19,780254,0.8590,"0.0606, 0.0515, 0.0001",
20,792429,0.8809,"0.0912, 0.0452, 0.0001",
21,8158965,0.8972,"0.0668, 0.0047, 0.0002",
22,772810,0.9096,"0.0545, 0.0306, 0.0000",⬅️
23,8186079,0.9904,"0.0453, 0.0298, 0.0000",
24,777945,0.9923,"0.0632, 0.0099, 0.0001",
25,772763,0.9937,"0.0350, 0.0085, 0.0001",
26,772764,0.9967,"0.0349, 0.0085, 0.0001",
27,788794,1.0008,"0.0598, 0.0097, 0.0001",
28,778082,1.0319,"0.0572, 0.0049, 0.0001",
29,775999,1.0397,"0.0625, 0.0578, 0.0001",
30,788909,1.0559,"0.0433, 0.0222, 0.0000",
31,772734,1.0611,"0.0717, 0.0457, 0.0000",
32,772732,1.0614,"0.0720, 0.0452, 0.0000",
33,782016,1.0698,"0.0963, 0.0081, 0.0001",
34,788916,1.0904,"0.0647, 0.0448, 0.0000",
35,8100975,1.0916,"0.0197, 0.0055, 0.0001",
36,8100969,1.1176,"0.0191, 0.0055, 0.0001",
37,792937,1.1200,"0.0736, 0.0494, 0.0004",
38,8105335,1.1238,"0.0139, 0.0050, 0.0002",
39,786001,1.1337,"0.0132, 0.0107, 0.0001",
40,8181146,1.1534,"0.0423, 0.0143, 0.0000",
41,781899,1.1544,"0.0229, 0.0219, 0.0000",
42,774596,1.1548,"0.0429, 0.0140, 0.0000",
43,776548,1.1573,"0.0744, 0.0001, 0.0001",
44,771736,1.1615,"0.0149, 0.0143, 0.0001",
45,793982,1.1708,"0.0679, 0.0644, 0.0002",
46,793981,1.1713,"0.0679, 0.0644, 0.0002",
47,8176966,1.2069,"0.0564, 0.0528, 0.0004",
48,8172414,1.2094,"0.0352, 0.0116, 0.0000",
49,8172412,1.2098,"0.0351, 0.0117, 0.0000",
50,772805,1.2127,"0.0473, 0.0097, 0.0000",
51,763640,1.2248,"0.0957, 0.0014, 0.0001",
52,782185,1.2251,"0.0139, 0.0038, 0.0003",
53,788905,1.2254,"0.0392, 0.0013, 0.0001",
54,772804,1.2269,"0.0477, 0.0090, 0.0000",
55,8179614,1.2337,"0.1126, 0.0380, 0.0001",
56,780288,1.2370,"0.1053, 0.0443, 0.0001",
57,780287,1.2439,"0.1048, 0.0122, 0.0001",
58,788695,1.2469,"0.0284, 0.0116, 0.0000",
59,765199,1.2527,"0.0129, 0.0048, 0.0001",
60,8093316,1.2562,"0.0399, 0.0068, 0.0000",
61,778091,1.2619,"0.0393, 0.0006, 0.0001",
62,793646,1.2649,"0.0138, 0.0031, 0.0001",
63,770066,1.2654,"0.1047, 0.0500, 0.0001",
64,772725,1.2692,"0.0547, 0.0002, 0.0000",
65,772726,1.2694,"0.0549, 0.0002, 0.0000",
66,8091607,1.2784,"0.0985, 0.0569, 0.0001",
67,763638,1.2810,"0.0305, 0.0005, 0.0001",
68,778429,1.2869,"0.0315, 0.0002, 0.0001",
69,765202,1.2967,"0.0087, 0.0048, 0.0001",
70,8103576,1.3016,"0.0046, 0.0029, 0.0002",
71,8122655,1.3026,"0.0045, 0.0032, 0.0002",
72,8100966,1.3089,"0.0178, 0.0004, 0.0001",
73,8176978,1.3120,"0.0570, 0.0553, 0.0004",
74,8088206,1.3188,"0.0085, 0.0021, 0.0003",
75,8139718,1.3264,"0.0033, 0.0023, 0.0002",
76,8179592,1.3323,"0.1199, 0.0432, 0.0001",
77,791705,1.3356,"0.0046, 0.0029, 0.0003",
78,8179617,1.3521,"0.1107, 0.0025, 0.0002",
79,779699,1.3555,"0.0034, 0.0014, 0.0002",
80,784111,1.3582,"0.0086, 0.0025, 0.0003",
81,778897,1.3591,"0.0050, 0.0002, 0.0002",
82,8101572,1.3624,"0.0249, 0.0003, 0.0000",
83,8091304,1.3649,"0.0407, 0.0022, 0.0000",
84,8122643,1.3721,"0.0047, 0.0045, 0.0001",
85,777043,1.3726,"0.0067, 0.0012, 0.0003",
86,765201,1.3732,"0.0049, 0.0033, 0.0001",
87,772733,1.3733,"0.0719, 0.0604, 0.0000",
88,781282,1.3793,"0.0041, 0.0008, 0.0001",
89,779861,1.3822,"0.0053, 0.0044, 0.0001",
90,8179589,1.3922,"0.1238, 0.0499, 0.0002",
91,778899,1.4013,"0.0026, 0.0003, 0.0001",
92,778906,1.4083,"0.0016, 0.0006, 0.0003",
93,8144696,1.4235,"0.0037, 0.0005, 0.0003",
94,792783,1.4294,"0.0006, 0.0006, 0.0001",
95,8098446,1.4568,"0.0014, 0.0004, 0.0001",
96,778920,1.4624,"0.0014, 0.0006, 0.0003",
97,780255,1.4656,"0.0989, 0.0003, 0.0000",
98,8174395,1.4814,"0.0148, 0.0042, 0.0000",
99,794515,1.4894,"0.0042, 0.0010, 0.0003",
100,8095941,1.4918,"0.0013, 0.0002, 0.0001",
101,8179627,1.4922,"0.0083, 0.0023, 0.0000",
102,793405,1.5100,"0.0005, 0.0003, 0.0001",
103,775316,1.5244,"0.0098, 0.0029, 0.0000",
104,8117985,1.5360,"0.0033, 0.0013, 0.0000",
105,772797,1.5458,"0.0141, 0.0001, 0.0000",
106,772796,1.5463,"0.0141, 0.0001, 0.0000",
107,793787,1.5594,"0.0174, 0.0003, 0.0000",
108,8096342,1.5636,"0.0371, 0.0056, 0.0004",
109,780295,1.5714,"0.1114, 0.0557, 0.0000",
110,780296,1.5746,"0.1113, 0.0560, 0.0000",
111,8181356,1.5760,"0.0140, 0.0000, 0.0000",
112,775510,1.5763,"0.0139, 0.0000, 0.0000",
113,792350,1.5817,"0.0011, 0.0008, 0.0003",
114,8093118,1.5824,"0.0006, 0.0004, 0.0003",
115,780252,1.5900,"0.1124, 0.0622, 0.0001",
116,772840,1.5931,"0.0089, 0.0001, 0.0000",
117,772841,1.5941,"0.0088, 0.0001, 0.0000",
118,8171486,1.5956,"0.0017, 0.0016, 0.0004",
119,781613,1.6025,"0.0043, 0.0023, 0.0004",
120,8063088,1.6033,"0.0073, 0.0004, 0.0000",
121,8063089,1.6239,"0.0038, 0.0005, 0.0000",
122,778844,1.6296,"0.0024, 0.0024, 0.0000",
123,8121692,1.6397,"0.0015, 0.0001, 0.0000",
124,8121694,1.6401,"0.0015, 0.0001, 0.0000",
125,8141343,1.6405,"0.0004, 0.0001, 0.0000",
126,793768,1.6411,"0.0007, 0.0003, 0.0000",
127,793791,1.6433,"0.0078, 0.0003, 0.0000",
128,777991,1.6497,"0.0041, 0.0020, 0.0000",
129,777133,1.6572,"0.0025, 0.0025, 0.0000",
130,791713,1.6655,"0.0035, 0.0003, 0.0000",
131,792510,1.6705,"0.0024, 0.0005, 0.0000",
132,798512,1.6747,"0.0029, 0.0002, 0.0000",
133,767340,1.6760,"0.0024, 0.0003, 0.0000",
134,763620,1.6810,"0.0024, 0.0001, 0.0000",
135,763621,1.6812,"0.0024, 0.0001, 0.0000",
136,794679,1.6821,"0.0024, 0.0001, 0.0000",
137,777253,1.6824,"0.0013, 0.0008, 0.0000",
138,794601,1.6879,"0.0018, 0.0001, 0.0000",
139,798351,1.6888,"0.0019, 0.0000, 0.0000",
140,777087,1.6985,"0.0012, 0.0010, 0.0000",
141,793789,1.7005,"0.0020, 0.0003, 0.0000",
142,763660,1.7012,"0.0005, 0.0001, 0.0000",
143,793689,1.7015,"0.0004, 0.0001, 0.0000",
144,794159,1.7055,"0.0004, 0.0000, 0.0000",
145,792795,1.7077,"0.0001, 0.0001, 0.0000",
146,8150394,1.7098,"0.0008, 0.0006, 0.0000",
147,776935,1.7103,"0.0015, 0.0003, 0.0000",
148,767940,1.7117,"0.0005, 0.0005, 0.0000",
149,784049,1.7118,"0.0010, 0.0004, 0.0000",
150,8092190,1.7157,"0.0006, 0.0005, 0.0000",
151,779608,1.7171,"0.0005, 0.0005, 0.0000",
152,8181152,1.7174,"0.0079, 0.0024, 0.0004",
153,8092171,1.7198,"0.0006, 0.0002, 0.0000",
154,8092284,1.7363,"0.0096, 0.0074, 0.0005",
155,8178944,1.7364,"0.0043, 0.0024, 0.0004",
156,775318,1.7494,"0.0011, 0.0005, 0.0004",
157,776556,1.8463,"0.1165, 0.0669, 0.0000",
158,777141,1.9137,"0.0102, 0.0036, 0.0005",
159,777239,1.9402,"0.0024, 0.0009, 0.0005",
160,791816,1.9516,"0.1486, 0.0487, 0.0000",
161,791817,1.9731,"0.1477, 0.0532, 0.0000",
162,777217,1.9986,"0.0045, 0.0008, 0.0005",
163,791819,2.0165,"0.1667, 0.0256, 0.0002",
164,8093514,2.0211,"0.0072, 0.0024, 0.0005",
165,777551,2.0353,"0.0088, 0.0037, 0.0005",
166,8188926,2.0574,"0.0011, 0.0008, 0.0005",
167,778915,2.0630,"0.0014, 0.0009, 0.0005",
168,788771,2.0791,"0.0052, 0.0032, 0.0005",
169,774135,2.1210,"0.0066, 0.0007, 0.0005",
170,8166038,2.1440,"0.0099, 0.0041, 0.0005",
171,782438,2.2114,"0.0231, 0.0008, 0.0006",
172,780299,2.2677,"0.0566, 0.0268, 0.0006",
173,780300,2.2781,"0.0569, 0.0270, 0.0006",
174,781923,2.3072,"0.0044, 0.0026, 0.0006",
175,8095212,2.3094,"0.0751, 0.0579, 0.0006",
176,8103578,2.3123,"0.0055, 0.0028, 0.0006",
177,792803,2.3132,"0.0104, 0.0083, 0.0006",
178,793426,2.3198,"0.0055, 0.0028, 0.0006",
179,792358,2.3357,"0.0018, 0.0011, 0.0006",
180,780706,2.3557,"0.0104, 0.0083, 0.0006",
181,793793,2.3896,"0.0109, 0.0091, 0.0006",
182,777553,2.4651,"0.0059, 0.0059, 0.0006",
183,777135,2.6029,"0.0092, 0.0084, 0.0007",
184,8174397,2.6261,"0.0028, 0.0017, 0.0006",
185,781914,2.6264,"0.0022, 0.0013, 0.0006",
186,781916,2.6355,"0.0062, 0.0030, 0.0006",
187,8091602,2.6614,"0.0838, 0.0690, 0.0006",
