Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,792430,0.7450,0.0115,2235,
2,787629,0.7273,0.0108,2182,⬅️
3,793999,0.6303,0.0106,1891,
4,781744,0.6020,0.0115,1806,
5,780299,0.6017,0.0103,1805,
6,780300,0.6013,0.0101,1804,
7,793998,0.6007,0.0101,1802,
8,783619,0.5907,0.0078,1772,
9,784907,0.5210,0.0113,1563,
10,8172406,0.4830,0.0104,1449,
11,794870,0.4603,0.0118,1381,
12,8087967,0.3447,0.0121,1034,
13,794871,0.3417,0.0095,1025,
14,781926,0.2627,0.0110,788,
15,779815,0.2173,0.0125,652,
16,8155627,0.2003,0.0097,601,
17,780827,0.1420,0.0121,426,
18,8112097,0.1323,0.0118,397,
19,779434,0.1177,0.0120,353,
20,787914,0.1143,0.0107,343,
21,779533,0.0787,0.0124,236,
22,779530,0.0707,0.0114,212,
