Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,785169,0.9277,0.0095,2783,✅
2,785173,0.8670,0.0103,2601,
3,772144,0.8257,0.0107,2477,
4,8092901,0.8007,0.0096,2402,
5,8092992,0.7820,0.0076,2346,
6,794871,0.7703,0.0109,2311,
7,794870,0.7587,0.0093,2276,
8,8172406,0.7427,0.0092,2228,
9,8088959,0.7340,0.0105,2202,
10,772132,0.7310,0.0096,2193,
11,775262,0.7137,0.0087,2141,
12,788698,0.7127,0.0090,2138,
13,794008,0.7120,0.0098,2136,
14,8149518,0.6847,0.0078,2054,
15,783596,0.6843,0.0101,2053,
16,8143504,0.6817,0.0090,2045,
17,8126425,0.6817,0.0082,2045,
18,8125655,0.6770,0.0098,2031,
19,784907,0.6573,0.0086,1972,
20,779815,0.6553,0.0106,1966,
21,792441,0.6163,0.0084,1849,
22,792440,0.6160,0.0084,1848,
23,781926,0.5920,0.0103,1776,
24,8087967,0.5900,0.0106,1770,
25,8141860,0.5800,0.0090,1740,
26,794516,0.5290,0.0086,1587,
27,772763,0.4870,0.0109,1461,
28,772764,0.4833,0.0109,1450,
29,779434,0.4650,0.0110,1395,
30,8094080,0.4430,0.0112,1329,
31,774937,0.4317,0.0103,1295,
32,798475,0.4020,0.0109,1206,
33,793548,0.3837,0.0114,1151,
34,8111167,0.3597,0.0098,1079,
35,8139623,0.3217,0.0092,965,
36,792161,0.3103,0.0121,931,
37,8112097,0.3097,0.0101,929,
38,798480,0.3083,0.0088,925,
39,8155627,0.2903,0.0095,871,
40,768552,0.2837,0.0128,851,
41,8111165,0.2837,0.0118,851,
42,8114863,0.2587,0.0108,776,
43,8181354,0.2443,0.0120,733,
44,781921,0.2417,0.0120,725,
45,774935,0.1747,0.0123,524,
46,787914,0.1610,0.0121,483,
