Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,772144,0.9837,0.0107,2951,
2,8092901,0.8800,0.0111,2640,⬅️
3,785169,0.6917,0.0093,2075,
4,785173,0.6363,0.0114,1909,
5,784907,0.5690,0.0082,1707,
6,779815,0.5263,0.0099,1579,
7,783619,0.5090,0.0070,1527,
8,794871,0.4800,0.0085,1440,
9,8141860,0.4533,0.0121,1360,
10,787914,0.4130,0.0094,1239,
11,8181354,0.3950,0.0102,1185,
12,8143504,0.3827,0.0089,1148,
13,774935,0.3453,0.0082,1036,
14,768552,0.3447,0.0122,1034,
15,798475,0.2457,0.0120,737,
16,8125655,0.2430,0.0124,729,
17,8149518,0.2413,0.0122,724,
18,8126425,0.2247,0.0116,674,
19,798480,0.2217,0.0123,665,
20,781926,0.1623,0.0118,487,
21,794516,0.1480,0.0120,444,
22,783596,0.1247,0.0123,374,
