Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,772733,0.9723,0.0105,2917,✅
2,780296,0.9667,0.0103,2900,
3,780295,0.9320,0.0102,2796,
4,8179589,0.9277,0.0113,2783,
5,792429,0.8787,0.0117,2636,
6,780288,0.8620,0.0114,2586,
7,780252,0.8550,0.0108,2565,
8,8179611,0.8457,0.0107,2537,
9,780254,0.8270,0.0110,2481,
10,772732,0.8220,0.0105,2466,
11,772734,0.8173,0.0108,2452,
12,770066,0.8080,0.0107,2424,
13,793978,0.7807,0.0108,2342,
14,772769,0.7777,0.0114,2333,
15,793975,0.7730,0.0106,2319,
16,777942,0.7590,0.0107,2277,
17,8179592,0.7480,0.0100,2244,
18,8091607,0.7470,0.0119,2241,
19,8179614,0.7447,0.0103,2234,
20,772749,0.7063,0.0100,2119,
21,772745,0.7057,0.0097,2117,
22,772801,0.7000,0.0101,2100,
23,772741,0.6990,0.0093,2097,
24,788916,0.6947,0.0098,2084,
25,788920,0.6797,0.0102,2039,
26,772809,0.6690,0.0087,2007,
27,788923,0.5693,0.0108,1708,
28,8176966,0.5563,0.0115,1669,
29,772742,0.5000,0.0116,1500,
30,777948,0.3903,0.0091,1171,
31,785997,0.3623,0.0101,1087,
32,8158965,0.3247,0.0098,974,
33,793981,0.3017,0.0120,905,
34,782016,0.2837,0.0095,851,
35,793982,0.2677,0.0120,803,
36,775999,0.2377,0.0103,713,
37,771731,0.2187,0.0095,656,
38,792937,0.2020,0.0123,606,
39,776560,0.1600,0.0118,480,
40,780283,0.1313,0.0107,394,
