Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,780827,0.8123,0.0098,2437,✅
2,794008,0.7297,0.0124,2189,
3,785169,0.7187,0.0102,2156,
4,779815,0.6757,0.0110,2027,
5,8172406,0.6643,0.0119,1993,
6,794870,0.6417,0.0123,1925,
7,793999,0.6253,0.0109,1876,
8,793998,0.6130,0.0120,1839,
9,794871,0.5567,0.0125,1670,
10,779434,0.5403,0.0142,1621,
11,784907,0.5070,0.0096,1521,
12,787914,0.5033,0.0098,1510,
13,774596,0.4780,0.0107,1434,
14,780299,0.4767,0.0126,1430,
15,8181146,0.4727,0.0103,1418,
16,772804,0.4623,0.0108,1387,
17,8155627,0.4470,0.0088,1341,
18,8087967,0.4457,0.0117,1337,
19,788905,0.4413,0.0095,1324,
20,8094080,0.4393,0.0122,1318,
21,798475,0.4293,0.0111,1288,
22,8092992,0.4290,0.0108,1287,
23,772763,0.4263,0.0113,1279,
24,785997,0.4230,0.0117,1269,
25,781926,0.4127,0.0078,1238,
26,772805,0.4070,0.0088,1221,
27,785149,0.4030,0.0138,1209,
28,8112097,0.3967,0.0114,1190,
29,772132,0.3937,0.0116,1181,
30,8141860,0.3933,0.0118,1180,
31,798480,0.3927,0.0104,1178,
32,8091304,0.3927,0.0090,1178,
33,788920,0.3853,0.0133,1156,
34,771731,0.3847,0.0112,1154,
35,788923,0.3540,0.0122,1062,
36,793548,0.3473,0.0115,1042,
37,783619,0.3453,0.0097,1036,
38,772810,0.3323,0.0120,997,
39,779533,0.3150,0.0108,945,
40,780283,0.3117,0.0104,935,
41,772809,0.2997,0.0120,899,
42,8093316,0.2950,0.0116,885,
43,788794,0.2940,0.0122,882,
44,777948,0.2720,0.0122,816,
45,787629,0.2710,0.0120,813,
46,785150,0.2613,0.0126,784,
47,8186079,0.2550,0.0134,765,
48,780300,0.2450,0.0130,735,
49,793997,0.2443,0.0125,733,
50,772764,0.2370,0.0117,711,
51,788909,0.2307,0.0116,692,
52,778082,0.2257,0.0116,677,
53,777945,0.2123,0.0125,637,
54,779530,0.2060,0.0121,618,
55,8158965,0.2037,0.0118,611,
56,8172414,0.1767,0.0121,530,
57,8172412,0.1753,0.0117,526,
58,8096342,0.1703,0.0113,511,
59,772725,0.1673,0.0114,502,
60,772742,0.1613,0.0123,484,
61,776560,0.1577,0.0124,473,
62,778091,0.1490,0.0125,447,
63,781899,0.1327,0.0116,398,
64,772801,0.1303,0.0127,391,
65,772726,0.1140,0.0098,342,
66,788695,0.1063,0.0119,319,
