Rank,CAD,Score (lower is better),Eigenvalues,Status
1,785159,0.1413,"0.0351, 0.0181, 0.0094",
2,777155,0.2278,"0.0261, 0.0211, 0.0092",
3,771612,0.2686,"0.0418, 0.0229, 0.0101",
4,771615,0.2701,"0.0419, 0.0227, 0.0101",
5,781831,0.3136,"0.0265, 0.0221, 0.0074",
6,788786,0.3216,"0.0235, 0.0233, 0.0094",
7,784856,0.3457,"0.0235, 0.0222, 0.0110",
8,772144,0.3919,"0.0367, 0.0154, 0.0069",
9,785173,0.4201,"0.0373, 0.0145, 0.0070",
10,8172410,0.4478,"0.0306, 0.0274, 0.0065",
11,787913,0.5088,"0.0256, 0.0238, 0.0054",
12,794008,0.6306,"0.0334, 0.0161, 0.0039",
13,785169,0.6854,"0.0352, 0.0121, 0.0044",
14,8088959,0.6912,"0.0148, 0.0139, 0.0073",
15,8092901,0.7231,"0.0385, 0.0075, 0.0066",
16,8092992,0.7754,"0.0210, 0.0150, 0.0036",
17,771742,0.8128,"0.0232, 0.0218, 0.0166",
18,794870,0.8129,"0.0363, 0.0143, 0.0024",
19,8172406,0.8166,"0.0359, 0.0144, 0.0024",
20,768552,0.8228,"0.0149, 0.0087, 0.0079",
21,8181354,0.8294,"0.0146, 0.0085, 0.0083",
22,772132,0.8359,"0.0203, 0.0141, 0.0032",
23,779815,0.8738,"0.0289, 0.0118, 0.0024",
24,780827,0.8827,"0.0371, 0.0232, 0.0012",
25,794871,0.9037,"0.0404, 0.0123, 0.0021",
26,8141860,0.9422,"0.0324, 0.0088, 0.0025",
27,783596,0.9461,"0.0201, 0.0090, 0.0034",
28,8149518,0.9496,"0.0200, 0.0089, 0.0034",
29,8143504,0.9506,"0.0200, 0.0089, 0.0034",
30,8126425,0.9515,"0.0198, 0.0089, 0.0034",
31,8125655,0.9518,"0.0199, 0.0089, 0.0034",
32,787914,0.9642,"0.0383, 0.0085, 0.0024",
33,779434,0.9765,"0.0318, 0.0131, 0.0009",
34,8087967,0.9926,"0.0384, 0.0134, 0.0008",
35,785997,0.9970,"0.0273, 0.0225, 0.0002",
36,8112097,1.0032,"0.0305, 0.0125, 0.0008",
37,785150,1.0210,"0.0403, 0.0357, 0.0027",
38,779530,1.0304,"0.0181, 0.0152, 0.0011",
39,788923,1.0355,"0.0393, 0.0259, 0.0001",
40,779533,1.0363,"0.0180, 0.0150, 0.0011",
41,788909,1.0427,"0.0433, 0.0222, 0.0000",
42,784907,1.0489,"0.0400, 0.0096, 0.0012",
43,781899,1.0495,"0.0229, 0.0219, 0.0000",
44,781926,1.0732,"0.0210, 0.0084, 0.0018",
45,788698,1.0791,"0.0115, 0.0106, 0.0029",
46,8181146,1.0803,"0.0423, 0.0143, 0.0000",
47,798480,1.0850,"0.0265, 0.0061, 0.0020",
48,798475,1.0858,"0.0261, 0.0061, 0.0020",
49,774596,1.0883,"0.0429, 0.0140, 0.0000",
50,8172412,1.0936,"0.0351, 0.0117, 0.0000",
51,8172414,1.0948,"0.0352, 0.0116, 0.0000",
52,775262,1.1006,"0.0112, 0.0100, 0.0028",
53,788695,1.1056,"0.0284, 0.0116, 0.0000",
54,772742,1.1075,"0.0347, 0.0312, 0.0001",
55,792161,1.1093,"0.0110, 0.0105, 0.0026",
56,776560,1.1166,"0.0326, 0.0317, 0.0001",
57,771731,1.1231,"0.0355, 0.0321, 0.0001",
58,780283,1.1236,"0.0502, 0.0169, 0.0001",
59,774935,1.1284,"0.0138, 0.0073, 0.0028",
60,781070,1.1308,"0.0622, 0.0271, 0.0160",
61,8155627,1.1342,"0.0155, 0.0100, 0.0014",
62,8186079,1.1398,"0.0453, 0.0298, 0.0000",
63,8094080,1.1407,"0.0170, 0.0109, 0.0009",
64,794516,1.1411,"0.0076, 0.0061, 0.0052",
65,794863,1.1423,"0.0491, 0.0397, 0.0146",
66,794864,1.1483,"0.0491, 0.0397, 0.0147",
67,775310,1.1526,"0.0141, 0.0124, 0.0009",
68,772764,1.1569,"0.0349, 0.0085, 0.0001",
69,772763,1.1571,"0.0350, 0.0085, 0.0001",
70,793548,1.1659,"0.0251, 0.0065, 0.0009",
71,793999,1.1754,"0.0650, 0.0254, 0.0030",
72,792441,1.1802,"0.0169, 0.0080, 0.0012",
73,771736,1.1827,"0.0149, 0.0143, 0.0001",
74,792440,1.1853,"0.0172, 0.0077, 0.0012",
75,780299,1.1900,"0.0566, 0.0268, 0.0006",
76,793998,1.1953,"0.0590, 0.0226, 0.0007",
77,780300,1.1959,"0.0569, 0.0270, 0.0006",
78,8139623,1.1961,"0.0175, 0.0058, 0.0017",
79,772805,1.2050,"0.0473, 0.0097, 0.0000",
80,8096342,1.2054,"0.0371, 0.0056, 0.0004",
81,774937,1.2094,"0.0119, 0.0071, 0.0021",
82,8093316,1.2192,"0.0399, 0.0068, 0.0000",
83,778504,1.2236,"0.0123, 0.0091, 0.0011",
84,772804,1.2254,"0.0477, 0.0090, 0.0000",
85,785149,1.2264,"0.0453, 0.0385, 0.0017",
86,781921,1.2339,"0.0190, 0.0038, 0.0018",
87,8114863,1.2506,"0.0056, 0.0046, 0.0046",
88,783595,1.2534,"0.0137, 0.0064, 0.0014",
89,786001,1.2603,"0.0132, 0.0107, 0.0001",
90,772810,1.2636,"0.0545, 0.0306, 0.0000",
91,8111167,1.2647,"0.0090, 0.0059, 0.0025",
92,8111165,1.2648,"0.0090, 0.0059, 0.0025",
93,8179609,1.2700,"0.0509, 0.0433, 0.0052",
94,785682,1.2734,"0.0558, 0.0415, 0.0139",
95,793793,1.2841,"0.0109, 0.0091, 0.0006",
96,772809,1.2892,"0.0537, 0.0326, 0.0000",
97,783617,1.2977,"0.0109, 0.0048, 0.0019",
98,8100975,1.2981,"0.0197, 0.0055, 0.0001",
99,8091936,1.2999,"0.0141, 0.0060, 0.0008",
100,778448,1.3033,"0.0219, 0.0029, 0.0008",
101,8100969,1.3059,"0.0191, 0.0055, 0.0001",
102,780706,1.3098,"0.0104, 0.0083, 0.0006",
103,792803,1.3109,"0.0104, 0.0083, 0.0006",
104,780273,1.3115,"0.0086, 0.0058, 0.0019",
105,772801,1.3161,"0.0522, 0.0347, 0.0000",
106,777135,1.3228,"0.0092, 0.0084, 0.0007",
107,793832,1.3391,"0.0133, 0.0039, 0.0012",
108,8092284,1.3540,"0.0096, 0.0074, 0.0005",
109,8091304,1.3574,"0.0407, 0.0022, 0.0000",
110,783619,1.3670,"0.0584, 0.0055, 0.0011",
111,8105335,1.3704,"0.0139, 0.0050, 0.0002",
112,788794,1.3725,"0.0598, 0.0097, 0.0001",
113,8111161,1.3743,"0.0073, 0.0055, 0.0014",
114,788905,1.3775,"0.0392, 0.0013, 0.0001",
115,782438,1.3809,"0.0231, 0.0008, 0.0006",
116,8179499,1.3842,"0.0077, 0.0063, 0.0008",
117,794273,1.3898,"0.0078, 0.0061, 0.0008",
118,8174395,1.3971,"0.0148, 0.0042, 0.0000",
119,782185,1.3972,"0.0139, 0.0038, 0.0003",
120,763638,1.3972,"0.0305, 0.0005, 0.0001",
121,765199,1.3991,"0.0129, 0.0048, 0.0001",
