Rank,CAD,Score (lower is better),Eigenvalues,Status
1,787913,0.2377,"0.0256, 0.0238, 0.0054",
2,8172410,0.2425,"0.0306, 0.0274, 0.0065",⬅️
3,781831,0.4070,"0.0265, 0.0221, 0.0074",
4,794008,0.4444,"0.0334, 0.0161, 0.0039",
5,772144,0.4568,"0.0367, 0.0154, 0.0069",
6,785173,0.4971,"0.0373, 0.0145, 0.0070",
7,785169,0.5444,"0.0352, 0.0121, 0.0044",
8,8092992,0.6344,"0.0210, 0.0150, 0.0036",
9,794870,0.7002,"0.0363, 0.0143, 0.0024",
10,8172406,0.7063,"0.0359, 0.0144, 0.0024",
11,772132,0.7102,"0.0203, 0.0141, 0.0032",
12,777155,0.7125,"0.0261, 0.0211, 0.0092",
13,785150,0.7135,"0.0403, 0.0357, 0.0027",
14,8092901,0.7374,"0.0385, 0.0075, 0.0066",
15,785159,0.7501,"0.0351, 0.0181, 0.0094",
16,788786,0.7658,"0.0235, 0.0233, 0.0094",
17,779815,0.7725,"0.0289, 0.0118, 0.0024",
18,8088959,0.7774,"0.0148, 0.0139, 0.0073",
19,780827,0.7836,"0.0371, 0.0232, 0.0012",
20,794871,0.8175,"0.0404, 0.0123, 0.0021",
21,783596,0.8373,"0.0201, 0.0090, 0.0034",
22,8149518,0.8412,"0.0200, 0.0089, 0.0034",
23,8143504,0.8423,"0.0200, 0.0089, 0.0034",
24,8126425,0.8434,"0.0198, 0.0089, 0.0034",
25,8125655,0.8436,"0.0199, 0.0089, 0.0034",
26,8141860,0.8465,"0.0324, 0.0088, 0.0025",
27,771612,0.8695,"0.0418, 0.0229, 0.0101",
28,787914,0.8727,"0.0383, 0.0085, 0.0024",
29,771615,0.8741,"0.0419, 0.0227, 0.0101",
30,8179609,0.9372,"0.0509, 0.0433, 0.0052",
31,779434,0.9498,"0.0318, 0.0131, 0.0009",
32,768552,0.9551,"0.0149, 0.0087, 0.0079",
33,785149,0.9706,"0.0453, 0.0385, 0.0017",
34,8087967,0.9737,"0.0384, 0.0134, 0.0008",
35,785997,0.9797,"0.0273, 0.0225, 0.0002",
36,8112097,0.9855,"0.0305, 0.0125, 0.0008",
37,788698,0.9908,"0.0115, 0.0106, 0.0029",
38,779530,0.9909,"0.0181, 0.0152, 0.0011",
39,8181354,0.9949,"0.0146, 0.0085, 0.0083",
40,779533,0.9988,"0.0180, 0.0150, 0.0011",
41,788923,1.0049,"0.0393, 0.0259, 0.0001",
42,781926,1.0081,"0.0210, 0.0084, 0.0018",
43,798480,1.0101,"0.0265, 0.0061, 0.0020",
44,798475,1.0109,"0.0261, 0.0061, 0.0020",
45,784907,1.0134,"0.0400, 0.0096, 0.0012",
46,775262,1.0147,"0.0112, 0.0100, 0.0028",
47,772742,1.0262,"0.0347, 0.0312, 0.0001",
48,792161,1.0280,"0.0110, 0.0105, 0.0026",
49,771731,1.0283,"0.0355, 0.0321, 0.0001",
50,776560,1.0292,"0.0326, 0.0317, 0.0001",
51,793999,1.0400,"0.0650, 0.0254, 0.0030",
52,774935,1.0411,"0.0138, 0.0073, 0.0028",
53,784856,1.0442,"0.0235, 0.0222, 0.0110",
54,788909,1.0449,"0.0433, 0.0222, 0.0000",
55,781899,1.0521,"0.0229, 0.0219, 0.0000",
56,794516,1.0779,"0.0076, 0.0061, 0.0052",
57,8186079,1.0820,"0.0453, 0.0298, 0.0000",
58,8155627,1.0906,"0.0155, 0.0100, 0.0014",
59,8181146,1.1126,"0.0423, 0.0143, 0.0000",
60,774596,1.1208,"0.0429, 0.0140, 0.0000",
61,8094080,1.1231,"0.0170, 0.0109, 0.0009",
62,780299,1.1236,"0.0566, 0.0268, 0.0006",
63,8172412,1.1272,"0.0351, 0.0117, 0.0000",
64,780300,1.1284,"0.0569, 0.0270, 0.0006",
65,8172414,1.1285,"0.0352, 0.0116, 0.0000",
66,775310,1.1340,"0.0141, 0.0124, 0.0009",
67,8139623,1.1369,"0.0175, 0.0058, 0.0017",
68,788695,1.1386,"0.0284, 0.0116, 0.0000",
69,793548,1.1406,"0.0251, 0.0065, 0.0009",
70,774937,1.1424,"0.0119, 0.0071, 0.0021",
71,780283,1.1438,"0.0502, 0.0169, 0.0001",
72,792441,1.1453,"0.0169, 0.0080, 0.0012",
73,792440,1.1510,"0.0172, 0.0077, 0.0012",
74,793998,1.1540,"0.0590, 0.0226, 0.0007",
75,781921,1.1669,"0.0190, 0.0038, 0.0018",
76,8114863,1.1730,"0.0056, 0.0046, 0.0046",
77,772764,1.1820,"0.0349, 0.0085, 0.0001",
78,772763,1.1821,"0.0350, 0.0085, 0.0001",
79,8111167,1.1895,"0.0090, 0.0059, 0.0025",
80,8111165,1.1896,"0.0090, 0.0059, 0.0025",
81,778504,1.1931,"0.0123, 0.0091, 0.0011",
82,8096342,1.2025,"0.0371, 0.0056, 0.0004",
83,772810,1.2040,"0.0545, 0.0306, 0.0000",
84,771736,1.2082,"0.0149, 0.0143, 0.0001",
85,772809,1.2098,"0.0537, 0.0326, 0.0000",
86,783595,1.2104,"0.0137, 0.0064, 0.0014",
87,772801,1.2156,"0.0522, 0.0347, 0.0000",
88,783617,1.2331,"0.0109, 0.0048, 0.0019",
89,772805,1.2360,"0.0473, 0.0097, 0.0000",
90,8093316,1.2448,"0.0399, 0.0068, 0.0000",
91,780273,1.2528,"0.0086, 0.0058, 0.0019",
92,772804,1.2552,"0.0477, 0.0090, 0.0000",
93,793997,1.2721,"0.0611, 0.0377, 0.0011",
94,778448,1.2738,"0.0219, 0.0029, 0.0008",
95,793793,1.2788,"0.0109, 0.0091, 0.0006",
96,8179631,1.2814,"0.0667, 0.0424, 0.0037",
97,8091936,1.2819,"0.0141, 0.0060, 0.0008",
98,786001,1.2842,"0.0132, 0.0107, 0.0001",
99,793832,1.2977,"0.0133, 0.0039, 0.0012",
100,780706,1.3042,"0.0104, 0.0083, 0.0006",
101,792803,1.3057,"0.0104, 0.0083, 0.0006",
102,8100975,1.3117,"0.0197, 0.0055, 0.0001",
103,8179629,1.3148,"0.0645, 0.0423, 0.0023",
104,777135,1.3149,"0.0092, 0.0084, 0.0007",
105,8100969,1.3199,"0.0191, 0.0055, 0.0001",
106,8111161,1.3327,"0.0073, 0.0055, 0.0014",
107,783619,1.3373,"0.0584, 0.0055, 0.0011",
108,8092284,1.3544,"0.0096, 0.0074, 0.0005",
109,782438,1.3554,"0.0231, 0.0008, 0.0006",
110,8179499,1.3650,"0.0077, 0.0063, 0.0008",
111,8091304,1.3671,"0.0407, 0.0022, 0.0000",
112,794273,1.3726,"0.0078, 0.0061, 0.0008",
113,8105335,1.3779,"0.0139, 0.0050, 0.0002",
114,788905,1.3803,"0.0392, 0.0013, 0.0001",
115,8166043,1.3846,"0.0062, 0.0044, 0.0013",
116,788920,1.3881,"0.0655, 0.0302, 0.0001",
117,763638,1.3959,"0.0305, 0.0005, 0.0001",
118,782185,1.3976,"0.0139, 0.0038, 0.0003",
119,788794,1.3980,"0.0598, 0.0097, 0.0001",
120,778429,1.4007,"0.0315, 0.0002, 0.0001",
121,789366,1.4016,"0.0045, 0.0022, 0.0021",
122,778091,1.4019,"0.0393, 0.0006, 0.0001",
123,765199,1.4117,"0.0129, 0.0048, 0.0001",
124,8174395,1.4126,"0.0148, 0.0042, 0.0000",
125,793796,1.4132,"0.0062, 0.0036, 0.0012",
126,785887,1.4150,"0.0059, 0.0030, 0.0014",
127,8166038,1.4150,"0.0099, 0.0041, 0.0005",
128,8101572,1.4224,"0.0249, 0.0003, 0.0000",
129,777553,1.4287,"0.0059, 0.0059, 0.0006",
130,777141,1.4301,"0.0102, 0.0036, 0.0005",
131,793646,1.4387,"0.0138, 0.0031, 0.0001",
132,777551,1.4430,"0.0088, 0.0037, 0.0005",
133,8126327,1.4443,"0.0054, 0.0041, 0.0009",
134,794262,1.4461,"0.0055, 0.0017, 0.0015",
135,778082,1.4511,"0.0572, 0.0049, 0.0001",
136,777945,1.4535,"0.0632, 0.0099, 0.0001",
137,8089434,1.4594,"0.0077, 0.0021, 0.0009",
138,777948,1.4665,"0.0640, 0.0096, 0.0001",
139,8100966,1.4677,"0.0178, 0.0004, 0.0001",
140,765202,1.4689,"0.0087, 0.0048, 0.0001",
141,781917,1.4787,"0.0062, 0.0031, 0.0007",
142,8126238,1.4811,"0.0038, 0.0038, 0.0009",
143,8126325,1.4815,"0.0038, 0.0038, 0.0009",
144,781915,1.4837,"0.0050, 0.0028, 0.0009",
