Rank,CAD,Score (lower is better),Eigenvalues,Status
1,793646,0.6683,"0.0138, 0.0031, 0.0001",
2,788905,0.7575,"0.0392, 0.0013, 0.0001",
3,765201,0.9422,"0.0049, 0.0033, 0.0001",
4,8139718,0.9538,"0.0033, 0.0023, 0.0002",
5,763638,0.9684,"0.0305, 0.0005, 0.0001",
6,8091304,0.9806,"0.0407, 0.0022, 0.0000",
7,8100966,0.9919,"0.0178, 0.0004, 0.0001",
8,778091,0.9960,"0.0393, 0.0006, 0.0001",
9,8179627,1.0297,"0.0083, 0.0023, 0.0000",
10,778429,1.0486,"0.0315, 0.0002, 0.0001",⬅️
11,8101572,1.1041,"0.0249, 0.0003, 0.0000",
12,781282,1.1047,"0.0041, 0.0008, 0.0001",
13,775316,1.1244,"0.0098, 0.0029, 0.0000",
14,765199,1.1446,"0.0129, 0.0048, 0.0001",
15,8117985,1.1938,"0.0033, 0.0013, 0.0000",
16,8103576,1.1998,"0.0046, 0.0029, 0.0002",
17,779861,1.2023,"0.0053, 0.0044, 0.0001",
18,8122643,1.2256,"0.0047, 0.0045, 0.0001",
19,765202,1.2316,"0.0087, 0.0048, 0.0001",
20,792783,1.2351,"0.0006, 0.0006, 0.0001",
21,8122655,1.2599,"0.0045, 0.0032, 0.0002",
22,778897,1.2669,"0.0050, 0.0002, 0.0002",
23,778899,1.2709,"0.0026, 0.0003, 0.0001",
24,8174395,1.2824,"0.0148, 0.0042, 0.0000",
25,8098446,1.2838,"0.0014, 0.0004, 0.0001",
26,778082,1.2851,"0.0572, 0.0049, 0.0001",
27,8100969,1.2918,"0.0191, 0.0055, 0.0001",
28,778844,1.3029,"0.0024, 0.0024, 0.0000",
29,8100975,1.3040,"0.0197, 0.0055, 0.0001",
30,779699,1.3102,"0.0034, 0.0014, 0.0002",
31,772725,1.3159,"0.0547, 0.0002, 0.0000",
32,772726,1.3196,"0.0549, 0.0002, 0.0000",
33,777991,1.3372,"0.0041, 0.0020, 0.0000",
34,8105335,1.3387,"0.0139, 0.0050, 0.0002",
35,793405,1.3535,"0.0005, 0.0003, 0.0001",
36,8088206,1.3556,"0.0085, 0.0021, 0.0003",
37,8095941,1.3569,"0.0013, 0.0002, 0.0001",
38,777133,1.3583,"0.0025, 0.0025, 0.0000",
39,8158965,1.3745,"0.0668, 0.0047, 0.0002",
