Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,772745,0.9557,0.0103,2867,✅
2,772769,0.9423,0.0103,2827,
3,772749,0.9270,0.0108,2781,
4,772741,0.9267,0.0102,2780,
5,772732,0.9200,0.0119,2760,
6,792429,0.9180,0.0112,2754,
7,788916,0.8997,0.0118,2699,
8,772734,0.8983,0.0104,2695,
9,777942,0.8787,0.0120,2636,
10,780254,0.8710,0.0108,2613,
11,793975,0.8563,0.0109,2569,
12,772801,0.8503,0.0101,2551,
13,8176966,0.8437,0.0110,2531,
14,793978,0.8437,0.0107,2531,
15,788920,0.8370,0.0125,2511,
16,8179611,0.8140,0.0113,2442,
17,8176978,0.8107,0.0115,2432,
18,772809,0.7647,0.0098,2294,
19,8179589,0.7570,0.0112,2271,
20,8091607,0.7437,0.0118,2231,
21,788923,0.7230,0.0102,2169,
22,776560,0.6550,0.0102,1965,
23,772742,0.6550,0.0102,1965,
24,772810,0.5230,0.0125,1569,
25,793981,0.4530,0.0115,1359,
26,793982,0.4290,0.0108,1287,
27,780283,0.3223,0.0102,967,
28,771731,0.2503,0.0094,751,
29,792937,0.1597,0.0129,479,
30,785997,0.1240,0.0126,372,
31,775999,0.1110,0.0112,333,
