Rank,CAD,Score (lower is better),Eigenvalues,Status
1,8179611,0.3556,"0.0582, 0.0498, 0.0003",
2,792937,0.3589,"0.0736, 0.0494, 0.0004",
3,8176966,0.4695,"0.0564, 0.0528, 0.0004",
4,777942,0.5319,"0.0642, 0.0500, 0.0002",
5,8176978,0.5403,"0.0570, 0.0553, 0.0004",
6,772769,0.6401,"0.0816, 0.0423, 0.0001",
7,793975,0.7185,"0.0539, 0.0529, 0.0001",
8,793978,0.7236,"0.0543, 0.0535, 0.0001",
9,788920,0.7251,"0.0655, 0.0302, 0.0001",
10,792429,0.7392,"0.0912, 0.0452, 0.0001",
11,793981,0.7568,"0.0679, 0.0644, 0.0002",
12,793982,0.7581,"0.0679, 0.0644, 0.0002",
13,771731,0.7604,"0.0355, 0.0321, 0.0001",
14,785997,0.7706,"0.0273, 0.0225, 0.0002",
15,780254,0.7847,"0.0606, 0.0515, 0.0001",
16,772741,0.7916,"0.0707, 0.0313, 0.0001",
17,772749,0.7932,"0.0711, 0.0316, 0.0001",
18,772745,0.8124,"0.0762, 0.0315, 0.0001",⬅️
19,775999,0.8731,"0.0625, 0.0578, 0.0001",
20,776560,0.8918,"0.0326, 0.0317, 0.0001",
21,772742,0.9125,"0.0347, 0.0312, 0.0001",
22,772809,0.9224,"0.0537, 0.0326, 0.0000",
23,772801,0.9225,"0.0522, 0.0347, 0.0000",
24,788923,0.9434,"0.0393, 0.0259, 0.0001",
25,780283,0.9537,"0.0502, 0.0169, 0.0001",
26,772734,0.9575,"0.0717, 0.0457, 0.0000",
27,772732,0.9596,"0.0720, 0.0452, 0.0000",
28,772810,0.9789,"0.0545, 0.0306, 0.0000",
29,8179589,0.9943,"0.1238, 0.0499, 0.0002",
30,788916,0.9973,"0.0647, 0.0448, 0.0000",
31,8091607,0.9977,"0.0985, 0.0569, 0.0001",
32,777948,1.0045,"0.0640, 0.0096, 0.0001",
33,8158965,1.0221,"0.0668, 0.0047, 0.0002",
34,770066,1.0223,"0.1047, 0.0500, 0.0001",
35,780288,1.0325,"0.1053, 0.0443, 0.0001",
36,8096342,1.0355,"0.0371, 0.0056, 0.0004",
37,780299,1.0383,"0.0566, 0.0268, 0.0006",
38,8095212,1.0425,"0.0751, 0.0579, 0.0006",
39,780300,1.0428,"0.0569, 0.0270, 0.0006",
40,8179614,1.0474,"0.1126, 0.0380, 0.0001",
41,8186079,1.0535,"0.0453, 0.0298, 0.0000",
42,782016,1.0631,"0.0963, 0.0081, 0.0001",
43,8179592,1.0802,"0.1199, 0.0432, 0.0001",
44,777945,1.1086,"0.0632, 0.0099, 0.0001",
45,772733,1.1199,"0.0719, 0.0604, 0.0000",
46,788794,1.1219,"0.0598, 0.0097, 0.0001",
47,788909,1.1330,"0.0433, 0.0222, 0.0000",
48,778082,1.1611,"0.0572, 0.0049, 0.0001",
49,772763,1.1716,"0.0350, 0.0085, 0.0001",
50,772764,1.1737,"0.0349, 0.0085, 0.0001",
51,780287,1.1852,"0.1048, 0.0122, 0.0001",
52,763640,1.1959,"0.0957, 0.0014, 0.0001",
53,8179617,1.2025,"0.1107, 0.0025, 0.0002",
54,782185,1.2032,"0.0139, 0.0038, 0.0003",
55,776548,1.2157,"0.0744, 0.0001, 0.0001",
56,780252,1.2216,"0.1124, 0.0622, 0.0001",
57,8105335,1.2230,"0.0139, 0.0050, 0.0002",
58,8181146,1.2295,"0.0423, 0.0143, 0.0000",
59,774596,1.2300,"0.0429, 0.0140, 0.0000",
60,780295,1.2425,"0.1114, 0.0557, 0.0000",
61,781899,1.2436,"0.0229, 0.0219, 0.0000",
62,780296,1.2439,"0.1113, 0.0560, 0.0000",
63,8092284,1.2445,"0.0096, 0.0074, 0.0005",
64,8100975,1.2528,"0.0197, 0.0055, 0.0001",
65,772805,1.2741,"0.0473, 0.0097, 0.0000",
66,8100969,1.2755,"0.0191, 0.0055, 0.0001",
67,784111,1.2771,"0.0086, 0.0025, 0.0003",
68,772804,1.2851,"0.0477, 0.0090, 0.0000",
69,8172414,1.2903,"0.0352, 0.0116, 0.0000",
70,8172412,1.2906,"0.0351, 0.0117, 0.0000",
71,786001,1.2910,"0.0132, 0.0107, 0.0001",
72,8088206,1.2949,"0.0085, 0.0021, 0.0003",
73,771736,1.2978,"0.0149, 0.0143, 0.0001",
74,791705,1.3230,"0.0046, 0.0029, 0.0003",
75,8181152,1.3246,"0.0079, 0.0024, 0.0004",
76,8091602,1.3259,"0.0838, 0.0690, 0.0006",
77,777043,1.3267,"0.0067, 0.0012, 0.0003",
78,788695,1.3284,"0.0284, 0.0116, 0.0000",
79,8093316,1.3285,"0.0399, 0.0068, 0.0000",
80,8122655,1.3305,"0.0045, 0.0032, 0.0002",
81,788905,1.3315,"0.0392, 0.0013, 0.0001",
82,772726,1.3338,"0.0549, 0.0002, 0.0000",
83,772725,1.3341,"0.0547, 0.0002, 0.0000",
84,781613,1.3363,"0.0043, 0.0023, 0.0004",
85,8103576,1.3386,"0.0046, 0.0029, 0.0002",
86,777141,1.3419,"0.0102, 0.0036, 0.0005",
87,794515,1.3500,"0.0042, 0.0010, 0.0003",
88,793998,1.3538,"0.0590, 0.0226, 0.0007",
89,778091,1.3566,"0.0393, 0.0006, 0.0001",
90,8178944,1.3587,"0.0043, 0.0024, 0.0004",
91,8171486,1.3706,"0.0017, 0.0016, 0.0004",
92,8144696,1.3717,"0.0037, 0.0005, 0.0003",
93,779699,1.3760,"0.0034, 0.0014, 0.0002",
94,765199,1.3825,"0.0129, 0.0048, 0.0001",
95,763638,1.3850,"0.0305, 0.0005, 0.0001",
96,778429,1.3876,"0.0315, 0.0002, 0.0001",
97,777551,1.3877,"0.0088, 0.0037, 0.0005",
98,792350,1.3884,"0.0011, 0.0008, 0.0003",
99,793646,1.3909,"0.0138, 0.0031, 0.0001",
100,778920,1.3929,"0.0014, 0.0006, 0.0003",
101,780255,1.3949,"0.0989, 0.0003, 0.0000",
102,8093118,1.4014,"0.0006, 0.0004, 0.0003",
103,782438,1.4017,"0.0231, 0.0008, 0.0006",
104,778906,1.4035,"0.0016, 0.0006, 0.0003",
105,8091304,1.4116,"0.0407, 0.0022, 0.0000",
106,8093514,1.4117,"0.0072, 0.0024, 0.0005",
