Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,791817,0.8993,0.0110,2698,
2,776556,0.8877,0.0116,2663,
3,780296,0.8703,0.0106,2611,⬅️
4,780252,0.8573,0.0108,2572,
5,791816,0.8557,0.0115,2567,
6,766859,0.8550,0.0119,2565,
7,780295,0.8517,0.0104,2555,
8,8179589,0.8493,0.0109,2548,
9,770066,0.7543,0.0113,2263,
10,780288,0.7493,0.0110,2248,
11,772733,0.7353,0.0102,2206,
12,8179614,0.7140,0.0107,2142,
13,8179592,0.6527,0.0105,1958,
14,772732,0.6483,0.0104,1945,
15,792429,0.6417,0.0103,1925,
16,772734,0.6223,0.0103,1867,
17,780254,0.6153,0.0103,1846,
18,791819,0.6097,0.0104,1829,
19,788916,0.5923,0.0094,1777,
20,8179611,0.5893,0.0104,1768,
21,772769,0.5767,0.0119,1730,
22,793978,0.5683,0.0103,1705,
23,8091607,0.5563,0.0104,1669,
24,793975,0.5540,0.0108,1662,
25,772745,0.5467,0.0098,1640,
26,772749,0.5397,0.0103,1619,
27,772741,0.5297,0.0098,1589,
28,788920,0.5213,0.0107,1564,
29,8176978,0.5187,0.0112,1556,
30,8176966,0.5077,0.0110,1523,
31,777942,0.4907,0.0110,1472,
32,780287,0.4230,0.0091,1269,
33,8176904,0.3703,0.0121,1111,
34,782016,0.2717,0.0088,815,
35,793981,0.2593,0.0109,778,
36,779545,0.2093,0.0131,628,
37,8095189,0.2013,0.0130,604,
38,794101,0.1897,0.0133,569,
39,793982,0.1787,0.0125,536,
40,8179617,0.1683,0.0105,505,
41,8091592,0.1677,0.0133,503,
42,763640,0.1257,0.0085,377,
43,792937,0.0760,0.0124,228,
44,8095212,0.0723,0.0126,217,
45,775999,0.0587,0.0116,176,
46,8091602,0.0557,0.0119,167,
