Rank,CAD,Score (lower is better),Eigenvalues,Status
1,785149,0.2748,"0.0453, 0.0385, 0.0017",
2,785150,0.3042,"0.0403, 0.0357, 0.0027",
3,8179609,0.3219,"0.0509, 0.0433, 0.0052",
4,8186079,0.3463,"0.0453, 0.0298, 0.0000",
5,771612,0.3706,"0.0418, 0.0229, 0.0101",
6,771615,0.3707,"0.0419, 0.0227, 0.0101",
7,772801,0.4065,"0.0522, 0.0347, 0.0000",
8,794863,0.4144,"0.0491, 0.0397, 0.0146",
9,794864,0.4187,"0.0491, 0.0397, 0.0147",
10,772809,0.4687,"0.0537, 0.0326, 0.0000",
11,8172410,0.4776,"0.0306, 0.0274, 0.0065",
12,788909,0.4988,"0.0433, 0.0222, 0.0000",
13,785173,0.5010,"0.0373, 0.0145, 0.0070",
14,772144,0.5055,"0.0367, 0.0154, 0.0069",
15,772810,0.5160,"0.0545, 0.0306, 0.0000",
16,771731,0.5232,"0.0355, 0.0321, 0.0001",
17,788923,0.5304,"0.0393, 0.0259, 0.0001",
18,772742,0.5552,"0.0347, 0.0312, 0.0001",
19,785159,0.5610,"0.0351, 0.0181, 0.0094",
20,785682,0.5644,"0.0558, 0.0415, 0.0139",
21,780827,0.5777,"0.0371, 0.0232, 0.0012",
22,8092901,0.5869,"0.0385, 0.0075, 0.0066",
23,776560,0.5931,"0.0326, 0.0317, 0.0001",
24,780299,0.5946,"0.0566, 0.0268, 0.0006",
25,780300,0.5975,"0.0569, 0.0270, 0.0006",
26,793997,0.6079,"0.0611, 0.0377, 0.0011",
27,780283,0.6162,"0.0502, 0.0169, 0.0001",
28,781831,0.6218,"0.0265, 0.0221, 0.0074",
29,774596,0.6266,"0.0429, 0.0140, 0.0000",
30,794871,0.6345,"0.0404, 0.0123, 0.0021",
31,8181146,0.6366,"0.0423, 0.0143, 0.0000",
32,772805,0.6599,"0.0473, 0.0097, 0.0000",
33,794008,0.6687,"0.0334, 0.0161, 0.0039",
34,785169,0.6715,"0.0352, 0.0121, 0.0044",
35,787913,0.6754,"0.0256, 0.0238, 0.0054",
36,772804,0.6793,"0.0477, 0.0090, 0.0000",
37,794870,0.6832,"0.0363, 0.0143, 0.0024",
38,8172406,0.6915,"0.0359, 0.0144, 0.0024",
39,793975,0.7016,"0.0539, 0.0529, 0.0001",
40,8087967,0.7048,"0.0384, 0.0134, 0.0008",
41,793998,0.7054,"0.0590, 0.0226, 0.0007",
42,8179629,0.7056,"0.0645, 0.0423, 0.0023",
43,777155,0.7088,"0.0261, 0.0211, 0.0092",
44,8179631,0.7101,"0.0667, 0.0424, 0.0037",
45,793999,0.7145,"0.0650, 0.0254, 0.0030",
46,784907,0.7147,"0.0400, 0.0096, 0.0012",
47,793978,0.7190,"0.0543, 0.0535, 0.0001",
48,787914,0.7238,"0.0383, 0.0085, 0.0024",
49,788786,0.7390,"0.0235, 0.0233, 0.0094",
50,8179611,0.7451,"0.0582, 0.0498, 0.0003",
51,8176966,0.7475,"0.0564, 0.0528, 0.0004",
52,788920,0.7579,"0.0655, 0.0302, 0.0001",
53,781070,0.7866,"0.0622, 0.0271, 0.0160",
54,8093316,0.7949,"0.0399, 0.0068, 0.0000",
55,8176978,0.7949,"0.0570, 0.0553, 0.0004",
