Rank,CAD,Score (lower is better),Eigenvalues,Status
1,777239,0.0654,"0.0024, 0.0009, 0.0005",
2,792358,0.4281,"0.0018, 0.0011, 0.0006",
3,778915,0.4784,"0.0014, 0.0009, 0.0005",
4,8188926,0.5680,"0.0011, 0.0008, 0.0005",
5,781914,0.5784,"0.0022, 0.0013, 0.0006",⬅️
6,792350,0.6122,"0.0011, 0.0008, 0.0003",
7,778906,0.6848,"0.0016, 0.0006, 0.0003",
8,778920,0.7076,"0.0014, 0.0006, 0.0003",
9,775318,0.7097,"0.0011, 0.0005, 0.0004",
10,794515,0.7234,"0.0042, 0.0010, 0.0003",
11,8144696,0.7424,"0.0037, 0.0005, 0.0003",
12,777217,0.7431,"0.0045, 0.0008, 0.0005",
13,779699,0.8308,"0.0034, 0.0014, 0.0002",
14,8171486,0.9193,"0.0017, 0.0016, 0.0004",
15,781282,0.9413,"0.0041, 0.0008, 0.0001",
16,778899,0.9450,"0.0026, 0.0003, 0.0001",
17,8174397,0.9481,"0.0028, 0.0017, 0.0006",
18,8093118,0.9746,"0.0006, 0.0004, 0.0003",
19,8117985,1.0211,"0.0033, 0.0013, 0.0000",
20,8098446,1.0547,"0.0014, 0.0004, 0.0001",
21,792510,1.0738,"0.0024, 0.0005, 0.0000",
22,792783,1.0853,"0.0006, 0.0006, 0.0001",
23,777253,1.1182,"0.0013, 0.0008, 0.0000",
24,8063089,1.1292,"0.0038, 0.0005, 0.0000",
25,777087,1.1402,"0.0012, 0.0010, 0.0000",
26,793789,1.1966,"0.0020, 0.0003, 0.0000",
27,8095941,1.2069,"0.0013, 0.0002, 0.0001",
28,767340,1.2156,"0.0024, 0.0003, 0.0000",
29,8150394,1.2425,"0.0008, 0.0006, 0.0000",
30,798512,1.2496,"0.0029, 0.0002, 0.0000",
31,791713,1.2553,"0.0035, 0.0003, 0.0000",
32,784049,1.2861,"0.0010, 0.0004, 0.0000",
33,776935,1.2967,"0.0015, 0.0003, 0.0000",
34,793405,1.3020,"0.0005, 0.0003, 0.0001",
35,767940,1.3354,"0.0005, 0.0005, 0.0000",
36,794601,1.3383,"0.0018, 0.0001, 0.0000",
37,763620,1.3459,"0.0024, 0.0001, 0.0000",
38,763621,1.3464,"0.0024, 0.0001, 0.0000",
39,8092190,1.3551,"0.0006, 0.0005, 0.0000",
40,793768,1.3572,"0.0007, 0.0003, 0.0000",
41,794679,1.3612,"0.0024, 0.0001, 0.0000",
42,778897,1.3678,"0.0050, 0.0002, 0.0002",
43,8121694,1.3739,"0.0015, 0.0001, 0.0000",
44,8121692,1.3747,"0.0015, 0.0001, 0.0000",
45,779608,1.3851,"0.0005, 0.0005, 0.0000",
46,798351,1.4020,"0.0019, 0.0000, 0.0000",
47,8092171,1.4635,"0.0006, 0.0002, 0.0000",
48,8141343,1.5240,"0.0004, 0.0001, 0.0000",
49,763660,1.5608,"0.0005, 0.0001, 0.0000",
50,774135,1.5720,"0.0066, 0.0007, 0.0005",
