Rank,CAD,Score (lower is better),Eigenvalues,Status
1,8179611,0.1133,"0.0582, 0.0498, 0.0003",
2,777942,0.3449,"0.0642, 0.0500, 0.0002",
3,8176966,0.4266,"0.0564, 0.0528, 0.0004",
4,793981,0.4465,"0.0679, 0.0644, 0.0002",
5,793982,0.4474,"0.0679, 0.0644, 0.0002",
6,792937,0.4647,"0.0736, 0.0494, 0.0004",
7,8176978,0.4922,"0.0570, 0.0553, 0.0004",
8,793978,0.5002,"0.0543, 0.0535, 0.0001",⬅️
9,793975,0.5011,"0.0539, 0.0529, 0.0001",
10,780254,0.6425,"0.0606, 0.0515, 0.0001",
11,775999,0.6798,"0.0625, 0.0578, 0.0001",
12,772769,0.6800,"0.0816, 0.0423, 0.0001",
13,771731,0.7020,"0.0355, 0.0321, 0.0001",
14,785997,0.7495,"0.0273, 0.0225, 0.0002",
15,788920,0.7497,"0.0655, 0.0302, 0.0001",
16,792429,0.8118,"0.0912, 0.0452, 0.0001",
17,772741,0.8378,"0.0707, 0.0313, 0.0001",
18,772749,0.8406,"0.0711, 0.0316, 0.0001",
19,776560,0.8498,"0.0326, 0.0317, 0.0001",
20,772742,0.8775,"0.0347, 0.0312, 0.0001",
21,772745,0.8814,"0.0762, 0.0315, 0.0001",
22,772801,0.9152,"0.0522, 0.0347, 0.0000",
23,772809,0.9252,"0.0537, 0.0326, 0.0000",
24,788923,0.9269,"0.0393, 0.0259, 0.0001",
25,780283,0.9479,"0.0502, 0.0169, 0.0001",
26,772734,0.9557,"0.0717, 0.0457, 0.0000",
27,772732,0.9628,"0.0720, 0.0452, 0.0000",
28,788916,0.9865,"0.0647, 0.0448, 0.0000",
29,772810,0.9966,"0.0545, 0.0306, 0.0000",
30,772733,1.0099,"0.0719, 0.0604, 0.0000",
31,8091607,1.0114,"0.0985, 0.0569, 0.0001",
32,777948,1.0120,"0.0640, 0.0096, 0.0001",
33,8158965,1.0181,"0.0668, 0.0047, 0.0002",
34,8186079,1.0635,"0.0453, 0.0298, 0.0000",
35,777945,1.1259,"0.0632, 0.0099, 0.0001",
36,770066,1.1273,"0.1047, 0.0500, 0.0001",
37,788794,1.1315,"0.0598, 0.0097, 0.0001",
38,772763,1.1384,"0.0350, 0.0085, 0.0001",
39,772764,1.1408,"0.0349, 0.0085, 0.0001",
40,778082,1.1439,"0.0572, 0.0049, 0.0001",
41,8096342,1.1485,"0.0371, 0.0056, 0.0004",
42,788909,1.1512,"0.0433, 0.0222, 0.0000",
43,780288,1.1765,"0.1053, 0.0443, 0.0001",
44,782016,1.1850,"0.0963, 0.0081, 0.0001",
45,782185,1.1876,"0.0139, 0.0038, 0.0003",
46,8105335,1.1899,"0.0139, 0.0050, 0.0002",
47,8100975,1.2107,"0.0197, 0.0055, 0.0001",
48,8179589,1.2181,"0.1238, 0.0499, 0.0002",
49,776548,1.2200,"0.0744, 0.0001, 0.0001",
50,8100969,1.2352,"0.0191, 0.0055, 0.0001",
51,8181146,1.2412,"0.0423, 0.0143, 0.0000",
52,774596,1.2419,"0.0429, 0.0140, 0.0000",
53,8179614,1.2514,"0.1126, 0.0380, 0.0001",
54,781899,1.2528,"0.0229, 0.0219, 0.0000",
55,780252,1.2665,"0.1124, 0.0622, 0.0001",
56,786001,1.2737,"0.0132, 0.0107, 0.0001",
57,784111,1.2747,"0.0086, 0.0025, 0.0003",
58,8088206,1.2788,"0.0085, 0.0021, 0.0003",
59,772805,1.2822,"0.0473, 0.0097, 0.0000",
60,763640,1.2823,"0.0957, 0.0014, 0.0001",
61,788905,1.2881,"0.0392, 0.0013, 0.0001",
62,8172414,1.2917,"0.0352, 0.0116, 0.0000",
63,772804,1.2921,"0.0477, 0.0090, 0.0000",
64,8172412,1.2921,"0.0351, 0.0117, 0.0000",
65,771736,1.2934,"0.0149, 0.0143, 0.0001",
66,8179592,1.2959,"0.1199, 0.0432, 0.0001",
67,8095212,1.2972,"0.0751, 0.0579, 0.0006",
68,772725,1.3085,"0.0547, 0.0002, 0.0000",
69,772726,1.3086,"0.0549, 0.0002, 0.0000",
70,778091,1.3134,"0.0393, 0.0006, 0.0001",
71,791705,1.3135,"0.0046, 0.0029, 0.0003",
72,777043,1.3138,"0.0067, 0.0012, 0.0003",
73,8122655,1.3145,"0.0045, 0.0032, 0.0002",
74,8093316,1.3195,"0.0399, 0.0068, 0.0000",
75,8103576,1.3198,"0.0046, 0.0029, 0.0002",
76,788695,1.3284,"0.0284, 0.0116, 0.0000",
77,763638,1.3369,"0.0305, 0.0005, 0.0001",
78,778429,1.3395,"0.0315, 0.0002, 0.0001",
79,780296,1.3414,"0.1113, 0.0560, 0.0000",
80,780295,1.3432,"0.1114, 0.0557, 0.0000",
81,780287,1.3510,"0.1048, 0.0122, 0.0001",
82,765199,1.3521,"0.0129, 0.0048, 0.0001",
83,793646,1.3534,"0.0138, 0.0031, 0.0001",
84,779699,1.3560,"0.0034, 0.0014, 0.0002",
85,794515,1.3603,"0.0042, 0.0010, 0.0003",
86,8144696,1.3613,"0.0037, 0.0005, 0.0003",
87,8092284,1.3627,"0.0096, 0.0074, 0.0005",
88,8179617,1.3682,"0.1107, 0.0025, 0.0002",
89,8100966,1.3731,"0.0178, 0.0004, 0.0001",
90,781613,1.3823,"0.0043, 0.0023, 0.0004",
91,778906,1.3875,"0.0016, 0.0006, 0.0003",
92,778920,1.3901,"0.0014, 0.0006, 0.0003",
93,8091304,1.3914,"0.0407, 0.0022, 0.0000",
94,8139718,1.3915,"0.0033, 0.0023, 0.0002",
95,765202,1.3930,"0.0087, 0.0048, 0.0001",
96,8181152,1.3997,"0.0079, 0.0024, 0.0004",
97,8101572,1.4064,"0.0249, 0.0003, 0.0000",
98,8171486,1.4072,"0.0017, 0.0016, 0.0004",
99,778897,1.4107,"0.0050, 0.0002, 0.0002",
100,792350,1.4150,"0.0011, 0.0008, 0.0003",
101,780299,1.4211,"0.0566, 0.0268, 0.0006",
102,8093118,1.4240,"0.0006, 0.0004, 0.0003",
103,780300,1.4274,"0.0569, 0.0270, 0.0006",
104,8178944,1.4337,"0.0043, 0.0024, 0.0004",
105,781282,1.4420,"0.0041, 0.0008, 0.0001",
106,765201,1.4543,"0.0049, 0.0033, 0.0001",
107,778899,1.4576,"0.0026, 0.0003, 0.0001",
108,8122643,1.4588,"0.0047, 0.0045, 0.0001",
109,776556,1.4590,"0.1165, 0.0669, 0.0000",
