Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,781926,0.9547,0.0089,2864,✅
2,779530,0.9400,0.0110,2820,
3,779533,0.9220,0.0099,2766,
4,8094080,0.8210,0.0093,2463,
5,792441,0.8207,0.0086,2462,
6,792440,0.8170,0.0081,2451,
7,775262,0.7873,0.0091,2362,
8,793793,0.7467,0.0074,2240,
9,775310,0.7090,0.0109,2127,
10,778504,0.7037,0.0102,2111,
11,783595,0.6690,0.0085,2007,
12,8139623,0.6610,0.0089,1983,
13,8155627,0.6530,0.0105,1959,
14,792161,0.6387,0.0110,1916,
15,786001,0.6347,0.0105,1904,
16,774937,0.6340,0.0111,1902,
17,8111165,0.5987,0.0108,1796,
18,8179499,0.5910,0.0097,1773,
19,781921,0.5850,0.0097,1755,
20,8111161,0.5813,0.0094,1744,
21,8111167,0.5747,0.0105,1724,
22,777135,0.5570,0.0094,1671,
23,8091936,0.5503,0.0099,1651,
24,780273,0.5190,0.0089,1557,
25,793832,0.4977,0.0107,1493,
26,783617,0.4963,0.0116,1489,
27,777553,0.4280,0.0100,1284,
28,777551,0.4077,0.0103,1223,
29,8092284,0.3907,0.0110,1172,
30,777141,0.3873,0.0089,1162,
31,780706,0.3200,0.0105,960,
32,793796,0.2907,0.0114,872,
33,792803,0.2703,0.0115,811,
34,794273,0.2470,0.0121,741,
35,8126327,0.2353,0.0110,706,
36,8166043,0.2180,0.0118,654,
37,8089434,0.1990,0.0119,597,
38,8166038,0.1783,0.0111,535,
39,785887,0.1447,0.0125,434,
