Rank,CAD,Score (lower is better),Eigenvalues,Status
1,8092171,0.3294,"0.0006, 0.0002, 0.0000",
2,793768,0.4325,"0.0007, 0.0003, 0.0000",
3,793405,0.4996,"0.0005, 0.0003, 0.0001",⬅️
4,763660,0.6677,"0.0005, 0.0001, 0.0000",
5,8141343,0.7075,"0.0004, 0.0001, 0.0000",
6,8092190,0.7185,"0.0006, 0.0005, 0.0000",
7,793689,0.8387,"0.0004, 0.0001, 0.0000",
8,779608,0.9370,"0.0005, 0.0005, 0.0000",
9,767940,0.9641,"0.0005, 0.0005, 0.0000",
10,794159,0.9855,"0.0004, 0.0000, 0.0000",
11,792795,1.2442,"0.0001, 0.0001, 0.0000",
12,784049,1.2501,"0.0010, 0.0004, 0.0000",
13,792783,1.2531,"0.0006, 0.0006, 0.0001",
14,8150394,1.4425,"0.0008, 0.0006, 0.0000",
15,8095941,1.4998,"0.0013, 0.0002, 0.0001",
16,776935,1.7209,"0.0015, 0.0003, 0.0000",
17,8093118,1.8300,"0.0006, 0.0004, 0.0003",
18,8121692,1.8729,"0.0015, 0.0001, 0.0000",
19,8121694,1.8790,"0.0015, 0.0001, 0.0000",
20,8098446,1.9275,"0.0014, 0.0004, 0.0001",
21,777253,2.3981,"0.0013, 0.0008, 0.0000",
22,794601,2.4505,"0.0018, 0.0001, 0.0000",
23,798351,2.7195,"0.0019, 0.0000, 0.0000",
24,793789,2.7202,"0.0020, 0.0003, 0.0000",
25,777087,2.8850,"0.0012, 0.0010, 0.0000",
26,778920,3.1457,"0.0014, 0.0006, 0.0003",
27,767340,3.1819,"0.0024, 0.0003, 0.0000",
28,775318,3.2392,"0.0011, 0.0005, 0.0004",
29,778906,3.3856,"0.0016, 0.0006, 0.0003",
30,763621,3.5172,"0.0024, 0.0001, 0.0000",
31,763620,3.5319,"0.0024, 0.0001, 0.0000",
32,794679,3.6067,"0.0024, 0.0001, 0.0000",
33,792350,3.6616,"0.0011, 0.0008, 0.0003",
34,792510,3.7296,"0.0024, 0.0005, 0.0000",
35,778899,3.9799,"0.0026, 0.0003, 0.0001",
36,798512,4.0354,"0.0029, 0.0002, 0.0000",
37,8188926,4.3528,"0.0011, 0.0008, 0.0005",
38,778915,4.8935,"0.0014, 0.0009, 0.0005",
39,791713,5.0023,"0.0035, 0.0003, 0.0000",
40,8063089,6.0306,"0.0038, 0.0005, 0.0000",
41,792358,6.2727,"0.0018, 0.0011, 0.0006",
42,8171486,6.3452,"0.0017, 0.0016, 0.0004",
43,777239,6.4461,"0.0024, 0.0009, 0.0005",
44,8117985,6.5972,"0.0033, 0.0013, 0.0000",
45,8144696,6.8442,"0.0037, 0.0005, 0.0003",
46,781282,7.5054,"0.0041, 0.0008, 0.0001",
47,778844,7.6161,"0.0024, 0.0024, 0.0000",
48,781914,7.8427,"0.0022, 0.0013, 0.0006",
49,778897,7.8944,"0.0050, 0.0002, 0.0002",
