Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,783619,0.9993,0.0089,2998,✅
2,784907,0.9240,0.0078,2772,
3,798475,0.6873,0.0096,2062,
4,798480,0.6840,0.0101,2052,
5,792441,0.6263,0.0088,1879,
6,792440,0.6227,0.0086,1868,
7,8096342,0.6057,0.0097,1817,
8,781926,0.5827,0.0083,1748,
9,778448,0.5570,0.0089,1671,
10,787914,0.5467,0.0106,1640,
11,783595,0.5377,0.0088,1613,
12,778082,0.5363,0.0114,1609,
13,793548,0.4763,0.0108,1429,
14,781921,0.4483,0.0108,1345,
15,8141860,0.4397,0.0108,1319,
16,778504,0.4163,0.0113,1249,
17,8179499,0.3997,0.0101,1199,
18,774937,0.3927,0.0105,1178,
19,8155627,0.3847,0.0097,1154,
20,8111161,0.3670,0.0085,1101,
21,783617,0.3543,0.0119,1063,
22,8091936,0.2967,0.0110,890,
23,8139623,0.2813,0.0097,844,
24,780273,0.2510,0.0113,753,
25,793832,0.2340,0.0114,702,
26,794273,0.2003,0.0115,601,
27,8166043,0.1973,0.0090,592,
28,793796,0.1960,0.0104,588,
