Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,771615,0.7440,0.0115,2232,✅
2,771612,0.7357,0.0120,2207,
3,794864,0.6720,0.0121,2016,
4,794863,0.6597,0.0118,1979,
5,8172410,0.6360,0.0100,1908,
6,785159,0.6123,0.0104,1837,
7,785173,0.6010,0.0116,1803,
8,772144,0.5803,0.0105,1741,
9,794870,0.5503,0.0093,1651,
10,8172406,0.5490,0.0099,1647,
11,8092992,0.5473,0.0089,1642,
12,794008,0.5367,0.0101,1610,
13,785169,0.5293,0.0098,1588,
14,785682,0.5077,0.0132,1523,
15,772132,0.4853,0.0095,1456,
16,771742,0.4783,0.0127,1435,
17,785150,0.4660,0.0128,1398,
18,779815,0.4627,0.0092,1388,
19,794871,0.3817,0.0105,1145,
20,777155,0.3743,0.0117,1123,
21,781831,0.3453,0.0119,1036,
22,8092901,0.3170,0.0105,951,
23,788786,0.2947,0.0125,884,
24,8088959,0.2623,0.0116,787,
25,781070,0.2337,0.0126,701,
26,787913,0.2250,0.0108,675,
27,784856,0.1850,0.0120,555,
28,780827,0.1753,0.0115,526,
29,8181354,0.1513,0.0112,454,
30,768552,0.1397,0.0124,419,
