Rank,CAD,Score (lower is better),Eigenvalues,Status
1,8091607,0.2819,"0.0985, 0.0569, 0.0001",
2,792429,0.3439,"0.0912, 0.0452, 0.0001",
3,792937,0.3460,"0.0736, 0.0494, 0.0004",
4,770066,0.3788,"0.1047, 0.0500, 0.0001",⬅️
5,8095212,0.4029,"0.0751, 0.0579, 0.0006",
6,8091602,0.4367,"0.0838, 0.0690, 0.0006",
7,780288,0.4472,"0.1053, 0.0443, 0.0001",
8,780295,0.4482,"0.1114, 0.0557, 0.0000",
9,780296,0.4493,"0.1113, 0.0560, 0.0000",
10,8176978,0.4625,"0.0570, 0.0553, 0.0004",
11,772769,0.4673,"0.0816, 0.0423, 0.0001",
12,8176966,0.4837,"0.0564, 0.0528, 0.0004",
13,780252,0.4871,"0.1124, 0.0622, 0.0001",
14,8179589,0.4964,"0.1238, 0.0499, 0.0002",
15,793981,0.5267,"0.0679, 0.0644, 0.0002",
16,793982,0.5275,"0.0679, 0.0644, 0.0002",
17,777942,0.5451,"0.0642, 0.0500, 0.0002",
18,8179611,0.5459,"0.0582, 0.0498, 0.0003",
19,8179614,0.5715,"0.1126, 0.0380, 0.0001",
20,772733,0.5813,"0.0719, 0.0604, 0.0000",
21,8179592,0.5843,"0.1199, 0.0432, 0.0001",
22,776556,0.6027,"0.1165, 0.0669, 0.0000",
23,775999,0.6069,"0.0625, 0.0578, 0.0001",
24,772734,0.6073,"0.0717, 0.0457, 0.0000",
25,772732,0.6093,"0.0720, 0.0452, 0.0000",
26,780254,0.6223,"0.0606, 0.0515, 0.0001",
27,782016,0.6328,"0.0963, 0.0081, 0.0001",
28,793978,0.6446,"0.0543, 0.0535, 0.0001",
29,793975,0.6551,"0.0539, 0.0529, 0.0001",
30,772745,0.6614,"0.0762, 0.0315, 0.0001",
31,763640,0.6897,"0.0957, 0.0014, 0.0001",
32,788916,0.6984,"0.0647, 0.0448, 0.0000",
33,772749,0.7124,"0.0711, 0.0316, 0.0001",
34,772741,0.7186,"0.0707, 0.0313, 0.0001",
35,780287,0.7278,"0.1048, 0.0122, 0.0001",
36,788920,0.7691,"0.0655, 0.0302, 0.0001",
37,780255,0.7887,"0.0989, 0.0003, 0.0000",
38,8179617,0.7948,"0.1107, 0.0025, 0.0002",
39,791817,0.8135,"0.1477, 0.0532, 0.0000",
40,780300,0.8364,"0.0569, 0.0270, 0.0006",
41,780299,0.8392,"0.0566, 0.0268, 0.0006",
42,791816,0.8688,"0.1486, 0.0487, 0.0000",
43,779545,0.8967,"0.1465, 0.0642, 0.0008",
44,772801,0.9046,"0.0522, 0.0347, 0.0000",
45,772809,0.9079,"0.0537, 0.0326, 0.0000",
46,793998,0.9114,"0.0590, 0.0226, 0.0007",
47,772810,0.9280,"0.0545, 0.0306, 0.0000",
48,776548,0.9498,"0.0744, 0.0001, 0.0001",
49,8158965,0.9566,"0.0668, 0.0047, 0.0002",
50,793997,0.9660,"0.0611, 0.0377, 0.0011",
51,777948,0.9692,"0.0640, 0.0096, 0.0001",
52,777945,1.0041,"0.0632, 0.0099, 0.0001",
53,8186079,1.0392,"0.0453, 0.0298, 0.0000",
54,771731,1.0427,"0.0355, 0.0321, 0.0001",
55,788794,1.0431,"0.0598, 0.0097, 0.0001",
56,780283,1.0588,"0.0502, 0.0169, 0.0001",
57,772742,1.0933,"0.0347, 0.0312, 0.0001",
58,778082,1.0996,"0.0572, 0.0049, 0.0001",
59,788923,1.0999,"0.0393, 0.0259, 0.0001",
60,776560,1.1021,"0.0326, 0.0317, 0.0001",
61,8096342,1.1218,"0.0371, 0.0056, 0.0004",
62,788909,1.1322,"0.0433, 0.0222, 0.0000",
63,791819,1.1509,"0.1667, 0.0256, 0.0002",
64,785997,1.1601,"0.0273, 0.0225, 0.0002",
65,781744,1.1728,"0.1001, 0.0060, 0.0015",
66,772726,1.1891,"0.0549, 0.0002, 0.0000",
67,772725,1.1912,"0.0547, 0.0002, 0.0000",
68,8095189,1.2005,"0.1545, 0.0889, 0.0008",
69,772805,1.2048,"0.0473, 0.0097, 0.0000",
70,772804,1.2078,"0.0477, 0.0090, 0.0000",
