Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,8122643,0.8753,0.0083,2626,
2,765202,0.8300,0.0082,2490,
3,784111,0.8240,0.0079,2472,
4,765201,0.7980,0.0098,2394,
5,8122655,0.7557,0.0078,2267,
6,8139718,0.7230,0.0080,2169,
7,779861,0.7157,0.0084,2147,
8,781613,0.6830,0.0074,2049,
9,8178944,0.6820,0.0081,2046,
10,8103576,0.6463,0.0100,1939,
11,791705,0.5323,0.0131,1597,
12,779699,0.5087,0.0087,1526,
13,777043,0.4963,0.0094,1489,
14,794515,0.4637,0.0097,1391,
15,8144696,0.4500,0.0096,1350,
16,781282,0.4367,0.0115,1310,
17,8088206,0.3893,0.0116,1168,
