Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,793975,0.9767,0.0099,2930,✅
2,8176978,0.9633,0.0113,2890,
3,8176966,0.9547,0.0109,2864,
4,793978,0.9540,0.0109,2862,
5,780254,0.9343,0.0129,2803,
6,8179611,0.8220,0.0117,2466,
7,777942,0.8220,0.0131,2466,
8,772769,0.8217,0.0116,2465,
9,792429,0.8143,0.0144,2443,
10,772732,0.7693,0.0122,2308,
11,772801,0.7673,0.0116,2302,
12,772734,0.7493,0.0127,2248,
13,772745,0.7237,0.0119,2171,
14,788920,0.7073,0.0122,2122,
15,772741,0.7053,0.0116,2116,
16,772749,0.6823,0.0122,2047,
17,772809,0.6200,0.0115,1860,
18,776560,0.6187,0.0110,1856,
19,793982,0.6183,0.0103,1855,
20,772742,0.5953,0.0089,1786,
21,788923,0.5883,0.0084,1765,
22,793981,0.4197,0.0122,1259,
23,785997,0.4037,0.0108,1211,
24,772810,0.3530,0.0125,1059,
25,780283,0.3010,0.0088,903,
26,788916,0.2743,0.0129,823,
27,771731,0.2313,0.0112,694,
28,792937,0.1383,0.0129,415,
29,775999,0.0893,0.0112,268,
