Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,788920,0.9807,0.0100,2942,✅
2,772769,0.9203,0.0107,2761,
3,772741,0.8633,0.0113,2590,
4,780254,0.8483,0.0106,2545,
5,772734,0.7950,0.0107,2385,
6,777942,0.7707,0.0134,2312,
7,792429,0.7623,0.0102,2287,
8,772749,0.7620,0.0114,2286,
9,772733,0.7597,0.0123,2279,
10,788916,0.7530,0.0111,2259,
11,772745,0.7323,0.0100,2197,
12,8179611,0.7300,0.0118,2190,
13,793975,0.7280,0.0113,2184,
14,788923,0.7190,0.0099,2157,
15,772732,0.7073,0.0117,2122,
16,793978,0.7053,0.0117,2116,
17,780300,0.6410,0.0118,1923,
18,8186079,0.5633,0.0118,1690,
19,772809,0.5577,0.0116,1673,
20,772801,0.5557,0.0106,1667,
21,772742,0.5357,0.0106,1607,
22,793997,0.5350,0.0135,1605,
23,776560,0.5107,0.0099,1532,
24,774596,0.4717,0.0103,1415,
25,777945,0.4713,0.0095,1414,
26,785997,0.4527,0.0112,1358,
27,793998,0.4497,0.0123,1349,
28,8158965,0.4270,0.0093,1281,
29,793981,0.4090,0.0120,1227,
30,777948,0.4080,0.0104,1224,
31,8176978,0.4033,0.0130,1210,
32,8087967,0.3820,0.0119,1146,
33,8095212,0.3057,0.0119,917,
34,772804,0.3033,0.0114,910,
35,775999,0.2977,0.0109,893,
36,771731,0.2873,0.0129,862,
37,772805,0.2783,0.0102,835,
38,783619,0.2230,0.0109,669,
39,8176966,0.2117,0.0133,635,
40,792937,0.2113,0.0124,634,
41,776548,0.1770,0.0113,531,
42,780299,0.1650,0.0120,495,
43,788794,0.1563,0.0115,469,
44,793982,0.1450,0.0116,435,
45,780283,0.1253,0.0118,376,
46,778082,0.1100,0.0109,330,
47,772725,0.1067,0.0114,320,
48,8181146,0.1010,0.0125,303,
49,772810,0.0897,0.0129,269,
50,772726,0.0827,0.0105,248,
51,8096342,0.0503,0.0124,151,
52,788909,0.0427,0.0124,128,
