Rank,CAD,Score (lower is better),Eigenvalues,Status
1,8176904,0.3924,"0.1829, 0.0816, 0.0003",
2,8179589,0.4741,"0.1238, 0.0499, 0.0002",
3,792937,0.5684,"0.0736, 0.0494, 0.0004",
4,793981,0.5939,"0.0679, 0.0644, 0.0002",
5,793982,0.5952,"0.0679, 0.0644, 0.0002",
6,8176978,0.6597,"0.0570, 0.0553, 0.0004",
7,8179611,0.6608,"0.0582, 0.0498, 0.0003",
8,766859,0.6621,"0.2094, 0.0552, 0.0002",
9,794101,0.6631,"0.2331, 0.0804, 0.0003",
10,8176966,0.6639,"0.0564, 0.0528, 0.0004",
11,791819,0.7113,"0.1667, 0.0256, 0.0002",
12,777942,0.7488,"0.0642, 0.0500, 0.0002",
13,792429,0.7876,"0.0912, 0.0452, 0.0001",
14,8091607,0.7927,"0.0985, 0.0569, 0.0001",
15,780252,0.7977,"0.1124, 0.0622, 0.0001",
16,8179592,0.8115,"0.1199, 0.0432, 0.0001",
17,772769,0.8257,"0.0816, 0.0423, 0.0001",
18,770066,0.8652,"0.1047, 0.0500, 0.0001",
19,793978,0.8695,"0.0543, 0.0535, 0.0001",
20,793975,0.8761,"0.0539, 0.0529, 0.0001",
21,791817,0.8830,"0.1477, 0.0532, 0.0000",
22,775999,0.9059,"0.0625, 0.0578, 0.0001",
23,8179614,0.9248,"0.1126, 0.0380, 0.0001",
24,791816,0.9251,"0.1486, 0.0487, 0.0000",
25,776556,0.9350,"0.1165, 0.0669, 0.0000",⬅️
26,780254,0.9361,"0.0606, 0.0515, 0.0001",
27,780288,0.9408,"0.1053, 0.0443, 0.0001",
28,780296,0.9629,"0.1113, 0.0560, 0.0000",
29,780295,0.9642,"0.1114, 0.0557, 0.0000",
30,8095212,0.9684,"0.0751, 0.0579, 0.0006",
31,8091602,1.0258,"0.0838, 0.0690, 0.0006",
32,788920,1.0505,"0.0655, 0.0302, 0.0001",
33,8179617,1.0543,"0.1107, 0.0025, 0.0002",
34,772745,1.0622,"0.0762, 0.0315, 0.0001",
35,772733,1.0685,"0.0719, 0.0604, 0.0000",
36,772749,1.0720,"0.0711, 0.0316, 0.0001",
37,772741,1.0735,"0.0707, 0.0313, 0.0001",
38,771731,1.0964,"0.0355, 0.0321, 0.0001",
39,782016,1.0967,"0.0963, 0.0081, 0.0001",
40,785997,1.0975,"0.0273, 0.0225, 0.0002",
41,772734,1.1070,"0.0717, 0.0457, 0.0000",
42,772732,1.1120,"0.0720, 0.0452, 0.0000",
43,780287,1.1669,"0.1048, 0.0122, 0.0001",
44,788916,1.1736,"0.0647, 0.0448, 0.0000",
45,763640,1.1763,"0.0957, 0.0014, 0.0001",
46,776560,1.1870,"0.0326, 0.0317, 0.0001",
47,8158965,1.2004,"0.0668, 0.0047, 0.0002",
48,772801,1.2047,"0.0522, 0.0347, 0.0000",
49,772742,1.2072,"0.0347, 0.0312, 0.0001",
50,772809,1.2109,"0.0537, 0.0326, 0.0000",
51,777948,1.2278,"0.0640, 0.0096, 0.0001",
