Rank,CAD,Score (lower is better),Eigenvalues,Status
1,780299,0.4391,"0.0566, 0.0268, 0.0006",✅
2,780300,0.4447,"0.0569, 0.0270, 0.0006",
3,793998,0.6321,"0.0590, 0.0226, 0.0007",
4,785997,0.7503,"0.0273, 0.0225, 0.0002",
5,788920,0.8310,"0.0655, 0.0302, 0.0001",
6,8096342,0.8616,"0.0371, 0.0056, 0.0004",
7,780283,0.8856,"0.0502, 0.0169, 0.0001",
8,771731,0.8919,"0.0355, 0.0321, 0.0001",
9,772741,0.9054,"0.0707, 0.0313, 0.0001",
10,772749,0.9117,"0.0711, 0.0316, 0.0001",
11,788923,0.9304,"0.0393, 0.0259, 0.0001",
12,772745,0.9341,"0.0762, 0.0315, 0.0001",
13,777948,0.9739,"0.0640, 0.0096, 0.0001",
14,776560,0.9830,"0.0326, 0.0317, 0.0001",
15,772742,0.9864,"0.0347, 0.0312, 0.0001",
16,8087967,0.9990,"0.0384, 0.0134, 0.0008",
17,772809,1.0020,"0.0537, 0.0326, 0.0000",
18,772810,1.0076,"0.0545, 0.0306, 0.0000",
19,772801,1.0412,"0.0522, 0.0347, 0.0000",
20,788909,1.0446,"0.0433, 0.0222, 0.0000",
21,8158965,1.0457,"0.0668, 0.0047, 0.0002",
22,8186079,1.0525,"0.0453, 0.0298, 0.0000",
23,777945,1.0547,"0.0632, 0.0099, 0.0001",
24,8112097,1.0550,"0.0305, 0.0125, 0.0008",
25,788794,1.0645,"0.0598, 0.0097, 0.0001",
26,8092284,1.0901,"0.0096, 0.0074, 0.0005",
27,793793,1.0901,"0.0109, 0.0091, 0.0006",
28,772769,1.0942,"0.0816, 0.0423, 0.0001",
29,792937,1.1020,"0.0736, 0.0494, 0.0004",
30,792803,1.1028,"0.0104, 0.0083, 0.0006",
31,782016,1.1038,"0.0963, 0.0081, 0.0001",
32,780706,1.1085,"0.0104, 0.0083, 0.0006",
33,8181146,1.1215,"0.0423, 0.0143, 0.0000",
34,774596,1.1224,"0.0429, 0.0140, 0.0000",
35,772763,1.1268,"0.0350, 0.0085, 0.0001",
36,772764,1.1286,"0.0349, 0.0085, 0.0001",
37,8179611,1.1415,"0.0582, 0.0498, 0.0003",
38,778082,1.1495,"0.0572, 0.0049, 0.0001",
39,777135,1.1610,"0.0092, 0.0084, 0.0007",
40,781899,1.1672,"0.0229, 0.0219, 0.0000",
41,782438,1.1789,"0.0231, 0.0008, 0.0006",
42,772805,1.1831,"0.0473, 0.0097, 0.0000",
43,8172414,1.1936,"0.0352, 0.0116, 0.0000",
44,8172412,1.1937,"0.0351, 0.0117, 0.0000",
45,777141,1.1944,"0.0102, 0.0036, 0.0005",
46,8166038,1.1978,"0.0099, 0.0041, 0.0005",
47,772804,1.1984,"0.0477, 0.0090, 0.0000",
48,780287,1.1999,"0.1048, 0.0122, 0.0001",
49,782185,1.2047,"0.0139, 0.0038, 0.0003",
50,777551,1.2106,"0.0088, 0.0037, 0.0005",
51,8176966,1.2269,"0.0564, 0.0528, 0.0004",
52,8105335,1.2292,"0.0139, 0.0050, 0.0002",
53,771736,1.2316,"0.0149, 0.0143, 0.0001",
54,777553,1.2322,"0.0059, 0.0059, 0.0006",
55,788695,1.2359,"0.0284, 0.0116, 0.0000",
56,792429,1.2424,"0.0912, 0.0452, 0.0001",
57,777942,1.2426,"0.0642, 0.0500, 0.0002",
58,8100975,1.2472,"0.0197, 0.0055, 0.0001",
59,786001,1.2489,"0.0132, 0.0107, 0.0001",
60,8181152,1.2540,"0.0079, 0.0024, 0.0004",
61,8093316,1.2607,"0.0399, 0.0068, 0.0000",
62,8093514,1.2666,"0.0072, 0.0024, 0.0005",
63,8100969,1.2679,"0.0191, 0.0055, 0.0001",
64,788771,1.2688,"0.0052, 0.0032, 0.0005",
65,8094080,1.2716,"0.0170, 0.0109, 0.0009",
66,779434,1.2741,"0.0318, 0.0131, 0.0009",
67,776548,1.2783,"0.0744, 0.0001, 0.0001",
68,784111,1.2850,"0.0086, 0.0025, 0.0003",
69,8091936,1.2859,"0.0141, 0.0060, 0.0008",
70,763640,1.2863,"0.0957, 0.0014, 0.0001",
71,8103578,1.2960,"0.0055, 0.0028, 0.0006",
72,793426,1.2968,"0.0055, 0.0028, 0.0006",
73,8178944,1.2968,"0.0043, 0.0024, 0.0004",
74,775310,1.3006,"0.0141, 0.0124, 0.0009",
75,781613,1.3070,"0.0043, 0.0023, 0.0004",
76,781923,1.3120,"0.0044, 0.0026, 0.0006",
77,8179617,1.3121,"0.1107, 0.0025, 0.0002",
78,772732,1.3168,"0.0720, 0.0452, 0.0000",
79,8088206,1.3178,"0.0085, 0.0021, 0.0003",
80,788916,1.3188,"0.0647, 0.0448, 0.0000",
81,8179614,1.3210,"0.1126, 0.0380, 0.0001",
82,8176978,1.3236,"0.0570, 0.0553, 0.0004",
83,772734,1.3277,"0.0717, 0.0457, 0.0000",
84,781916,1.3281,"0.0062, 0.0030, 0.0006",
85,774135,1.3285,"0.0066, 0.0007, 0.0005",
86,788905,1.3379,"0.0392, 0.0013, 0.0001",
87,777217,1.3405,"0.0045, 0.0008, 0.0005",
88,791705,1.3424,"0.0046, 0.0029, 0.0003",
89,778448,1.3487,"0.0219, 0.0029, 0.0008",
90,772726,1.3496,"0.0549, 0.0002, 0.0000",
91,772725,1.3497,"0.0547, 0.0002, 0.0000",
92,8122655,1.3527,"0.0045, 0.0032, 0.0002",
93,777043,1.3561,"0.0067, 0.0012, 0.0003",
94,777239,1.3611,"0.0024, 0.0009, 0.0005",
95,8171486,1.3614,"0.0017, 0.0016, 0.0004",
96,8103576,1.3641,"0.0046, 0.0029, 0.0002",
97,794515,1.3651,"0.0042, 0.0010, 0.0003",
98,793548,1.3666,"0.0251, 0.0065, 0.0009",
99,781917,1.3666,"0.0062, 0.0031, 0.0007",
100,778091,1.3673,"0.0393, 0.0006, 0.0001",
101,794273,1.3680,"0.0078, 0.0061, 0.0008",
102,778915,1.3755,"0.0014, 0.0009, 0.0005",
103,765199,1.3759,"0.0129, 0.0048, 0.0001",
104,8188926,1.3800,"0.0011, 0.0008, 0.0005",
