Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,772733,0.9853,0.0102,2956,
2,770066,0.9810,0.0104,2943,
3,772734,0.9787,0.0098,2936,⬅️
4,780288,0.9743,0.0104,2923,
5,772732,0.9680,0.0093,2904,
6,788916,0.9557,0.0100,2867,
7,8179589,0.9220,0.0114,2766,
8,792429,0.8917,0.0123,2675,
9,8179611,0.8830,0.0108,2649,
10,772769,0.8723,0.0102,2617,
11,780254,0.8690,0.0104,2607,
12,772745,0.8573,0.0094,2572,
13,793978,0.8530,0.0104,2559,
14,793975,0.8500,0.0100,2550,
15,772741,0.8363,0.0091,2509,
16,772749,0.8280,0.0110,2484,
17,8091607,0.8123,0.0099,2437,
18,777942,0.8050,0.0104,2415,
19,772801,0.7847,0.0095,2354,
20,772809,0.7583,0.0098,2275,
21,8176966,0.7487,0.0121,2246,
22,788920,0.7337,0.0094,2201,
23,772810,0.6913,0.0098,2074,
24,8176978,0.6887,0.0117,2066,
25,788923,0.6427,0.0091,1928,
26,772742,0.5877,0.0089,1763,
27,776560,0.5783,0.0104,1735,
28,774596,0.5173,0.0095,1552,
29,777948,0.4827,0.0083,1448,
30,8181146,0.4810,0.0085,1443,
31,777945,0.4797,0.0079,1439,
32,788794,0.4513,0.0080,1354,
33,772805,0.4380,0.0100,1314,
34,782016,0.4303,0.0085,1291,
35,772804,0.4173,0.0078,1252,
36,8158965,0.3913,0.0078,1174,
37,788909,0.3840,0.0099,1152,
38,8186079,0.3710,0.0112,1113,
39,8095212,0.3470,0.0125,1041,
40,780283,0.3100,0.0103,930,
41,793981,0.2937,0.0120,881,
42,793982,0.1683,0.0127,505,
43,792937,0.1657,0.0119,497,
44,778082,0.1430,0.0105,429,
45,8091602,0.1337,0.0118,401,
46,780300,0.1303,0.0123,391,
47,793998,0.1273,0.0125,382,
48,772726,0.1160,0.0093,348,
49,772725,0.1120,0.0095,336,
50,775999,0.1023,0.0118,307,
51,771731,0.0917,0.0105,275,
52,780299,0.0893,0.0131,268,
53,776548,0.0820,0.0115,246,
54,785997,0.0590,0.0123,177,
