Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,765202,1.0000,0.0040,3000,✅
2,777551,0.9993,0.0074,2998,
3,8105335,0.8190,0.0109,2457,
4,765201,0.8150,0.0117,2445,
5,8122643,0.8063,0.0103,2419,
6,765199,0.7800,0.0116,2340,
7,784111,0.7710,0.0115,2313,
8,8181152,0.7637,0.0103,2291,
9,8174395,0.7443,0.0092,2233,
10,8179627,0.7147,0.0094,2144,
11,8092284,0.6737,0.0120,2021,
12,779861,0.6550,0.0085,1965,
13,8122655,0.6363,0.0098,1909,
14,777141,0.6213,0.0111,1864,
15,793646,0.5690,0.0094,1707,
16,8103576,0.5287,0.0117,1586,
17,791705,0.5050,0.0104,1515,
18,782185,0.4860,0.0110,1458,
19,8166038,0.4777,0.0122,1433,
20,777043,0.4657,0.0105,1397,
21,8063088,0.4450,0.0087,1335,
22,8139718,0.4210,0.0090,1263,
23,775316,0.3930,0.0107,1179,
24,793791,0.3747,0.0098,1124,
25,8088206,0.3467,0.0103,1040,
26,772840,0.3293,0.0111,988,
27,778897,0.3210,0.0112,963,
28,772841,0.3190,0.0138,957,
