Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,774937,0.9810,0.0103,2943,
2,8139623,0.9263,0.0092,2779,
3,774935,0.9223,0.0088,2767,⬅️
4,793793,0.9193,0.0090,2758,
5,781926,0.9083,0.0080,2725,
6,775262,0.8893,0.0109,2668,
7,788698,0.8877,0.0103,2663,
8,779530,0.8640,0.0093,2592,
9,792161,0.8603,0.0094,2581,
10,792440,0.8440,0.0090,2532,
11,792441,0.8350,0.0086,2505,
12,779533,0.8303,0.0108,2491,
13,8111161,0.7797,0.0101,2339,
14,8155627,0.7770,0.0100,2331,
15,777135,0.7240,0.0091,2172,
16,8179499,0.7100,0.0079,2130,
17,8091936,0.7027,0.0115,2108,
18,8105335,0.6870,0.0090,2061,
19,783595,0.6740,0.0111,2022,
20,793548,0.6703,0.0131,2011,
21,775310,0.6567,0.0110,1970,
22,792803,0.6380,0.0107,1914,
23,8094080,0.6280,0.0086,1884,
24,778504,0.6200,0.0119,1860,
25,8100969,0.6087,0.0098,1826,
26,8100975,0.5973,0.0075,1792,
27,8111167,0.5950,0.0103,1785,
28,771736,0.5883,0.0078,1765,
29,777551,0.5647,0.0102,1694,
30,783617,0.5547,0.0105,1664,
31,8111165,0.5473,0.0116,1642,
32,765199,0.5387,0.0112,1616,
33,765202,0.5250,0.0104,1575,
34,794273,0.5120,0.0110,1536,
35,8166038,0.5120,0.0111,1536,
36,780273,0.5060,0.0079,1518,
37,793832,0.4737,0.0111,1421,
38,784111,0.4637,0.0079,1391,
39,782185,0.4480,0.0114,1344,
40,8181152,0.4247,0.0091,1274,
41,777553,0.4233,0.0123,1270,
42,8092284,0.4207,0.0118,1262,
43,777141,0.4133,0.0110,1240,
44,775316,0.4103,0.0058,1231,
45,793796,0.4087,0.0117,1226,
46,8093514,0.3757,0.0104,1127,
47,8179627,0.3743,0.0109,1123,
48,781917,0.3700,0.0112,1110,
49,781921,0.3620,0.0093,1086,
50,8126327,0.3617,0.0112,1085,
51,781916,0.3587,0.0106,1076,
52,8166043,0.3423,0.0117,1027,
53,785887,0.3407,0.0113,1022,
54,793646,0.2760,0.0130,828,
55,8089434,0.2657,0.0111,797,
56,8088206,0.2610,0.0088,783,
57,8174395,0.2517,0.0095,755,
58,772797,0.2473,0.0087,742,
59,772796,0.2330,0.0089,699,
60,8181356,0.2117,0.0099,635,
61,780706,0.2083,0.0117,625,
62,775510,0.1983,0.0108,595,
63,786001,0.1837,0.0120,551,
