Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,772809,0.9877,0.0098,2963,✅
2,793975,0.9630,0.0099,2889,
3,793978,0.9590,0.0102,2877,
4,780254,0.9573,0.0105,2872,
5,772745,0.9553,0.0095,2866,
6,8179611,0.9473,0.0101,2842,
7,772732,0.9450,0.0097,2835,
8,772810,0.9427,0.0087,2828,
9,788920,0.9407,0.0106,2822,
10,772801,0.9393,0.0098,2818,
11,8176978,0.9377,0.0115,2813,
12,8176966,0.9353,0.0120,2806,
13,772741,0.9330,0.0103,2799,
14,772749,0.9260,0.0095,2778,
15,772734,0.9213,0.0096,2764,
16,777942,0.9163,0.0104,2749,
17,788916,0.9147,0.0094,2744,
18,772769,0.9017,0.0103,2705,
19,776560,0.7660,0.0093,2298,
20,772742,0.7607,0.0088,2282,
21,788923,0.7460,0.0113,2238,
22,780300,0.7287,0.0106,2186,
23,774596,0.6480,0.0078,1944,
24,8181146,0.6307,0.0089,1892,
25,772805,0.5730,0.0079,1719,
26,772804,0.5480,0.0088,1644,
27,793998,0.4907,0.0123,1472,
28,793982,0.4843,0.0104,1453,
29,777948,0.4767,0.0084,1430,
30,785997,0.4597,0.0081,1379,
31,793981,0.4417,0.0115,1325,
32,8172412,0.4090,0.0076,1227,
33,8158965,0.3837,0.0107,1151,
34,788794,0.3677,0.0084,1103,
35,772763,0.3560,0.0088,1068,
36,772764,0.3547,0.0087,1064,
37,777945,0.3380,0.0084,1014,
38,8172414,0.2893,0.0124,868,
39,771731,0.2720,0.0100,816,
40,792937,0.2277,0.0110,683,
41,780283,0.2093,0.0123,628,
42,780299,0.1767,0.0128,530,
43,8093316,0.1660,0.0118,498,
44,778082,0.1450,0.0105,435,
45,788905,0.1390,0.0114,417,
46,772725,0.1337,0.0097,401,
47,781899,0.0973,0.0122,292,
48,8186079,0.0963,0.0124,289,
49,775999,0.0927,0.0119,278,
50,8091304,0.0883,0.0109,265,
51,772726,0.0577,0.0131,173,
52,788909,0.0433,0.0123,130,
53,778091,0.0373,0.0104,112,
