Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,794864,0.8453,0.0116,2536,
2,794863,0.8350,0.0117,2505,⬅️
3,783475,0.6687,0.0129,2006,
4,771615,0.6067,0.0116,1820,
5,771612,0.6057,0.0116,1817,
6,785185,0.5610,0.0125,1683,
7,8179631,0.5197,0.0115,1559,
8,8179629,0.5107,0.0115,1532,
9,793997,0.5033,0.0105,1510,
10,785159,0.4990,0.0108,1497,
11,785173,0.4723,0.0117,1417,
12,793999,0.4697,0.0102,1409,
13,772144,0.4637,0.0090,1391,
14,8172410,0.4537,0.0110,1361,
15,785184,0.4250,0.0129,1275,
16,8111409,0.4153,0.0125,1246,
17,785150,0.4130,0.0105,1239,
18,8179609,0.3320,0.0129,996,
19,788786,0.3107,0.0123,932,
20,777155,0.3007,0.0098,902,
21,781831,0.2957,0.0134,887,
22,771742,0.2943,0.0109,883,
23,785682,0.2933,0.0135,880,
24,787761,0.2843,0.0129,853,
25,783854,0.2697,0.0136,809,
26,781070,0.2307,0.0127,692,
27,785149,0.2207,0.0138,662,
28,781071,0.2060,0.0126,618,
29,784856,0.1997,0.0123,599,
30,787913,0.1313,0.0124,394,
