Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,8095212,0.7887,0.0113,2366,✅
2,8091602,0.6057,0.0109,1817,
3,8179611,0.4817,0.0124,1445,
4,787629,0.4770,0.0120,1431,
5,780300,0.4690,0.0113,1407,
6,792430,0.4403,0.0119,1321,
7,793997,0.4380,0.0113,1314,
8,779545,0.4213,0.0126,1264,
9,781744,0.4153,0.0106,1246,
10,780299,0.4063,0.0110,1219,
11,8179589,0.4047,0.0130,1214,
12,8176966,0.3943,0.0130,1183,
13,793975,0.3933,0.0119,1180,
14,792429,0.3887,0.0118,1166,
15,793999,0.3863,0.0120,1159,
16,8176978,0.3840,0.0131,1152,
17,788926,0.3790,0.0118,1137,
18,788916,0.3643,0.0121,1093,
19,8179614,0.3640,0.0108,1092,
20,772749,0.3640,0.0114,1092,
21,8179629,0.3620,0.0127,1086,
22,783619,0.3540,0.0113,1062,
23,8179631,0.3520,0.0124,1056,
24,782016,0.3510,0.0120,1053,
25,793982,0.3300,0.0119,990,
26,772769,0.3230,0.0135,969,
27,780288,0.3097,0.0111,929,
28,793998,0.3070,0.0113,921,
29,777942,0.3050,0.0131,915,
30,792937,0.3000,0.0120,900,
31,772745,0.2983,0.0126,895,
32,772810,0.2983,0.0108,895,
33,772741,0.2930,0.0128,879,
34,8179592,0.2790,0.0125,837,
35,793978,0.2653,0.0129,796,
36,785149,0.2587,0.0137,776,
37,788920,0.2513,0.0122,754,
38,780287,0.2487,0.0127,746,
39,772732,0.2320,0.0125,696,
40,780254,0.2207,0.0136,662,
41,8179617,0.2183,0.0126,655,
42,772733,0.2053,0.0130,616,
43,770066,0.2050,0.0129,615,
44,763640,0.2017,0.0109,605,
45,793981,0.1980,0.0111,594,
46,780252,0.1787,0.0129,536,
47,775999,0.1733,0.0113,520,
48,791817,0.1697,0.0132,509,
49,776556,0.1650,0.0137,495,
50,780296,0.1637,0.0131,491,
51,772809,0.1613,0.0117,484,
52,772734,0.1597,0.0133,479,
53,780295,0.1567,0.0137,470,
54,772801,0.1517,0.0123,455,
55,8091607,0.1493,0.0128,448,
56,791816,0.1240,0.0130,372,
57,780827,0.1090,0.0116,327,
58,776548,0.1037,0.0122,311,
59,780255,0.0987,0.0106,296,
