Rank,CAD,Score (lower is better),Eigenvalues,Status
1,8091607,0.3220,"0.0985, 0.0569, 0.0001",
2,792429,0.3952,"0.0912, 0.0452, 0.0001",
3,770066,0.4081,"0.1047, 0.0500, 0.0001",
4,8095212,0.4183,"0.0751, 0.0579, 0.0006",⬅️
5,8091602,0.4233,"0.0838, 0.0690, 0.0006",
6,780295,0.4598,"0.1114, 0.0557, 0.0000",
7,780296,0.4610,"0.1113, 0.0560, 0.0000",
8,780288,0.4693,"0.1053, 0.0443, 0.0001",
9,792937,0.4947,"0.0736, 0.0494, 0.0004",
10,780252,0.5200,"0.1124, 0.0622, 0.0001",
11,772769,0.5211,"0.0816, 0.0423, 0.0001",
12,787629,0.5642,"0.0854, 0.0236, 0.0020",
13,781744,0.5668,"0.1001, 0.0060, 0.0015",
14,8179589,0.5819,"0.1238, 0.0499, 0.0002",
15,772733,0.5898,"0.0719, 0.0604, 0.0000",
16,793997,0.5902,"0.0611, 0.0377, 0.0011",
17,8179614,0.6004,"0.1126, 0.0380, 0.0001",
18,776556,0.6149,"0.1165, 0.0669, 0.0000",
19,772734,0.6153,"0.0717, 0.0457, 0.0000",
20,772732,0.6168,"0.0720, 0.0452, 0.0000",
21,777942,0.6209,"0.0642, 0.0500, 0.0002",
22,8179592,0.6238,"0.1199, 0.0432, 0.0001",
23,8176978,0.6249,"0.0570, 0.0553, 0.0004",
24,793981,0.6253,"0.0679, 0.0644, 0.0002",
25,793982,0.6258,"0.0679, 0.0644, 0.0002",
26,792430,0.6270,"0.1023, 0.0232, 0.0025",
27,8176966,0.6390,"0.0564, 0.0528, 0.0004",
28,775999,0.6487,"0.0625, 0.0578, 0.0001",
29,780254,0.6622,"0.0606, 0.0515, 0.0001",
30,8179611,0.6655,"0.0582, 0.0498, 0.0003",
31,8179629,0.6811,"0.0645, 0.0423, 0.0023",
32,772745,0.6891,"0.0762, 0.0315, 0.0001",
33,782016,0.6914,"0.0963, 0.0081, 0.0001",
34,788916,0.6999,"0.0647, 0.0448, 0.0000",
35,793978,0.7016,"0.0543, 0.0535, 0.0001",
36,793975,0.7116,"0.0539, 0.0529, 0.0001",
37,772749,0.7413,"0.0711, 0.0316, 0.0001",
38,772741,0.7479,"0.0707, 0.0313, 0.0001",
39,763640,0.7482,"0.0957, 0.0014, 0.0001",
40,779545,0.7520,"0.1465, 0.0642, 0.0008",
41,780287,0.7567,"0.1048, 0.0122, 0.0001",
42,785149,0.7914,"0.0453, 0.0385, 0.0017",
43,788920,0.8080,"0.0655, 0.0302, 0.0001",
44,780255,0.8088,"0.0989, 0.0003, 0.0000",
45,793998,0.8207,"0.0590, 0.0226, 0.0007",
46,780300,0.8217,"0.0569, 0.0270, 0.0006",
47,780299,0.8261,"0.0566, 0.0268, 0.0006",
48,791817,0.8328,"0.1477, 0.0532, 0.0000",
49,8179617,0.8804,"0.1107, 0.0025, 0.0002",
50,791816,0.8849,"0.1486, 0.0487, 0.0000",
51,8179631,0.9147,"0.0667, 0.0424, 0.0037",
52,783619,0.9148,"0.0584, 0.0055, 0.0011",
53,772801,0.9175,"0.0522, 0.0347, 0.0000",
54,772809,0.9209,"0.0537, 0.0326, 0.0000",
55,772810,0.9343,"0.0545, 0.0306, 0.0000",
56,780827,0.9458,"0.0371, 0.0232, 0.0012",
57,793999,0.9640,"0.0650, 0.0254, 0.0030",
58,788926,0.9763,"0.1054, 0.0748, 0.0046",
59,776548,0.9907,"0.0744, 0.0001, 0.0001",
60,777948,1.0117,"0.0640, 0.0096, 0.0001",
61,8158965,1.0183,"0.0668, 0.0047, 0.0002",
62,777945,1.0262,"0.0632, 0.0099, 0.0001",
63,8186079,1.0404,"0.0453, 0.0298, 0.0000",
64,784907,1.0563,"0.0400, 0.0096, 0.0012",
65,788794,1.0639,"0.0598, 0.0097, 0.0001",
66,8095189,1.0648,"0.1545, 0.0889, 0.0008",
67,785150,1.0752,"0.0403, 0.0357, 0.0027",
68,780283,1.0921,"0.0502, 0.0169, 0.0001",
69,771731,1.0966,"0.0355, 0.0321, 0.0001",
70,8091592,1.1024,"0.1561, 0.0910, 0.0008",
71,8087967,1.1039,"0.0384, 0.0134, 0.0008",
72,778632,1.1145,"0.1374, 0.0463, 0.0042",
73,772742,1.1240,"0.0347, 0.0312, 0.0001",
74,788923,1.1263,"0.0393, 0.0259, 0.0001",
75,778082,1.1310,"0.0572, 0.0049, 0.0001",
76,788909,1.1315,"0.0433, 0.0222, 0.0000",
77,776560,1.1386,"0.0326, 0.0317, 0.0001",
78,780279,1.1472,"0.1240, 0.0090, 0.0033",
79,779434,1.1514,"0.0318, 0.0131, 0.0009",
80,794871,1.1654,"0.0404, 0.0123, 0.0021",
81,8104626,1.1726,"0.1822, 0.0484, 0.0022",
82,8112097,1.1961,"0.0305, 0.0125, 0.0008",
83,772805,1.2046,"0.0473, 0.0097, 0.0000",
84,772726,1.2053,"0.0549, 0.0002, 0.0000",
85,772804,1.2075,"0.0477, 0.0090, 0.0000",
86,772725,1.2075,"0.0547, 0.0002, 0.0000",
87,774596,1.2115,"0.0429, 0.0140, 0.0000",
88,8181146,1.2157,"0.0423, 0.0143, 0.0000",
89,779530,1.2373,"0.0181, 0.0152, 0.0011",
90,8172406,1.2401,"0.0359, 0.0144, 0.0024",
91,779533,1.2448,"0.0180, 0.0150, 0.0011",
92,791819,1.2474,"0.1667, 0.0256, 0.0002",
93,794870,1.2492,"0.0363, 0.0143, 0.0024",
94,785997,1.2522,"0.0273, 0.0225, 0.0002",
95,8096342,1.2615,"0.0371, 0.0056, 0.0004",
96,787914,1.2776,"0.0383, 0.0085, 0.0024",
97,793548,1.2909,"0.0251, 0.0065, 0.0009",
98,8104983,1.2932,"0.1076, 0.0191, 0.0054",
99,8093316,1.3068,"0.0399, 0.0068, 0.0000",
100,792441,1.3073,"0.0169, 0.0080, 0.0012",
101,8155627,1.3081,"0.0155, 0.0100, 0.0014",
102,792440,1.3109,"0.0172, 0.0077, 0.0012",
103,8172414,1.3128,"0.0352, 0.0116, 0.0000",
104,8172412,1.3139,"0.0351, 0.0117, 0.0000",
105,772763,1.3287,"0.0350, 0.0085, 0.0001",
106,772764,1.3301,"0.0349, 0.0085, 0.0001",
107,798480,1.3413,"0.0265, 0.0061, 0.0020",
108,8091304,1.3425,"0.0407, 0.0022, 0.0000",
109,8094080,1.3437,"0.0170, 0.0109, 0.0009",
110,781899,1.3456,"0.0229, 0.0219, 0.0000",
111,798475,1.3463,"0.0261, 0.0061, 0.0020",
112,781926,1.3484,"0.0210, 0.0084, 0.0018",
113,8141860,1.3500,"0.0324, 0.0088, 0.0025",
114,783595,1.3518,"0.0137, 0.0064, 0.0014",
115,778504,1.3539,"0.0123, 0.0091, 0.0011",
