Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,8122655,1.0000,0.0043,3000,✅
2,777553,0.9983,0.0058,2995,
3,8166038,0.9890,0.0083,2967,
4,777141,0.9557,0.0093,2867,
5,8122643,0.9163,0.0091,2749,
6,765201,0.9043,0.0072,2713,
7,793426,0.8890,0.0086,2667,
8,779861,0.8853,0.0089,2656,
9,793796,0.8790,0.0111,2637,
10,8103578,0.8723,0.0103,2617,
11,781923,0.8507,0.0094,2552,
12,777551,0.8470,0.0075,2541,
13,781917,0.8177,0.0102,2453,
14,8126327,0.8137,0.0105,2441,
15,781912,0.8023,0.0099,2407,
16,791705,0.7970,0.0091,2391,
17,781915,0.7950,0.0114,2385,
18,8089434,0.7760,0.0088,2328,
19,788771,0.7747,0.0118,2324,
20,8103576,0.7687,0.0089,2306,
21,781916,0.7577,0.0100,2273,
22,8181152,0.7373,0.0107,2212,
23,765202,0.7217,0.0102,2165,
24,8126325,0.7170,0.0106,2151,
25,8093514,0.6943,0.0111,2083,
26,8139718,0.6930,0.0087,2079,
27,794515,0.6890,0.0101,2067,
28,8179627,0.6880,0.0093,2064,
29,777991,0.6873,0.0095,2062,
30,785887,0.6603,0.0101,1981,
31,777133,0.6577,0.0093,1973,
32,778844,0.6400,0.0090,1920,
33,8166043,0.6313,0.0114,1894,
34,775316,0.6220,0.0111,1866,
35,776840,0.6107,0.0103,1832,
36,8148795,0.6017,0.0123,1805,
37,777043,0.5837,0.0111,1751,
38,784111,0.5837,0.0126,1751,
39,8178944,0.5807,0.0115,1742,
40,779699,0.5590,0.0102,1677,
41,8088206,0.5483,0.0099,1645,
42,8126238,0.5347,0.0112,1604,
43,781613,0.5263,0.0112,1579,
44,777240,0.5207,0.0106,1562,
45,8174397,0.5153,0.0075,1546,
46,8117985,0.5123,0.0118,1537,
47,781282,0.4923,0.0100,1477,
48,774135,0.4750,0.0115,1425,
49,8139855,0.4433,0.0119,1330,
50,8063088,0.4113,0.0098,1234,
51,793791,0.3907,0.0111,1172,
52,777217,0.3777,0.0119,1133,
53,8144696,0.3527,0.0114,1058,
54,778897,0.3433,0.0103,1030,
55,8171486,0.3313,0.0121,994,
