Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,8179611,0.9767,0.0109,2930,✅
2,772733,0.9737,0.0096,2921,
3,780254,0.9673,0.0104,2902,
4,793978,0.9243,0.0101,2773,
5,793975,0.9210,0.0105,2763,
6,772732,0.9207,0.0093,2762,
7,788916,0.9207,0.0089,2762,
8,772734,0.9193,0.0099,2758,
9,792429,0.9067,0.0103,2720,
10,777942,0.9027,0.0103,2708,
11,772769,0.8460,0.0119,2538,
12,772801,0.7957,0.0091,2387,
13,772741,0.7923,0.0091,2377,
14,772745,0.7900,0.0099,2370,
15,8091607,0.7840,0.0102,2352,
16,772809,0.7787,0.0084,2336,
17,772749,0.7727,0.0095,2318,
18,772810,0.7643,0.0084,2293,
19,788920,0.7630,0.0093,2289,
20,788923,0.6677,0.0085,2003,
21,772742,0.6123,0.0095,1837,
22,776560,0.5680,0.0091,1704,
23,793982,0.5077,0.0122,1523,
24,793981,0.4853,0.0118,1456,
25,777948,0.4510,0.0083,1353,
26,785997,0.4487,0.0104,1346,
27,8158965,0.3613,0.0093,1084,
28,780283,0.3003,0.0090,901,
29,775999,0.2753,0.0107,826,
30,771731,0.2403,0.0091,721,
