Rank,CAD,Score (lower is better),Eigenvalues,Status
1,794601,0.3388,"0.0018, 0.0001, 0.0000",
2,8121694,0.5562,"0.0015, 0.0001, 0.0000",
3,8121692,0.5605,"0.0015, 0.0001, 0.0000",⬅️
4,798351,0.6300,"0.0019, 0.0000, 0.0000",
5,763621,0.6828,"0.0024, 0.0001, 0.0000",
6,763620,0.6865,"0.0024, 0.0001, 0.0000",
7,8095941,0.7553,"0.0013, 0.0002, 0.0001",
8,794679,0.7663,"0.0024, 0.0001, 0.0000",
9,767340,0.8125,"0.0024, 0.0003, 0.0000",
10,776935,0.9169,"0.0015, 0.0003, 0.0000",
11,798512,0.9184,"0.0029, 0.0002, 0.0000",
12,8141343,0.9199,"0.0004, 0.0001, 0.0000",
13,793789,0.9365,"0.0020, 0.0003, 0.0000",
14,763660,1.1802,"0.0005, 0.0001, 0.0000",
15,8092171,1.1848,"0.0006, 0.0002, 0.0000",
16,793689,1.1980,"0.0004, 0.0001, 0.0000",
17,792795,1.2155,"0.0001, 0.0001, 0.0000",
18,793768,1.3027,"0.0007, 0.0003, 0.0000",
19,794159,1.3681,"0.0004, 0.0000, 0.0000",
20,791713,1.4009,"0.0035, 0.0003, 0.0000",
21,778899,1.4291,"0.0026, 0.0003, 0.0001",
22,8098446,1.4495,"0.0014, 0.0004, 0.0001",
23,793405,1.5641,"0.0005, 0.0003, 0.0001",
24,792510,1.6915,"0.0024, 0.0005, 0.0000",
25,784049,1.7596,"0.0010, 0.0004, 0.0000",
26,8092190,2.0186,"0.0006, 0.0005, 0.0000",
27,779608,2.0851,"0.0005, 0.0005, 0.0000",
28,767940,2.3152,"0.0005, 0.0005, 0.0000",
29,778897,2.4194,"0.0050, 0.0002, 0.0002",
30,8063089,2.4754,"0.0038, 0.0005, 0.0000",
31,8150394,2.4908,"0.0008, 0.0006, 0.0000",
32,777253,2.7011,"0.0013, 0.0008, 0.0000",
33,792783,2.7371,"0.0006, 0.0006, 0.0001",
34,778906,2.8066,"0.0016, 0.0006, 0.0003",
35,778920,2.9760,"0.0014, 0.0006, 0.0003",
36,8093118,3.0870,"0.0006, 0.0004, 0.0003",
37,8144696,3.2787,"0.0037, 0.0005, 0.0003",
38,775318,3.6009,"0.0011, 0.0005, 0.0004",
39,777087,3.6634,"0.0012, 0.0010, 0.0000",
40,8063088,3.8600,"0.0073, 0.0004, 0.0000",
41,781282,3.8650,"0.0041, 0.0008, 0.0001",
42,793791,3.9305,"0.0078, 0.0003, 0.0000",
43,772841,3.9571,"0.0088, 0.0001, 0.0000",
44,772840,3.9995,"0.0089, 0.0001, 0.0000",
45,792350,4.3289,"0.0011, 0.0008, 0.0003",
46,8117985,4.5700,"0.0033, 0.0013, 0.0000",
47,777239,4.8605,"0.0024, 0.0009, 0.0005",
48,8188926,5.0243,"0.0011, 0.0008, 0.0005",
49,778915,5.1918,"0.0014, 0.0009, 0.0005",
50,794515,5.6151,"0.0042, 0.0010, 0.0003",
51,792358,5.8981,"0.0018, 0.0011, 0.0006",
52,777217,5.9101,"0.0045, 0.0008, 0.0005",
53,779699,6.1449,"0.0034, 0.0014, 0.0002",
54,774135,6.6509,"0.0066, 0.0007, 0.0005",
55,772796,6.6748,"0.0141, 0.0001, 0.0000",
56,772797,6.6766,"0.0141, 0.0001, 0.0000",
57,775510,6.7903,"0.0139, 0.0000, 0.0000",
58,8181356,6.8281,"0.0140, 0.0000, 0.0000",
59,8171486,6.8521,"0.0017, 0.0016, 0.0004",
60,781914,7.0405,"0.0022, 0.0013, 0.0006",
61,777043,7.2804,"0.0067, 0.0012, 0.0003",
62,777991,7.9567,"0.0041, 0.0020, 0.0000",
63,778844,8.1441,"0.0024, 0.0024, 0.0000",
