Rank,CAD,Score (lower is better),Eigenvalues,Status
1,8096342,0.6150,"0.0371, 0.0056, 0.0004",
2,777948,0.7577,"0.0640, 0.0096, 0.0001",⬅️
3,8158965,0.8435,"0.0668, 0.0047, 0.0002",
4,782016,0.8628,"0.0963, 0.0081, 0.0001",
5,777945,0.8714,"0.0632, 0.0099, 0.0001",
6,788794,0.8812,"0.0598, 0.0097, 0.0001",
7,8092284,0.8945,"0.0096, 0.0074, 0.0005",
8,792803,0.9397,"0.0104, 0.0083, 0.0006",
9,793793,0.9397,"0.0109, 0.0091, 0.0006",
10,772763,0.9402,"0.0350, 0.0085, 0.0001",
11,772764,0.9425,"0.0349, 0.0085, 0.0001",
12,780706,0.9486,"0.0104, 0.0083, 0.0006",
13,778082,0.9751,"0.0572, 0.0049, 0.0001",
14,777135,1.0210,"0.0092, 0.0084, 0.0007",
15,772805,1.0314,"0.0473, 0.0097, 0.0000",
16,772804,1.0363,"0.0477, 0.0090, 0.0000",
17,8087967,1.0393,"0.0384, 0.0134, 0.0008",
18,8112097,1.0542,"0.0305, 0.0125, 0.0008",
19,782185,1.0603,"0.0139, 0.0038, 0.0003",
20,8105335,1.0642,"0.0139, 0.0050, 0.0002",
21,780283,1.0644,"0.0502, 0.0169, 0.0001",
22,777141,1.0710,"0.0102, 0.0036, 0.0005",
23,8166038,1.0711,"0.0099, 0.0041, 0.0005",
24,780287,1.0715,"0.1048, 0.0122, 0.0001",
25,8100975,1.0810,"0.0197, 0.0055, 0.0001",
26,777551,1.0879,"0.0088, 0.0037, 0.0005",
27,777553,1.0919,"0.0059, 0.0059, 0.0006",
28,8172414,1.0942,"0.0352, 0.0116, 0.0000",
29,8172412,1.0962,"0.0351, 0.0117, 0.0000",
30,8093316,1.0967,"0.0399, 0.0068, 0.0000",
31,8100969,1.1059,"0.0191, 0.0055, 0.0001",
32,774596,1.1164,"0.0429, 0.0140, 0.0000",
33,786001,1.1191,"0.0132, 0.0107, 0.0001",
34,8181146,1.1275,"0.0423, 0.0143, 0.0000",
35,788695,1.1383,"0.0284, 0.0116, 0.0000",
36,8181152,1.1623,"0.0079, 0.0024, 0.0004",
37,788771,1.1648,"0.0052, 0.0032, 0.0005",
38,782438,1.1657,"0.0231, 0.0008, 0.0006",
39,8179617,1.1686,"0.1107, 0.0025, 0.0002",
40,784111,1.1853,"0.0086, 0.0025, 0.0003",
41,8093514,1.1860,"0.0072, 0.0024, 0.0005",
42,8091936,1.1864,"0.0141, 0.0060, 0.0008",
43,763640,1.1967,"0.0957, 0.0014, 0.0001",
44,8178944,1.2085,"0.0043, 0.0024, 0.0004",
45,8103578,1.2134,"0.0055, 0.0028, 0.0006",
46,793426,1.2144,"0.0055, 0.0028, 0.0006",
47,781613,1.2177,"0.0043, 0.0023, 0.0004",
48,771736,1.2332,"0.0149, 0.0143, 0.0001",
49,8088206,1.2342,"0.0085, 0.0021, 0.0003",
50,791705,1.2344,"0.0046, 0.0029, 0.0003",
51,781923,1.2345,"0.0044, 0.0026, 0.0006",
52,8094080,1.2352,"0.0170, 0.0109, 0.0009",
53,765199,1.2372,"0.0129, 0.0048, 0.0001",
