Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,767340,0.9997,0.0018,2999,✅
2,793789,0.9997,0.0022,2999,
3,792510,0.9997,0.0025,2999,
4,776935,0.9997,0.0050,2999,
5,791713,0.9997,0.0019,2999,
6,794679,0.9600,0.0093,2880,
7,763620,0.9537,0.0078,2861,
8,798512,0.9337,0.0086,2801,
9,784049,0.9210,0.0058,2763,
10,8121692,0.8260,0.0103,2478,
11,798351,0.8160,0.0083,2448,
12,794601,0.8063,0.0120,2419,
13,8121694,0.8047,0.0107,2414,
14,763621,0.7703,0.0106,2311,
15,793768,0.7627,0.0093,2288,
