Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,766859,0.7670,0.0130,2301,
2,8091592,0.7483,0.0105,2245,⬅️
3,8095189,0.6653,0.0108,1996,
4,791816,0.6550,0.0124,1965,
5,791817,0.6043,0.0124,1813,
6,794101,0.5337,0.0133,1601,
7,776556,0.4970,0.0124,1491,
8,8176904,0.4957,0.0127,1487,
9,780252,0.4723,0.0126,1417,
10,794105,0.4537,0.0138,1361,
11,780295,0.4267,0.0130,1280,
12,8104626,0.4227,0.0120,1268,
13,780296,0.4057,0.0125,1217,
14,788926,0.3797,0.0116,1139,
15,8179589,0.3757,0.0135,1127,
16,8091602,0.3343,0.0126,1003,
17,8111520,0.3060,0.0143,918,
18,791819,0.2803,0.0124,841,
19,792430,0.2563,0.0122,769,
20,779545,0.2347,0.0129,704,
21,780279,0.1737,0.0123,521,
22,778632,0.1337,0.0144,401,
