Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,8105335,0.9357,0.0084,2807,
2,765199,0.8943,0.0102,2683,
3,8100969,0.8410,0.0068,2523,
4,793646,0.8060,0.0082,2418,
5,8100975,0.6637,0.0128,1991,
6,8181152,0.6020,0.0123,1806,
7,784111,0.6000,0.0100,1800,
8,777141,0.5820,0.0101,1746,
9,765202,0.5223,0.0106,1567,
10,782185,0.4740,0.0116,1422,
11,8166038,0.4543,0.0115,1363,
12,8092284,0.4497,0.0105,1349,
13,8122655,0.4300,0.0097,1290,
14,8178944,0.4150,0.0074,1245,
15,781613,0.4090,0.0077,1227,
16,777043,0.4047,0.0109,1214,
17,791705,0.4003,0.0079,1201,
18,8103576,0.3943,0.0108,1183,
19,777551,0.3417,0.0119,1025,
20,8088206,0.3190,0.0106,957,
21,788771,0.2860,0.0115,858,
22,8093514,0.2513,0.0136,754,
