Experiment,rank_EigSimilarity,rank_Fitness,rank_RMSE,rank_Inliers,rank_fit_rmse
794516_exp,1,1,19,1,1
794601_exp,1,1,1,1,1
794679_exp,5,5,1,5,1
794863_exp,3,2,51,2,2
794864_exp,6,2,66,2,2
794870_exp,5,4,28,4,4
794871_exp,1,1,47,1,1
798351_exp,4,2,1,2,1
798475_exp,12,1,8,1,1
798480_exp,43,,,,
798512_exp,1,1,1,1,1
8063088_exp,1,1,1,1,1
8063089_exp,1,1,1,1,1
8087967_exp,1,1,9,1,1
8088206_exp,1,2,1,2,2
8088959_exp,16,1,18,1,1
8089434_exp,11,1,1,1,1
8091304_exp,3,2,1,2,2
8091592_exp,4,2,1,2,2
8091602_exp,1,1,1,1,1
8091607_exp,5,6,2,6,6
8091936_exp,8,1,1,1,1
8092171_exp,1,1,1,1,1
8092190_exp,1,1,2,1,2
8092284_exp,3,1,1,1,1
8092901_exp,1,2,28,2,2
8092992_exp,64,1,19,1,1
8093118_exp,6,1,12,1,1
8093316_exp,3,6,1,6,6
8093514_exp,8,1,3,1,1
8094080_exp,34,1,1,1,1
8095189_exp,4,2,1,2,2
8095212_exp,4,1,5,1,1
8095941_exp,2,1,1,1,1
8096342_exp,1,1,16,1,1
8098446_exp,1,1,1,1,1
8100966_exp,2,5,1,5,5
8100969_exp,1,1,1,1,1
8100975_exp,3,2,1,2,1
8101572_exp,5,5,2,5,5
8103576_exp,4,2,2,2,2
8103578_exp,9,1,3,1,1
8104626_exp,2,1,7,1,1
8104629_exp,1,1,11,1,1
8104983_exp,2,1,38,1,1
8105335_exp,3,1,1,1,1
8111161_exp,7,1,8,1,1
8111165_exp,15,2,13,2,2
8111167_exp,14,1,12,1,1
8111409_exp,2,1,58,1,1
8111520_exp,1,1,10,1,1
8112097_exp,22,1,1,1,1
8114863_exp,17,1,14,1,1
8117985_exp,1,1,1,1,1
8121692_exp,3,2,1,2,1
8121694_exp,2,1,1,1,1
8122643_exp,2,1,1,1,1
8122655_exp,8,1,1,1,1
8125655_exp,5,3,16,3,3
8126238_exp,4,2,4,2,2
8126325_exp,4,3,5,3,3
8126327_exp,4,1,2,1,2
8126425_exp,4,4,22,4,4
8139623_exp,1,1,1,1,1
8139718_exp,1,1,4,1,1
772725_exp,5,2,2,2,2
772726_exp,4,1,1,1,1
775510_exp,4,4,1,4,1
776548_exp,7,1,1,1,1
780255_exp,10,,,,
793889_exp,308,,,,
8139855_exp,3,2,7,2,2
8141343_exp,1,1,1,1,1
8141860_exp,2,1,3,1,1
8143504_exp,3,2,15,2,2
8144696_exp,1,1,1,1,1
8148795_exp,19,1,1,1,1
8149518_exp,2,1,17,1,1
8150394_exp,1,1,1,1,1
8155627_exp,4,1,1,1,1
8158965_exp,1,1,1,1,1
8166038_exp,2,1,1,1,1
8166043_exp,24,23,48,23,23
8171486_exp,3,1,4,1,1
8172406_exp,7,6,46,6,6
8172410_exp,1,2,22,2,2
8172412_exp,4,5,4,5,5
8172414_exp,3,4,2,4,4
8174395_exp,2,1,1,1,1
8174397_exp,3,7,16,7,7
8176904_exp,4,1,2,1,1
8176966_exp,3,2,35,2,2
8176978_exp,5,1,52,1,1
8178944_exp,7,1,4,1,1
8179499_exp,79,,,,
8179589_exp,2,2,22,2,2
8179592_exp,11,4,18,4,4
8179609_exp,51,15,21,15,15
8179611_exp,5,1,45,1,1
8179614_exp,4,3,19,3,3
8179617_exp,2,1,1,1,1
8179627_exp,1,1,1,1,1
8179629_exp,16,4,25,4,4
8179631_exp,38,4,32,4,4
8181146_exp,3,4,8,4,4
8181152_exp,1,1,1,1,1
8181354_exp,3,1,2,1,1
8181356_exp,3,3,1,3,1
8186079_exp,3,12,18,12,12
8188922_exp,1,1,1,1,1
8188926_exp,1,1,1,1,1
8188996_exp,,,,,
