Rank,CAD,Score (lower is better),Eigenvalues,Status
109,778915,1.3871,"0.0014, 0.0009, 0.0005",
110,775318,1.3904,"0.0011, 0.0005, 0.0004",
111,8094080,1.3906,"0.0170, 0.0109, 0.0009",
112,8188926,1.3908,"0.0011, 0.0008, 0.0005",
113,8091304,1.3944,"0.0407, 0.0022, 0.0000",
114,792350,1.3949,"0.0011, 0.0008, 0.0003",
115,765199,1.3961,"0.0129, 0.0048, 0.0001",
116,763638,1.3982,"0.0305, 0.0005, 0.0001",
117,778429,1.4007,"0.0315, 0.0002, 0.0001",
118,8144696,1.4039,"0.0037, 0.0005, 0.0003",
119,792358,1.4067,"0.0018, 0.0011, 0.0006",
120,793646,1.4110,"0.0138, 0.0031, 0.0001",
121,8093118,1.4127,"0.0006, 0.0004, 0.0003",
122,779699,1.4144,"0.0034, 0.0014, 0.0002",
123,779434,1.4176,"0.0318, 0.0131, 0.0009",
124,781917,1.4208,"0.0062, 0.0031, 0.0007",
125,775310,1.4228,"0.0141, 0.0124, 0.0009",
126,778920,1.4237,"0.0014, 0.0006, 0.0003",
127,778448,1.4251,"0.0219, 0.0029, 0.0008",
128,8174397,1.4298,"0.0028, 0.0017, 0.0006",
129,765202,1.4333,"0.0087, 0.0048, 0.0001",
130,781912,1.4409,"0.0044, 0.0029, 0.0007",
131,781914,1.4427,"0.0022, 0.0013, 0.0006",
132,778906,1.4434,"0.0016, 0.0006, 0.0003",
133,8100966,1.4465,"0.0178, 0.0004, 0.0001",
134,794273,1.4531,"0.0078, 0.0061, 0.0008",
135,8101572,1.4567,"0.0249, 0.0003, 0.0000",
136,8139718,1.4571,"0.0033, 0.0023, 0.0002",
137,777240,1.4608,"0.0032, 0.0024, 0.0007",
138,780255,1.4628,"0.0989, 0.0003, 0.0000",
139,793548,1.4785,"0.0251, 0.0065, 0.0009",
140,780295,1.4789,"0.1114, 0.0557, 0.0000",
141,780296,1.4827,"0.1113, 0.0560, 0.0000",
