Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,788926,0.9530,0.0107,2859,✅
2,780252,0.6963,0.0110,2089,
3,776556,0.6883,0.0107,2065,
4,780296,0.6800,0.0108,2040,
5,772733,0.6797,0.0110,2039,
6,791817,0.6500,0.0112,1950,
7,8111409,0.6463,0.0122,1939,
8,780295,0.6413,0.0111,1924,
9,8091607,0.6397,0.0103,1919,
10,8179589,0.6270,0.0107,1881,
11,792429,0.6137,0.0116,1841,
12,770066,0.6120,0.0107,1836,
13,772734,0.6097,0.0114,1829,
14,8179611,0.6053,0.0106,1816,
15,780254,0.6033,0.0110,1810,
16,791816,0.5913,0.0115,1774,
17,772732,0.5820,0.0101,1746,
18,8176904,0.5713,0.0125,1714,
19,793975,0.5653,0.0108,1696,
20,793978,0.5547,0.0112,1664,
21,772769,0.5497,0.0112,1649,
22,8179592,0.5457,0.0108,1637,
23,788916,0.5267,0.0105,1580,
24,780288,0.5170,0.0108,1551,
25,8179614,0.5090,0.0106,1527,
26,777942,0.4973,0.0117,1492,
27,772749,0.4963,0.0094,1489,
28,8176978,0.4833,0.0119,1450,
29,772745,0.4810,0.0109,1443,
30,792430,0.4773,0.0115,1432,
31,8176966,0.4650,0.0122,1395,
32,791819,0.4503,0.0102,1351,
33,8095189,0.4500,0.0114,1350,
34,8091592,0.4400,0.0124,1320,
35,780287,0.4227,0.0103,1268,
36,793981,0.4150,0.0104,1245,
37,8179609,0.4130,0.0114,1239,
38,782016,0.3963,0.0099,1189,
39,8104626,0.3710,0.0115,1113,
40,8179629,0.3583,0.0121,1075,
41,793997,0.3453,0.0113,1036,
42,779545,0.3443,0.0118,1033,
43,8179617,0.3420,0.0089,1026,
44,8104629,0.3363,0.0124,1009,
45,8179631,0.3357,0.0122,1007,
46,783854,0.3167,0.0126,950,
47,776572,0.3043,0.0115,913,
48,793982,0.3017,0.0112,905,
49,793999,0.2837,0.0107,851,
50,8091602,0.2657,0.0118,797,
51,792937,0.2577,0.0120,773,
52,763640,0.2563,0.0092,769,
53,8104983,0.2457,0.0131,737,
54,8095212,0.2367,0.0128,710,
55,781744,0.2353,0.0117,706,
56,778632,0.2260,0.0133,678,
57,775999,0.2107,0.0100,632,
58,783475,0.2093,0.0131,628,
59,787761,0.1920,0.0107,576,
60,780279,0.1877,0.0124,563,
61,787629,0.1477,0.0131,443,
62,780255,0.0987,0.0110,296,
